ax,ay,az,gx,gy,gz,flex
20034,23427,8149,157,36,32,590
25055,26898,11453,164,-38,163,590
27487,31194,13993,160,-128,297,589
27163,32743,11718,133,-241,385,589
29144,-30930,8806,111,-298,484,589
32213,-28106,4746,101,-293,570,589
-31253,-24683,303,70,-182,572,588
31831,-23879,-4216,45,-68,572,589
26398,-25360,-7894,56,-14,572,589
21181,-28802,-10708,103,-30,572,590
21181,-28802,-10708,103,-30,572,590
16445,-32450,-12983,178,-63,572,590
14072,30429,-14385,257,-72,572,590
11767,26918,-15415,329,3,572,590
9541,25319,-15170,391,118,572,590
9453,26055,-18955,437,178,572,590
4550,19642,-16366,572,160,572,591
-3726,15552,-11846,572,84,572,592
-7011,13738,-12110,572,2,572,592
-6491,10149,-11640,572,57,572,593
-9139,6383,-10914,572,226,443,595
-14954,4050,-14758,572,219,342,596
-13934,10757,-12826,572,10,290,597
-2226,28958,5619,572,-66,202,600
3334,11335,-10435,572,272,99,621
-20181,-10886,-11239,-572,572,-119,615
-15543,3079,20593,-572,-289,-65,606
3275,-2628,18171,-572,-312,185,605
4824,-8953,12620,-572,-358,207,604
9757,-12522,431,-572,-327,144,603
15042,-19622,-19132,-572,-137,125,602
10639,-31654,-29115,121,227,65,605
2490,-24241,-19563,572,241,-94,607
-2696,-13787,-27330,572,-25,-203,610
10786,6707,-8913,572,-9,-252,611
-23036,-3874,-726,359,-224,86,623
-20740,-17397,19367,-572,572,-94,620
-7433,833,9953,-44,-229,-44,617
19,-12120,13424,84,-136,59,618
7864,-9776,19838,3,-167,68,618
11895,-2088,17425,-48,-98,-5,618
14189,3334,18661,-27,1,-20,617
10786,6619,22701,-14,45,26,617
5981,5089,23476,-65,27,45,616
4716,2206,21524,-135,15,47,615
3696,-98,19230,-162,5,46,613
2696,-303,18455,-133,-29,50,612
5001,1059,20681,-119,-80,53,610
6481,2382,22368,-178,-83,60,609
6256,2255,21956,-246,-69,62,608
5099,1068,21328,-292,-74,61,606
3363,-333,20416,-319,-105,53,604
2951,-676,20083,-345,-137,25,603
4108,-460,19897,-397,-125,-28,602
5305,-1608,19063,-453,-67,-101,600
4893,-2951,17906,-490,-17,-170,599
3834,-3765,16376,-541,13,-231,599
1794,-4677,13218,-572,38,-294,598
-804,-5913,8913,-572,12,-344,596
-2343,-5491,4834,-572,-71,-374,595
-1686,-3147,1637,-572,-161,-409,593
-117,-882,-1510,-572,-217,-462,592
882,1598,-4079,-572,-271,-529,591
2265,4530,-6305,-572,-327,-572,590
8845,8688,-7433,-567,-287,-572,590
14680,11610,-8688,-532,-110,-572,590
13983,11885,-9119,-470,121,-572,589
12787,16700,-8394,-381,190,-572,589
15954,22544,-8100,-322,228,-572,588
17121,23996,-7599,-257,296,-572,587
16170,24633,-2255,-89,288,-572,587
15425,30007,1863,50,293,-572,587
9129,32537,2951,159,270,-572,587
6079,-26360,7021,303,91,-572,587
9365,-17005,8864,226,-77,-572,587
14356,-16299,6276,-10,-133,-572,586
19210,-19162,3510,-202,-104,-572,585
21436,-27066,1706,-282,-37,-477,585
19083,31292,2785,-220,-21,-307,586
15327,25898,4785,-69,-32,-137,586
