ax,ay,az,gx,gy,gz,flex
1765,3353,-1971,253,241,241,515
10620,2677,3677,425,300,225,521
7021,-1010,12267,428,338,275,535
10482,-9620,16582,471,255,228,541
14395,-14454,22485,572,230,177,541
17553,-17778,-29841,572,211,192,541
19436,-20956,-16720,557,170,263,532
16660,-22064,-12602,329,93,341,523
14336,-24309,-12386,193,-2,382,515
10473,-25839,-8542,57,-60,424,499
10473,-25839,-8542,57,-60,424,499
4863,-26212,-5463,-94,-110,447,488
-196,-22780,-1491,-317,-138,484,476
-5864,-21358,-9219,-515,-79,553,458
-14935,-22280,-13200,-516,62,562,448
-19975,-15199,-5551,-572,172,460,430
-18053,-4863,-5963,-572,167,329,416
-9874,2834,-17152,-572,216,312,421
-13199,8806,-22036,-572,286,291,414
-14170,9374,-29312,-572,359,245,410
-12454,10551,29477,-572,396,184,415
-9021,11169,21946,-572,456,169,418
-13218,12679,17484,-483,537,159,416
-15121,12434,13346,-412,509,9,418
-8345,13366,10777,-341,499,-93,424
-2873,14121,4903,-267,550,-77,427
-98,15170,-117,-138,572,-62,428
2324,14336,-696,-33,572,-33,429
1274,14062,1029,52,572,-6,431
2951,14797,1843,134,521,-74,433
8100,14699,-78,223,432,-114,432
12150,14582,1010,287,390,-62,431
14425,12571,3402,338,360,5,433
16278,11404,637,500,312,-3,427
18896,11659,7531,572,201,-72,422
25055,9061,14689,572,58,-159,419
-31812,7943,10953,572,-15,-164,418
-30400,10041,13336,572,13,-45,416
-32244,7796,30438,572,-52,-8,415
-28978,2892,-22300,572,-91,80,412
-32205,-3608,-7777,572,-103,302,410
23192,-7403,-148,572,-127,462,409
16386,-12630,9227,572,-199,474,414
9521,-21201,16474,572,-260,477,415
7148,-22299,18514,353,-359,416,416
8570,-19720,21583,88,-409,517,416
-1353,-16288,16445,-175,-308,572,418
-13199,-9423,11041,-352,-189,572,417
-20397,-1539,3853,-481,-93,572,413
-20622,2863,-6345,-572,-8,572,412
-21181,647,-17927,-572,169,572,412
-25643,117,-18427,-572,308,537,410
-22397,3010,-19417,-572,344,267,411
-12238,10414,-23104,-572,348,115,413
-6187,13405,32086,-572,424,129,414
-7452,14454,26035,-572,518,144,413
-7668,13150,18269,-537,545,101,409
-5393,11973,12336,-440,544,50,406
-3294,11394,8649,-367,543,29,404
-3402,9688,3010,-292,560,23,401
-3785,9208,-607,-157,535,-42,397
-637,9659,-1480,-39,483,-128,397
1186,9345,-853,15,494,-102,399
254,8129,-1137,64,456,-116,400
2530,7874,-3079,132,399,-144,401
3628,8325,-3981,187,380,-138,401
3079,8511,-3010,274,369,-143,402
4903,8747,-2481,357,319,-183,406
10885,8482,-1559,438,280,-189,413
13493,8521,1696,572,266,-181,414
16376,7943,7521,572,194,-219,414
25447,7580,11875,572,142,-231,416
30831,8462,19877,572,124,-134,422
30223,5923,30733,572,125,62,426
20387,4873,-25595,572,98,191,427
17416,558,-23359,572,-34,171,427
14444,-3108,-16387,572,-37,251,428
6707,-2461,-14867,572,-52,296,429
3696,-2883,-15858,572,-93,260,429
941,-1353,-11808,572,-75,267,430
