ax,ay,az,gx,gy,gz,flex
-8717,8503,-21328,124,265,222,320
28684,451,-25251,224,64,35,318
-12483,26261,-12885,572,-526,-82,336
-8552,21956,-7169,572,572,-450,360
-3883,-23389,-26252,470,558,-572,329
14385,22093,2745,-436,-572,363,329
18692,12385,-26987,-122,-66,204,328
-26800,4814,-8972,304,168,-107,332
-5089,11032,23123,231,-58,-19,336
-5923,9894,20299,49,-50,29,337
-5923,9894,20299,49,-50,29,337
-4962,6560,11787,53,15,12,337
-3824,7276,13111,105,-66,50,338
1863,7246,13689,134,-57,47,340
4667,6138,10992,156,52,46,343
-774,9237,13434,131,174,99,345
-5413,13042,17720,122,154,113,347
-2196,12405,15827,67,138,101,348
402,10924,11522,7,103,145,349
-245,12042,11355,13,72,203,351
-3236,13611,9953,46,38,204,353
-3304,9531,5364,74,-55,177,354
1578,7835,6531,131,-102,208,355
-9,11345,9610,252,-22,195,357
-1117,14179,12934,282,72,144,359
-2922,13258,13052,221,41,128,360
-4108,12875,11120,211,-116,97,360
-1971,14797,11208,309,-297,47,362
1794,17906,16523,339,-357,16,364
2608,18808,17367,239,-354,-35,366
78,20711,14699,183,-399,-108,368
-451,21936,11836,232,-481,-192,369
4383,23809,11914,271,-518,-237,370
7276,27477,14542,250,-495,-292,371
10541,29448,17582,250,-424,-355,374
11493,31458,18043,225,-330,-379,379
13336,28663,16749,166,-329,-359,380
15160,25427,17082,127,-345,-288,383
15719,22897,19730,147,-290,-180,389
13758,21799,21289,138,-193,-102,395
10237,20210,20004,84,-154,-69,398
8511,18318,17690,35,-185,-61,400
7580,16700,16062,2,-253,-71,403
7550,16592,15592,2,-259,-55,410
7031,16092,14434,0,-307,-55,418
8031,16611,13768,-10,-296,-32,426
8433,16719,11953,-30,-212,-14,432
8404,16837,10345,-34,-83,-3,437
7295,17406,9325,-27,27,8,443
7305,17886,8609,0,122,29,448
7119,19220,9776,-6,235,17,455
6540,20514,10218,-67,366,-10,461
2226,22701,9159,-141,430,-32,474
-1931,18279,7423,-137,172,-57,489
-68,17994,8580,-106,-14,-3,502
3049,19651,10022,-103,-50,20,512
2706,18887,8521,-118,12,21,518
1863,18180,7678,-117,27,48,522
853,17327,6854,-107,0,70,525
529,16602,5903,-74,-51,89,527
529,16513,5501,-23,-111,109,529
1323,16749,5668,37,-165,114,530
2471,17700,6158,83,-184,92,532
3893,18671,6795,94,-157,66,533
5187,19298,7070,68,-82,50,534
5677,19534,7246,25,17,49,535
4785,19298,6707,-15,100,55,535
3451,18641,5981,-35,134,55,536
2902,18180,5785,-29,128,58,536
2667,17916,5746,-9,106,64,536
2941,17984,6344,17,78,66,536
3147,18367,7040,25,58,51,536
3471,18445,7315,19,42,45,536
3589,18269,7374,11,32,54,535
3677,18249,7482,7,27,56,535
4422,18386,7874,8,32,46,535
5079,18416,8129,6,40,36,535
4893,18024,8011,6,33,46,536
4452,17680,8051,9,10,61,536
4324,17661,8276,10,-14,62,537
