ax,ay,az,gx,gy,gz,flex
-18956,12875,-20877,-470,-198,83,293
29154,4197,-16631,285,-40,338,305
-1049,10365,12542,232,215,345,311
-14680,2696,18249,34,8,119,314
1922,-2853,9149,-22,-174,-96,316
21338,-2559,4608,13,-97,-104,318
23603,-2520,6933,84,61,-36,321
21122,-1078,12434,71,99,22,323
15935,-1402,14268,17,73,45,325
14003,-2235,14111,-9,-5,4,326
14003,-2235,14111,-9,-5,4,326
18681,-3000,13130,-4,-46,-35,327
21407,-3206,12659,1,15,-25,328
19357,-2382,12905,11,37,-14,329
18720,-1755,12865,6,-15,-12,330
20318,-2157,12012,0,2,-8,331
19318,-1912,12503,1,38,8,332
17612,-1961,12061,2,14,14,332
17759,-2059,12012,-24,-2,13,333
18249,-2147,11385,-32,-14,9,334
18279,-2765,10453,-35,-12,7,334
18024,-2990,9963,-24,-3,5,335
17651,-2294,10943,-20,0,0,335
18141,-2382,11081,-25,-23,2,336
18612,-2206,10590,-29,-16,1,336
18445,-2431,10110,-22,-8,0,337
18102,-2843,9855,-11,-11,-3,337
18082,-2530,10375,-3,-17,-3,337
18406,-2618,10698,-5,-21,-4,338
18661,-2677,10747,-4,-6,-1,338
18249,-3157,10571,-8,-9,0,338
18396,-2883,10796,-5,-22,1,338
17729,-3294,10561,-7,-21,1,339
18416,-3187,10522,-2,-4,-3,339
18367,-2696,10561,1,0,0,339
17965,-2657,10394,-4,-23,6,339
18847,-2628,10375,-5,-13,5,339
18543,-2333,10394,-10,14,2,339
17661,-2108,10169,-20,-5,0,339
18279,-2677,9551,-18,-32,-6,340
19298,-2608,9404,-11,-12,-4,340
18710,-2863,9512,-6,6,1,340
18602,-2834,9600,-2,-1,-2,340
18720,-2814,9698,-7,3,0,340
18288,-3089,9806,-13,3,0,341
18573,-3373,9600,-7,7,-2,341
18563,-2951,10041,-6,13,-1,341
18269,-3098,9747,-5,7,-4,341
18730,-2951,9963,0,3,-9,341
19034,-2853,10071,-7,0,-3,341
18651,-2961,9620,-3,3,-1,341
18524,-2735,10041,0,10,-2,342
18298,-2549,10228,-6,0,-1,342
18386,-2735,9874,-6,-6,-2,342
18936,-2667,10022,-2,3,-4,342
18749,-2794,10257,-8,11,3,342
18406,-2981,10022,-4,2,3,342
18514,-2971,10120,1,5,2,342
18416,-2686,10502,4,11,0,343
18259,-2353,10718,-3,1,2,343
18592,-2814,10492,-9,-1,5,343
18180,-2932,10326,-8,9,4,343
17955,-2902,10492,-5,6,1,343
18024,-2804,10649,-1,-5,-3,343
18602,-2765,10875,-7,5,0,343
18230,-2794,10747,-9,13,-4,343
18426,-2726,10600,-6,5,-6,343
18543,-2794,10482,-6,0,-3,343
18700,-2628,10796,-9,0,-1,343
18426,-2549,10806,-14,11,0,343
18180,-2745,10345,-14,4,-2,344
18612,-2785,10257,-10,1,-2,344
18426,-2745,10561,-10,9,2,344
17759,-2618,10728,-10,9,1,344
17729,-2883,10639,-10,-1,-4,344
18396,-2912,10698,-11,3,-4,344
18151,-2932,10728,-9,16,-4,344
18122,-2843,10973,-12,12,-5,344
18141,-2794,10885,-17,8,-5,344
18151,-2951,10590,-18,9,-3,344
