ax,ay,az,gx,gy,gz,flex
-30273,25084,1402,102,26,164,546
-24281,29791,1480,69,-14,341,529
-24105,32047,-990,28,-38,505,497
-27154,-29145,-7246,93,-162,572,472
-23771,-26282,-14209,234,-249,572,450
-22271,-22810,-18759,357,-127,572,432
-29106,-20300,-22368,455,13,572,424
28095,-19564,-24241,524,69,572,423
21299,-24771,-23701,572,0,572,426
13738,-27380,-22740,572,-91,572,431
13738,-27380,-22740,572,-91,572,431
8923,-30253,-18877,572,-53,572,431
2912,-30302,-12914,572,29,572,432
-2245,30821,-8031,572,104,572,432
-7668,25084,-5393,572,73,572,431
-11120,20181,-1980,572,-14,572,430
-12346,19151,10698,572,-69,572,430
-17445,13395,20544,572,-145,539,430
-16023,11934,-22889,500,-119,420,433
-21956,14434,2480,181,24,299,435
-29468,23113,19975,-296,64,165,436
32509,-28321,14778,-572,-83,52,438
31136,-11680,-628,-572,-163,-53,439
30126,-4060,-23967,-572,-74,-308,439
-15611,18592,24045,-572,-414,-520,440
22750,-6159,29949,-572,-490,-168,444
-17456,1970,8415,-572,-295,71,448
-22065,-20829,-18004,-572,-7,155,424
-20593,17445,-17435,-213,442,-45,426
9541,6668,8248,-121,572,-210,429
12503,4432,-27859,-1,104,-100,432
13709,2647,-27595,-257,-127,-27,431
16131,-745,20790,-171,-109,-9,432
13022,1559,32313,31,165,-44,432
11159,2186,-22633,35,163,-66,433
13238,1206,-21721,10,16,-13,433
10208,3128,-16945,0,-18,0,433
10110,3775,-18543,-26,-18,-3,434
8894,5364,-22280,-20,-2,-2,434
7972,6423,-24564,5,-16,-7,434
8511,5422,-28889,52,-8,-17,434
9992,5530,-28095,147,13,-26,434
9512,5109,-27683,173,46,-25,434
12885,5197,-29281,191,90,-18,434
13787,3981,-31547,238,156,30,435
13189,4903,-30125,319,191,61,438
13238,5981,-27369,383,236,81,442
12963,6197,-21456,439,331,102,444
10345,4138,-15013,446,486,128,447
5295,1569,-11032,402,572,143,452
2206,-78,-7658,396,572,128,462
451,-598,-4255,352,572,91,474
-402,-1353,-2579,293,572,49,487
-1765,-2922,-3236,261,572,-7,499
-3569,-2441,-3412,267,572,-65,510
-4922,-1912,-2255,287,572,-143,520
-3373,-931,-166,295,503,-255,529
-1774,284,1902,306,432,-345,536
-2098,2618,2402,315,356,-427,542
-676,6305,3334,337,231,-528,544
5011,9217,6227,376,163,-572,547
7541,13709,9384,385,196,-572,550
5324,18210,9708,333,209,-572,553
6109,25270,7482,260,122,-572,556
8462,30262,6521,265,-27,-572,558
8825,-28959,8119,279,-191,-572,559
8727,-22683,8933,299,-282,-572,561
8570,-17368,11090,397,-403,-572,562
16082,-7934,12709,358,-530,-572,564
25476,-12543,7992,61,-491,-572,564
28526,-25242,2373,-101,-405,-524,564
24849,29919,823,-55,-449,-281,564
21966,25329,3020,53,-513,-89,565
17984,22613,3392,108,-499,7,566
13405,21142,3226,87,-479,41,568
12973,19848,2530,67,-501,66,569
11914,18926,2402,40,-416,72,572
9119,18543,1823,6,-333,58,575
7599,18602,402,-18,-293,25,576
8443,18828,-725,-16,-260,14,578
