ax,ay,az,gx,gy,gz,flex
14121,-29390,32576,-476,-39,292,245
15690,-28223,31752,-572,-105,318,238
16759,-23899,30223,-572,-120,351,245
14023,-20878,24319,-572,-189,402,232
17161,-22428,18847,-572,-218,414,225
20122,-18309,12012,-572,-170,440,245
20053,-18544,5089,-572,-126,465,246
23996,-18682,-764,-572,-108,462,249
28899,-17770,-6236,-572,142,571,250
24653,-20594,-13209,-572,294,572,246
24653,-20594,-13209,-572,294,572,246
27751,-23506,-18426,-572,302,572,251
31429,-23997,-25016,-572,432,572,253
30811,-24252,30744,-572,571,572,246
24045,-31126,22594,-572,528,572,244
18435,-32048,17750,-572,443,572,254
10532,28399,7287,-572,488,572,258
-1343,15641,-5207,-572,339,566,256
-7080,13434,-1156,-350,162,503,258
-8041,9943,13592,-37,15,392,244
-7952,5697,28753,37,-83,329,260
-6531,5050,-27751,-31,-165,307,261
-8835,2716,-25653,-147,-294,257,267
-10257,7237,-26732,-312,-393,219,260
-14650,10090,-31821,-443,-478,128,267
-14209,12512,29626,-522,-544,8,261
-12267,14954,28772,-572,-551,-85,269
-11669,15484,27635,-572,-488,-195,272
-8943,17563,24977,-572,-442,-397,276
-5040,23446,20427,-572,-415,-572,279
411,32380,10954,-572,-386,-572,283
755,-25134,4188,-572,-175,-572,291
-9492,-14190,-4667,-572,247,-572,299
-14758,-10346,-6962,-239,547,-572,316
-11306,-12445,8307,572,572,-572,362
-2284,17876,-29477,572,572,-572,403
-12620,-17721,-8531,572,572,-572,438
5707,-20310,-5796,572,522,-572,506
2323,-19202,1804,572,572,-572,505
-1745,-15612,11081,-572,373,-572,540
-12455,11984,6021,-36,-572,-35,526
22074,9561,-31950,572,-112,463,492
5216,-3167,-25478,185,310,115,487
11934,-11659,-29988,-20,72,-180,538
22466,-13346,25065,89,-84,-173,552
24172,-6403,27693,95,105,32,552
15601,-3608,23545,-25,82,108,552
12797,-7805,16906,-102,43,79,551
14023,-10875,12856,-62,72,45,550
13160,-9355,12630,-3,141,35,549
10453,-8413,14278,4,133,36,543
9855,-8276,14248,-24,74,28,546
9855,-9914,12267,-43,56,23,539
9727,-10855,11777,-20,46,8,537
10345,-10737,12424,4,34,-17,542
11257,-10110,14003,6,46,-31,541
11296,-10041,14591,-9,50,-20,540
11012,-10267,14523,-11,33,-19,536
12277,-10051,14601,-8,35,-28,532
13483,-9816,14905,3,77,-26,536
12228,-9816,15288,0,113,-8,536
10924,-9845,15445,-12,87,7,531
11296,-9933,15199,-19,79,10,542
10286,-9933,14827,-14,97,12,541
9159,-9982,14787,-16,94,23,541
8708,-10335,15386,-23,80,29,538
8639,-10463,16317,-7,69,14,539
9041,-10022,17190,5,68,0,538
8943,-10080,17739,-3,77,-1,533
8845,-10335,18092,-3,69,-6,537
8511,-10365,18014,3,31,-14,536
10071,-9874,18043,6,6,-21,534
11306,-9384,18759,-13,54,-6,537
10188,-9590,18435,-35,95,11,536
8747,-10041,17592,-32,66,8,535
8482,-10286,17396,-11,11,0,527
9257,-10090,18171,-1,-13,1,532
9776,-9551,18357,-20,11,8,531
8737,-9894,17543,-42,29,15,533
8139,-10443,16955,-39,16,16,533
