ax,ay,az,gx,gy,gz,flex
15964,13513,-2686,-150,204,0,507
12895,13013,-3059,-112,201,-13,507
-29233,26683,-2127,158,288,12,505
-25154,-29930,4481,203,359,164,506
-25801,-23624,11336,171,294,299,510
-26566,-19604,19053,109,239,469,508
30076,-17632,19799,-43,175,572,484
20269,-21290,17788,-152,115,572,456
12228,-26095,16298,-244,74,572,427
853,-27076,15091,-443,80,572,406
853,-27076,15091,-443,80,572,406
-9678,-27704,9914,-572,42,572,356
-16219,-28419,2569,-572,-18,572,314
-20661,-30469,-4010,-572,-55,572,309
-22946,30674,-6246,-572,-43,550,292
-23466,-32666,-8100,-572,17,428,282
-23093,-31126,-11679,-572,75,322,266
-17416,32537,-17268,-572,116,99,264
-18131,-25154,28488,-572,347,-223,264
-20809,-32656,-88,-572,529,-572,256
-2951,-23350,13533,-103,522,-572,266
-16897,-21781,27988,387,572,-572,271
-2737,29,-21485,572,572,-572,278
12905,205,-23397,572,572,-572,282
9423,-12386,-10698,572,572,-89,288
-21212,-16583,19485,572,572,298,289
-29616,-15769,-27017,572,446,340,291
-26988,-23183,-25987,572,160,536,292
-30989,30733,-30028,572,155,572,294
20456,-28596,30811,368,264,572,293
4197,-32028,24917,-24,345,572,293
-7747,28340,18033,-380,352,572,291
-14395,24780,11267,-572,334,572,289
-17612,23623,3853,-572,355,572,288
-17827,21181,-2500,-572,428,483,286
-18543,19838,-7658,-572,532,266,284
-24153,23633,-13915,-572,507,2,283
-31154,30507,-22701,-572,218,-235,281
32509,-28861,30351,-572,-127,-398,274
-31615,-14573,11131,-572,-349,-443,273
-12071,-9258,-18425,-572,-73,-424,273
-12963,-14651,28606,-326,572,-572,272
-18043,-7503,4580,572,11,-572,286
-15191,-2462,29959,341,340,-572,287
-27802,20102,30047,572,572,-572,305
29016,20622,-28105,572,433,-572,312
27693,24329,-17474,572,188,-572,340
-29076,21112,-11542,572,76,-572,402
-19721,11787,-17700,572,244,-572,435
32468,11806,-15650,572,572,-489,472
15415,-4041,1421,572,572,-104,491
460,-24330,3314,572,572,37,494
8178,-29684,13846,572,370,2,489
5305,21730,15003,383,380,58,474
0,13925,14572,359,312,123,497
323,9835,13317,305,230,139,506
166,4050,11257,205,214,133,489
1941,-1029,9816,170,178,112,490
5187,-2039,7531,156,183,90,500
3873,-2932,4638,132,118,83,492
6207,-4667,1892,111,22,76,484
10453,-5393,254,106,55,60,485
9257,-4540,-3206,51,119,41,496
7580,-6521,-5638,7,52,17,489
12905,-9002,-6374,26,24,0,496
14886,-6815,-7266,46,126,-5,493
13483,-6825,-7747,26,203,-10,488
12748,-6864,-6972,21,230,-15,492
11473,-7452,-5707,41,209,-22,483
11865,-7933,-4471,75,151,-43,483
13542,-7119,-3961,74,159,-61,491
12875,-5354,-3579,45,173,-71,482
11718,-7393,-3353,17,166,-90,448
14846,-8855,-2147,41,174,-136,445
15199,-5344,-1294,58,259,-180,438
12816,-4569,-941,42,264,-213,428
13552,-4824,-460,-2,200,-250,445
15699,-2696,1078,-25,181,-321,459
15111,-990,1235,-21,152,-369,452
14376,68,-235,-78,58,-378,443
