ax,ay,az,gx,gy,gz,flex
2981,3569,-6697,572,-255,512,538
-1519,2431,-7021,572,-173,376,536
-5069,-1951,-5854,572,-160,212,535
-6001,-4599,-5393,572,-121,41,535
-7413,-3491,-3971,572,-97,-68,518
-7678,-9,-1088,572,-220,-191,522
3853,6776,11571,572,-194,-304,502
12983,15631,29379,572,16,-332,480
30595,-22212,2706,0,240,29,522
-7521,9541,25878,-572,112,78,522
-7521,9541,25878,-572,112,78,522
2490,-764,23996,-572,-20,204,515
39,-10178,19220,-572,90,313,504
-3598,-14248,12571,-572,109,354,520
-4373,-18249,-539,-572,126,340,535
-5932,-26065,-11189,-572,118,234,526
-5530,-29046,-13679,194,-36,-15,529
-5334,-28046,-14464,572,-129,-188,538
-2559,-26065,-10600,572,-174,-325,541
2628,-15935,1951,572,-146,-389,499
7246,-5726,13267,572,-54,-450,516
14866,-31803,-29282,572,-7,-288,532
11159,19877,-27449,-466,198,122,533
-2961,3059,21368,-550,44,170,503
1284,-6854,21466,-572,30,245,522
-2431,-11022,19877,-572,54,289,528
-3540,-14385,10473,-572,7,275,532
-1882,-17523,4138,-572,-4,206,535
-1166,-20897,-402,-433,-18,89,531
-607,-22162,-1647,-175,-32,8,524
-29,-22044,19,-37,-33,-21,528
451,-20681,2137,32,-24,-24,537
853,-19279,4559,60,-8,-29,525
764,-18592,6805,40,-3,-25,527
911,-18259,8158,22,-3,-34,537
725,-18386,8737,17,11,-53,534
470,-18494,8825,14,27,-59,533
657,-18534,8963,-7,17,-52,533
1461,-18475,8943,-28,3,-40,531
1961,-18504,8482,-35,0,-24,533
1971,-18357,8051,-27,0,-15,531
2186,-18239,8051,-22,-5,-9,535
1755,-18426,7501,-29,-4,-1,536
1441,-18406,7501,-30,-4,1,532
1657,-18377,7295,-33,-1,-4,538
1588,-18475,7178,-30,4,-13,534
1500,-18534,7148,-28,6,-17,532
2010,-18475,7256,-26,8,-19,537
2157,-18426,7276,-26,11,-20,539
2127,-18347,7325,-25,13,-21,533
2235,-18288,7364,-23,14,-21,540
2333,-18239,7295,-24,15,-19,539
2177,-18122,7315,-23,18,-18,528
1971,-18073,7227,-17,18,-18,518
1873,-17778,7178,-18,10,-20,517
1814,-17445,7237,-31,4,-25,508
1608,-16945,7197,-49,0,-30,509
1755,-16347,7050,-71,0,-40,498
1745,-16003,6707,-93,4,-55,513
2059,-15905,6521,-113,12,-73,528
1990,-15768,6187,-133,18,-93,526
1873,-15650,5658,-156,12,-109,516
2755,-15376,5060,-173,-4,-126,502
3628,-14807,4971,-181,-6,-148,523
3471,-13934,4726,-189,4,-175,521
3177,-14032,3500,-215,-7,-195,519
4187,-14199,2284,-250,-17,-215,509
4491,-13895,1961,-271,-10,-244,510
3765,-12895,1117,-278,-27,-281,506
6079,-12365,-1088,-296,-70,-322,503
8315,-12405,-1902,-333,-64,-353,512
8864,-10708,-1676,-371,-36,-392,504
13218,-8639,-4746,-422,-40,-457,506
17582,-9129,-8198,-527,-1,-501,505
19122,-9414,-10139,-572,77,-538,501
18730,-7835,-9610,-572,179,-572,507
18484,-4697,-10786,-572,220,-572,508
18514,-1912,-10757,-572,202,-572,514
18426,676,-8855,-561,207,-572,516
17827,4050,-7864,-507,261,-572,515
