ax,ay,az,gx,gy,gz,flex
9747,22142,4638,7,151,159,435
13032,24182,1098,0,114,171,404
28252,25751,-3971,-4,248,189,396
-30185,32047,-12081,12,366,194,346
-11602,-26664,-18092,56,137,328,353
4903,-15416,-22868,205,86,572,318
-560,4814,-19985,410,189,572,325
-18427,25555,-13826,494,242,572,332
30713,-31489,-7599,507,121,572,341
14640,26780,4677,490,121,572,347
14640,26780,4677,490,121,572,347
-5128,3775,16680,352,274,572,342
-26634,-9258,19465,102,263,572,334
28135,-13337,14680,-133,-22,572,328
30606,-30940,7207,-190,-281,572,337
-27938,18622,6766,-2,-219,553,343
-24839,8884,7099,99,-58,373,342
-19514,-1402,6609,77,-76,187,336
-8207,-9649,5030,54,-163,10,340
7099,-12081,3863,45,-215,-114,348
17602,-12924,578,10,-175,-153,351
23496,-13366,-2324,-10,-134,-133,354
25074,-12522,-2461,17,-101,-98,355
24182,-11130,-2235,15,-56,-67,355
22162,-10345,-2049,-6,-23,-49,349
20583,-9208,-2392,-20,-14,-42,355
20004,-8404,-2382,-17,-5,-37,343
19769,-7443,-1480,-9,7,-29,351
18651,-7139,-1196,-20,16,-15,348
17759,-7374,-1147,-20,-3,-16,350
18043,-7511,-1000,-19,-25,-18,354
18367,-7707,-1333,-23,-21,-16,356
19112,-7992,-1637,-22,-8,-12,355
19122,-8217,-2010,-20,12,-6,355
18828,-8237,-1922,-11,11,-4,355
19063,-8296,-1667,-10,4,-5,355
19083,-8188,-1647,-13,9,-4,353
18994,-8090,-1667,-14,13,-2,355
18867,-7815,-1539,-12,18,0,352
18563,-7727,-1392,-10,20,2,354
18318,-7845,-1088,-12,15,3,358
18112,-8011,-941,-13,12,2,357
18210,-8090,-833,-13,2,0,359
18475,-7933,-921,-19,2,0,356
18406,-8041,-1225,-21,6,0,361
18141,-7943,-1451,-19,3,-2,358
18220,-7933,-1461,-14,2,-3,354
18171,-7658,-1294,-13,1,-6,360
18092,-7756,-1323,-14,0,-6,360
18024,-7756,-1166,-13,-2,-10,357
18230,-7845,-1196,-12,-5,-13,358
18318,-7590,-1245,-15,-5,-14,367
18514,-7521,-1166,-18,-7,-14,368
18563,-7511,-1049,-21,-5,-13,368
18543,-7217,-1068,-20,-6,-13,369
18426,-6746,-951,-20,-4,-10,369
17769,-6736,-794,-23,4,-11,369
17141,-6462,-755,-20,9,-17,369
16582,-5844,-480,-16,19,-21,370
15699,-5344,98,-12,43,-24,370
14062,-5266,441,-6,61,-36,371
13189,-5570,274,3,59,-59,371
13199,-5226,235,18,59,-89,374
13934,-4403,313,28,59,-124,374
15248,-3010,598,11,53,-150,383
16602,-2314,98,-24,43,-146,392
18749,-451,-1735,-68,35,-123,397
19916,1333,-2686,-85,36,-107,401
18994,-843,-2461,-71,39,-106,409
17955,-1931,-1412,-26,33,-117,416
17072,-647,-539,6,22,-136,426
17219,-421,98,15,26,-161,423
18024,607,1549,31,44,-193,437
18033,2412,1706,20,63,-222,444
17926,3432,1833,-15,73,-239,441
17141,3902,1598,-45,69,-263,442
17847,5726,1686,-37,49,-307,450
20132,7011,2029,-29,68,-340,456
20789,7560,3138,-14,114,-349,458
19730,9002,4520,0,110,-371,456
