ax,ay,az,gx,gy,gz,flex
23486,-26497,-2922,318,-572,572,383
19544,31900,-8502,375,-572,572,300
19769,27663,-15160,572,-572,572,293
16013,25055,-19455,572,-572,572,273
11267,19151,-22799,572,-572,572,265
9149,17827,-24143,572,-572,572,270
8953,16915,-21623,572,-318,572,269
4628,14523,-17357,572,26,501,276
-2265,12375,-14582,572,241,432,268
-4383,11502,-10816,572,311,342,280
-4383,11502,-10816,572,311,342,280
-2598,9816,-4863,572,472,267,268
-5570,6756,-470,572,572,246,277
-12522,4295,1853,572,572,219,275
-20103,1618,6560,572,572,191,268
-31949,-1019,15719,572,572,229,261
21486,-2892,26781,525,261,255,254
28920,4530,-23271,572,-37,104,269
-21426,11375,-9385,439,-92,-15,277
-15945,5422,-14573,-7,-98,147,282
-21142,-8953,-32264,-142,-303,403,281
-23800,-19004,24113,-10,-572,572,272
-21279,-19700,26467,71,-572,572,267
-23015,-14405,31801,36,-572,572,273
-24721,-7168,-30077,-107,-478,512,280
-24810,1245,-29753,-348,-405,401,288
-24309,8708,29242,-572,-371,341,296
-23407,13925,20230,-572,-377,290,292
-20053,22691,6942,-572,-306,165,292
-14591,30840,-8649,-572,-51,26,300
-11757,-30342,-18288,-572,0,-266,299
8688,-4276,-23192,-572,148,-572,304
-17672,16092,29861,-572,572,-572,307
3383,-27282,324,-572,572,-568,310
-22240,3392,29783,-572,-320,99,290
-27105,-10169,24124,459,-572,-332,303
-31705,10041,-15494,131,312,-205,297
12199,2265,-15013,-8,113,14,302
13032,617,-17043,-98,-95,-80,306
17298,1029,-24966,-205,14,-71,307
12032,-3853,-31409,-116,-111,-41,308
16141,-2549,-25457,41,-133,-19,306
13150,117,-18612,69,43,5,308
7943,-353,-16327,-3,64,32,306
6462,-2402,-17916,-63,29,39,305
5893,-3039,-19416,-32,1,21,305
7688,-2530,-18445,-3,0,16,305
7109,-2343,-17357,-3,30,29,297
5628,-2912,-16906,-4,6,24,304
5579,-3089,-16572,-8,-9,20,305
6158,-2951,-17004,-18,-6,19,304
6589,-2922,-17582,-41,33,16,304
5981,-3039,-18494,-39,29,12,306
5638,-3275,-18916,-30,-2,9,305
6501,-2716,-19279,-19,-19,2,304
6589,-2539,-18916,-20,-5,4,304
6256,-2441,-18671,-16,-11,10,301
7148,-2530,-18367,-19,-16,8,301
7952,-2275,-17916,-24,13,5,302
7697,-2628,-17837,-15,37,9,309
7639,-2481,-17700,-11,-7,20,309
8325,-1755,-17121,1,-28,33,309
8227,-1569,-16288,31,-1,31,309
8364,-1794,-15621,52,60,27,310
7197,-1735,-15415,76,72,17,309
7756,921,-14944,86,53,12,317
9541,1206,-15494,97,115,30,326
11022,2088,-16141,100,267,35,380
9835,3138,-17739,133,367,37,427
9149,3481,-15994,153,429,41,446
9737,4452,-14336,204,494,21,463
11071,6638,-10316,169,572,0,467
8482,6089,-8639,91,572,20,467
4089,1402,-8374,60,572,29,488
7384,2078,-5344,59,535,-27,489
6795,2667,-3255,39,522,-104,473
4334,-392,-2098,3,410,-173,484
7590,-696,343,-12,284,-268,488
9051,1647,990,-51,271,-382,482
9237,843,3432,-65,180,-517,491
