ax,ay,az,gx,gy,gz,flex
-19947,3922,823,572,-12,572,268
-29812,-3500,19190,572,-44,572,270
24025,-5697,23633,457,-9,572,271
14434,-6570,27683,171,-52,572,271
2598,2147,32498,-159,-82,572,272
-6540,9365,27516,-490,-82,572,273
-13679,19289,19445,-572,38,572,264
-22956,25653,7844,-572,167,572,273
-22270,24966,-7277,-572,143,525,275
-14454,21877,-19251,-572,208,366,276
-14454,21877,-19251,-572,208,366,276
-10992,19318,-29076,-572,330,312,276
-9718,17386,27987,-572,427,231,277
-8453,16356,21838,-572,473,114,277
-6540,14787,17455,-570,473,-5,278
-3775,13464,14709,-486,446,-112,278
1108,12542,11581,-426,462,-144,279
1980,11561,8492,-360,475,-141,279
3147,10973,6364,-286,454,-149,280
5324,10463,4540,-226,459,-134,280
5648,10169,2981,-167,489,-97,280
4805,10051,941,-101,493,-87,280
5717,10522,-460,-25,471,-100,281
8453,11149,-2990,49,472,-96,281
10610,12248,-5344,169,483,-76,281
12346,14444,-5883,312,458,-67,281
16886,14434,-7962,458,426,-46,281
19622,15915,-3491,572,401,-39,281
23446,17004,7658,572,302,-84,281
29242,11708,12993,572,201,-134,281
-28880,6354,19759,572,82,-222,281
-22693,3128,26614,572,-52,-240,281
-15377,-4363,-30479,572,-117,-98,282
-16407,-8433,-25105,572,-129,72,281
-18956,-10610,-18839,572,-247,81,281
-3815,-8227,3922,572,-171,200,281
-5757,-3167,22348,572,62,572,281
-18701,2294,28977,464,57,572,282
30154,5285,32517,135,-30,572,282
11316,14807,-32205,-230,-30,572,284
-4707,22652,25221,-558,2,572,284
-13522,26692,12993,-572,66,572,279
-14307,28154,-3198,-572,112,572,282
-11473,25712,-18270,-572,174,506,283
-9374,21740,-28772,-572,290,398,284
-9747,19200,28144,-572,414,279,285
-8619,16425,21613,-572,461,147,284
-5315,14493,17739,-553,483,43,284
-2245,13003,14905,-463,513,-27,285
-666,12395,12885,-385,533,-69,286
176,11904,10718,-330,518,-121,286
2402,10708,8629,-269,491,-165,287
4334,10002,7472,-212,496,-161,287
4697,9443,5903,-170,501,-149,288
4608,8963,4422,-128,483,-164,288
6893,9159,2049,-86,468,-180,288
9257,10051,-1461,-32,492,-162,288
11218,12512,-5148,67,489,-160,288
16729,16249,-10806,192,473,-157,288
19141,17210,-13071,378,485,-87,289
18945,19642,-2481,572,405,-105,289
24290,16366,8100,572,259,-191,289
30586,12473,13679,572,227,-183,289
32292,10708,20093,572,172,-173,289
-25899,8923,23368,572,8,-226,289
-17142,5275,25839,572,-57,-179,289
-15612,2755,-27860,572,-40,-10,289
-18309,-529,-10905,572,-73,195,289
-26341,-7727,6658,572,-122,372,289
24025,-11493,19210,572,-101,572,290
-588,-6138,15748,310,-120,572,290
-15435,-7443,-2021,104,-241,357,290
-14925,-3481,-17485,70,-266,246,290
-12365,-3353,-30449,103,-131,297,290
-11679,49,28154,105,101,430,290
-14787,2118,21554,64,182,374,290
-11444,1402,17651,54,94,168,290
-5373,627,15582,57,55,31,290
725,1431,16258,61,90,-30,291
3961,1745,16925,65,161,-35,291
