ax,ay,az,gx,gy,gz,flex
-19741,-31273,22162,-52,-280,295,251
-16299,-24664,21260,-103,-399,482,252
-14014,-19368,20259,-122,-319,572,253
-24615,-13602,18161,-130,-143,572,256
26751,-10042,13277,-149,-150,572,259
14542,-12661,7952,-154,-191,572,261
706,-22712,1951,-89,-138,572,263
-11071,31448,1588,-26,-41,572,264
-18396,24966,1912,-39,-22,488,265
-16415,16906,-804,-85,-49,332,266
-16415,16906,-804,-85,-49,332,266
-12669,9590,-2951,-70,-29,241,267
-10532,5981,-4226,-57,35,172,267
-8315,3010,-4667,-46,61,112,267
-3981,1039,-2843,-25,62,80,268
1627,-696,-1421,-34,92,51,268
6030,-2716,294,-32,118,23,268
9904,-3726,2294,-17,114,-12,269
13915,-3902,4844,4,87,-42,269
17023,-3285,5668,-10,24,-36,270
19632,-3598,5354,-28,9,-25,270
20367,-3383,5275,-22,74,-35,270
19671,-3471,6021,-9,100,-49,271
19700,-2569,7060,-4,54,-53,271
21073,-2363,6903,-19,0,-47,272
22368,-2167,6089,-28,-1,-37,272
22329,-2343,5687,-20,24,-23,272
21103,-2196,5991,-14,32,-19,273
21142,-2294,6158,-11,22,-18,273
21132,-2235,6325,-14,13,-13,273
21083,-2206,5913,-19,9,-8,273
20789,-2441,5501,-16,11,-7,273
20701,-2196,5589,-13,11,-9,274
20495,-2029,5530,-15,9,-7,274
20161,-2049,5246,-17,9,-4,274
19730,-2481,5285,-12,14,-4,274
19524,-2245,5756,-2,9,-12,275
19916,-1931,5991,0,-4,-15,275
20338,-2000,5981,-3,0,-13,275
20289,-1931,6197,-4,14,-13,276
20014,-1794,6178,-5,12,-14,276
20308,-1931,6099,-1,0,-12,276
20818,-1686,6462,-2,7,-9,276
20171,-1618,6374,-7,10,-7,276
20152,-1706,6246,-9,4,-8,277
20250,-1765,6256,-8,6,-8,277
20259,-1647,6315,-10,4,-7,277
20240,-1588,6285,-11,2,-7,277
20240,-1823,6236,-11,3,-8,277
20289,-1676,6138,-8,7,-11,278
19985,-1676,6178,-5,6,-10,278
20053,-1716,6334,-5,2,-9,278
20112,-1706,6344,-9,7,-11,278
20014,-1696,6217,-8,12,-14,278
19926,-1647,6197,-6,14,-16,280
20112,-1510,6383,-5,12,-15,278
20279,-1529,6550,-6,11,-13,279
20357,-1402,6540,-7,13,-14,279
20612,-1421,6570,-9,17,-10,279
20495,-1353,6344,-10,17,-7,279
20367,-1431,6432,-7,16,-6,279
20367,-1343,6550,-3,10,-6,279
20299,-1470,6521,-4,-1,-2,279
20603,-1490,6776,-1,5,-3,279
20289,-1265,6874,-3,8,-2,280
20279,-1480,6736,-6,4,0,280
20407,-1676,6893,0,8,-2,280
20201,-1333,7315,-2,10,-2,280
19926,-1412,7158,-8,3,1,280
19897,-1549,6884,-8,-2,0,280
19985,-1588,6864,-3,1,-3,280
19995,-1372,7276,-1,7,-7,280
19857,-1255,7315,-6,0,-5,280
20318,-1392,7168,-8,-2,-7,281
20299,-1245,7197,-8,5,-8,281
20034,-1166,7139,-11,4,-8,281
19975,-1166,6893,-11,0,-5,281
19867,-1176,6776,-10,2,-5,281
19789,-1068,6854,-9,8,-7,281
19700,-1098,6844,-11,6,-8,281
