ax,ay,az,gx,gy,gz,flex
-2686,23760,27477,-298,412,242,339
-9355,20965,32341,-388,168,219,299
-9247,21623,-27674,-425,-98,234,280
-5413,26173,-22712,-485,-144,251,269
-4373,-32460,-18819,-572,-57,218,260
-7786,-29528,-19084,-572,-99,138,256
-5432,-29410,-24860,-572,-306,73,254
2157,-29724,-29802,-572,-410,39,253
9423,-29047,32194,-572,-307,59,253
7609,-30802,27075,-572,-192,86,253
7609,-30802,27075,-572,-192,86,253
7266,-30665,23133,-572,-249,61,256
11404,-30704,19426,-572,-261,46,260
12071,-32450,14876,-572,-252,34,262
13267,30978,9070,-572,-312,52,261
16778,29526,4608,-572,-334,107,260
15945,23466,-1225,-572,-250,168,260
13267,20867,-4687,-572,-153,223,261
10649,18808,-7550,-572,-64,239,262
9982,16964,-10090,-572,-12,229,262
13032,16003,-12012,-572,74,239,263
13326,15994,-14562,-572,183,258,264
11865,16190,-16690,-572,163,229,264
14356,16866,-18690,-572,90,199,264
15729,16327,-22132,-572,135,253,265
10816,19955,-25623,-572,132,273,265
4922,23270,-32076,-572,73,210,265
3746,26065,27380,-572,-29,120,264
4932,27751,23693,-572,-11,122,263
1039,28095,22614,-445,-6,136,263
-509,27261,24928,-309,-50,62,262
3314,24555,27684,-224,-122,-25,262
6060,23574,31499,-175,-152,-25,262
6472,24506,-30321,-235,-185,-106,263
8874,22397,-30438,-312,-229,-239,263
12738,23231,-29075,-343,-163,-224,263
9698,26369,-27938,-378,-79,-282,263
10237,28605,-32115,-369,23,-406,264
10031,-29224,28841,-221,163,-537,265
11738,-26331,29910,89,325,-572,269
12444,-24752,-26212,488,473,-572,280
19338,-20006,-12473,572,572,-572,308
22250,-21859,-8325,572,572,-500,357
7423,-23144,-3481,572,572,-366,481
21064,-10425,10639,572,572,-13,587
-20250,-26400,-9503,572,572,572,602
-26987,9051,31635,572,572,572,609
10562,24506,-462,572,376,70,611
-19181,3981,30713,572,-507,-403,611
23466,7550,-20672,572,-34,-291,612
5099,6040,-7365,557,274,-51,612
529,1421,-10680,133,-4,-41,612
9168,-6354,-24330,-52,76,-9,612
2108,-6795,-31508,3,260,70,611
-6835,-3265,31919,-36,143,83,610
-3177,-2608,24594,-99,-44,42,609
5530,-2598,17622,-72,-30,54,607
5824,-2559,16621,3,100,146,604
4373,1480,13160,47,141,211,600
2951,5854,6599,41,82,227,595
2647,6050,5109,82,33,267,588
2186,9570,3706,161,38,310,577
-215,11797,392,165,35,317,562
-657,9992,2530,120,45,298,549
-1186,7903,6952,164,109,240,537
-2088,5089,9384,271,190,173,527
-6599,5364,9669,322,123,118,520
-6638,3265,13120,278,-76,37,517
-2206,657,19308,327,-139,-25,518
-1039,4667,21064,383,-81,-77,521
-411,6933,26300,313,-58,-161,524
-2902,9267,-30842,252,-54,-223,527
-3432,13150,-27400,88,-172,-363,528
6403,6864,-32283,-35,-208,-493,526
10022,284,30635,37,-105,-433,522
7119,-3118,29183,243,10,-282,522
1186,11924,-31352,319,-203,-259,514
32419,-7903,-17691,79,347,256,523
-10482,-24515,4442,572,183,-270,506
-13062,-22006,14552,572,30,-88,515
