ax,ay,az,gx,gy,gz,flex
26692,32223,-13710,-123,-157,387,255
23819,-21408,-5247,-251,-150,572,257
3451,-14328,3157,-416,-292,572,259
-5864,-2501,10865,-560,-471,572,260
-18838,8756,15199,-572,-465,572,262
28135,14748,12218,-572,-479,572,263
18672,11718,4069,-572,-567,572,264
25605,1764,-8601,-572,-552,572,265
28312,-2746,-19123,-572,-378,572,266
29822,-9964,32449,-572,-168,572,267
29822,-9964,32449,-572,-168,572,267
30812,-14877,18730,-572,20,453,268
27400,-18191,4863,-572,83,244,269
-29664,-21584,-5775,-572,108,33,269
-18053,-20467,-10845,-572,529,-40,270
-18681,-27429,-19593,-572,572,-178,270
-13591,31419,-21475,-410,572,-340,271
-2667,32576,-19985,-77,572,-408,271
-5452,-31822,-21554,214,572,-369,271
22457,-19957,-14189,572,572,-572,272
16249,-28361,-28900,572,572,-572,272
25790,16072,-32303,572,572,-572,272
-22202,18141,-32519,572,353,-572,273
-24693,18700,30438,572,496,-572,272
26467,15680,25182,572,572,-20,273
7482,20102,-10542,572,572,560,273
-9758,21073,4677,572,570,572,273
1990,-29135,17788,572,379,572,273
-21428,-3296,-20869,214,572,572,274
-26212,-15318,-10974,-377,116,572,274
-16896,31674,-19280,-551,-343,572,274
-17112,-31097,-23448,-572,-56,572,275
27164,31850,28497,-572,107,572,275
19152,16229,2363,-572,4,572,275
29047,5726,-21359,-572,-9,572,276
-31076,-1423,23319,-572,201,571,276
-23211,-7708,6079,-572,501,436,276
-18671,-18672,-12022,-572,572,303,276
-13699,-31832,-20505,-567,572,182,276
-9639,28203,-18249,-201,572,120,275
-16857,31429,-6884,221,572,95,275
28723,-17966,20897,572,572,-213,276
-8256,2372,-8973,572,572,-572,276
21730,-20015,-12053,559,572,-572,275
-31468,-18878,-25664,572,572,-572,275
12669,31752,32694,572,-123,-572,276
27104,-24880,23446,449,572,-572,276
-31714,13179,17465,462,572,-572,276
27418,18357,21877,572,318,-572,276
-17191,13375,5824,572,27,-572,276
-22408,13905,11502,572,381,-210,277
19043,-32381,20907,572,572,169,277
6276,-22359,28203,572,572,313,279
9208,-9582,-25419,572,572,572,281
-7639,17160,-3629,572,572,572,287
-13483,23230,9659,572,393,572,299
-22858,23456,9982,572,287,572,356
-26594,-726,-9366,572,-48,572,472
-16239,-6571,24859,572,-518,572,603
6991,-10503,30203,572,-354,572,617
-3981,19916,15641,572,98,572,620
-13032,-4767,18553,572,350,572,621
-18818,-18093,19495,453,360,449,622
-14258,-31165,17602,108,364,352,622
-19867,20907,12228,20,253,391,621
-21799,11669,8541,106,-109,340,621
-12130,5893,9757,178,-182,218,621
-12042,1578,11267,124,6,107,620
-12356,-970,11797,66,104,30,620
-11826,-1343,13650,65,118,3,619
-11434,-392,15180,44,117,-60,619
-11061,1372,14542,-44,107,-157,618
-7080,3030,14297,-132,105,-234,617
-4834,6746,13728,-219,136,-266,616
-1451,11640,12434,-292,259,-299,612
274,18514,12336,-320,447,-392,608
4922,27987,16288,-436,572,-463,602
14738,-30704,17641,-572,572,-462,596
21760,29948,14081,-572,572,-436,587
13954,26996,10728,-446,572,-502,577
