ax,ay,az,gx,gy,gz,flex
1039,-235,-147,248,-140,572,511
1176,-3147,392,208,-119,493,514
-225,-5609,1059,240,-102,438,518
-1922,-6805,1059,262,-101,372,523
-1912,-7894,1215,291,-118,308,527
-2667,-10414,2343,346,-158,269,529
-3726,-13228,3461,468,-253,245,525
-3069,-15621,490,572,-380,233,509
1147,-12503,-3147,572,-458,237,506
4520,-8374,1804,572,-370,234,506
4520,-8374,1804,572,-370,234,506
1814,3383,19014,572,-221,171,514
6874,-12023,21475,235,31,161,513
-13346,4148,30487,-563,40,-118,502
647,-6648,17278,-404,-23,-96,489
3226,-12052,19171,-478,-57,-74,488
3844,-13101,15474,-572,-3,-50,492
1588,-15817,11316,-572,3,-87,493
3196,-17298,7668,-572,32,-89,493
2755,-19632,3834,-372,91,-48,493
1686,-20877,813,-148,41,-21,492
3902,-21250,-1049,64,0,10,493
3912,-20201,607,347,36,48,495
2343,-20603,-1863,572,16,72,492
4040,-18131,-4069,572,-27,112,492
558,-8590,-882,572,-77,122,501
-1265,-3217,2647,572,-132,116,518
-13081,18994,-28194,-572,170,-58,512
3265,-16033,1627,-271,-40,-116,501
4569,-20720,5393,78,-9,-29,511
3392,-2647,26555,73,-45,15,514
-1343,5216,29772,-109,-7,-2,514
-509,1912,24466,-217,-35,-34,515
284,-19,22937,-383,-16,-49,516
-2255,-853,20936,-501,-21,-34,517
-5324,-441,19740,-526,-102,-61,517
-4608,627,18622,-566,-152,-158,517
-2716,1882,15964,-572,-92,-283,516
-1245,1304,12287,-572,17,-374,515
-1127,-284,8874,-572,85,-442,514
-539,804,6030,-572,97,-540,515
1117,3559,2294,-572,96,-572,515
4805,4059,-715,-572,117,-572,516
9825,3589,-3589,-572,230,-572,515
10228,6570,-5040,-572,312,-572,516
9874,12944,-8462,-572,176,-572,516
15631,14336,-10247,-572,-46,-572,514
22633,11404,-5187,-416,45,-572,514
23172,20563,-5256,-270,232,-572,515
23603,26506,-5981,-265,277,-572,516
23044,25682,-2647,-309,292,-572,516
21436,24712,862,-247,354,-572,516
17004,29271,3520,-104,360,-572,517
13817,-30851,4912,-41,259,-572,518
9982,-27449,5805,-24,45,-572,519
9698,-22977,7443,-104,-149,-572,520
12875,-21947,7521,-204,-227,-572,520
17465,-27586,6825,-247,-185,-572,519
18681,32115,5687,-211,-54,-572,518
18671,27644,6462,-131,83,-479,518
16102,23682,8443,-2,169,-328,518
12032,22613,10639,121,146,-184,518
9316,22731,11375,179,33,-92,519
9080,23015,10188,179,-97,-51,519
10316,22750,8864,145,-149,-40,519
11365,21740,7933,80,-116,-21,519
11169,20887,6795,21,-31,14,519
9727,20730,5775,-11,48,52,519
8511,20887,5324,-40,104,84,519
7178,20858,5236,-61,146,111,519
5874,20828,5256,-78,174,139,519
4383,20828,5471,-85,184,164,519
2794,20681,5315,-82,170,186,519
1451,20416,5373,-82,128,199,518
990,20093,5334,-72,84,204,518
774,19965,5158,-53,42,200,518
794,20044,5089,-39,12,190,518
980,20093,5001,-28,-7,181,518
1157,19848,4854,-19,-6,174,518
1176,19102,4393,-11,0,162,518
