ax,ay,az,gx,gy,gz,flex
1608,-1519,-16044,-556,135,353,328
-2412,-4971,-13396,-572,174,373,328
-11953,-6776,-11239,-572,222,347,329
-20838,657,-7905,-572,305,297,330
-29154,5373,-11454,-572,344,167,332
30636,10777,-15416,-572,371,-8,334
27596,20642,-21545,-572,289,-223,334
-27653,24810,-30959,-572,275,-346,335
-22554,26408,27555,-572,401,-313,336
-25408,25878,21397,-572,478,-303,336
-25408,25878,21397,-572,478,-303,336
-24280,26231,14964,-463,437,-363,336
-17268,25623,9757,-402,521,-361,336
-16170,24898,4099,-288,572,-349,337
-12189,23956,1716,-131,572,-369,337
-7482,22878,1421,-5,572,-343,338
-3451,24329,1745,94,572,-344,338
6168,22554,1627,158,572,-295,339
10865,20446,2539,232,572,-159,339
11336,19848,3196,274,572,-36,340
11846,18328,3814,340,572,78,340
11434,14964,7119,468,572,146,340
13444,15013,14974,572,454,172,342
14062,11238,22015,572,365,223,343
12483,7237,28399,572,234,214,343
15621,8845,-30636,572,46,127,346
22083,8070,-26605,572,1,167,349
18396,6305,-24320,572,45,311,349
13689,6550,-19025,572,-54,326,350
17818,9776,-14230,572,-109,346,351
16886,2677,-9395,572,-59,557,352
6776,7972,-1746,561,-6,572,353
6972,10865,853,438,-191,572,354
12473,12306,4304,276,-117,572,357
1039,19279,6020,36,87,572,356
-8600,19789,6344,-108,77,572,357
-21377,20201,12395,-316,47,572,357
-26879,18494,15631,-572,-8,572,357
-24721,15847,15807,-572,103,572,357
32332,26839,9688,-572,304,572,354
26762,26330,-4923,-572,337,437,345
31822,27389,-16691,-572,298,158,342
-24349,28310,-26605,-572,324,-24,344
-16376,26408,30654,-572,481,-64,345
-18318,27310,26722,-572,559,-122,346
-18131,27232,23525,-572,541,-238,346
-16209,27575,19210,-466,476,-358,347
-11345,28869,13552,-417,449,-408,348
-8727,25996,3353,-364,444,-421,348
-4589,20887,-3500,-215,473,-400,348
-4844,19808,-3324,-74,524,-385,348
-2706,18720,-617,33,488,-425,350
2824,17827,1539,81,490,-417,352
5266,14954,1676,97,489,-362,353
8060,12512,794,132,478,-313,353
10885,11630,58,198,484,-262,353
16670,11944,1117,283,502,-187,354
17827,12414,3971,379,571,-77,354
17210,11522,10875,477,515,-9,354
16915,11777,16170,526,369,-13,354
21877,9639,18975,536,264,9,354
18700,7756,22378,572,289,89,354
17435,10051,25947,572,154,64,355
22093,10090,30527,572,141,137,355
16670,10610,-31822,572,116,210,355
18484,7011,-24281,572,28,240,356
15621,13081,-19309,572,61,312,357
16788,7688,-16524,572,16,401,357
6030,8178,-10229,572,129,572,359
-2333,9551,-8395,496,20,557,359
2147,7688,-8424,387,46,572,360
-13267,9561,-6502,238,164,572,361
-32674,9423,-15779,26,-42,564,361
-24094,6717,-28351,-63,-329,190,361
-11698,1372,29487,-31,-202,190,361
-16857,5785,25486,-19,50,296,361
-19024,7217,22172,-36,15,200,361
-13297,8168,18916,-30,14,122,361
-8521,7766,16072,-43,55,91,361
-4510,8560,15484,-23,80,81,362
