ax,ay,az,gx,gy,gz,flex
25025,-16876,-2922,-131,320,-393,315
22211,-19759,-4226,-152,243,-533,314
26202,-23800,-3118,-255,208,-572,314
-30538,-28026,-4177,-278,249,-572,315
-22918,30538,-6030,-374,285,-572,315
-23752,21790,-6746,-392,264,-520,315
28830,8003,-16003,-358,209,-278,315
18004,-3559,-26575,-259,192,-26,316
14238,-8717,-21985,-82,123,261,317
13817,-7295,-12454,20,-48,572,318
13817,-7295,-12454,20,-48,572,318
4079,-1892,-4726,109,-485,572,319
10630,883,-578,144,-572,572,320
-30685,-774,-14032,107,-464,572,321
29811,2697,-23888,151,-255,572,322
17759,27135,-16258,204,-332,368,322
6619,-2392,-8825,153,-248,-129,320
26143,-8768,12444,348,-358,-484,320
32233,22593,23329,513,448,-572,320
15552,-27145,-25232,572,572,-572,321
2284,13875,-4551,572,572,-561,321
-11983,29948,21181,-58,-377,-264,321
8933,10934,14032,34,-305,-63,321
-2304,14297,17729,180,156,-96,321
1519,10159,24221,100,200,-50,321
509,6246,26555,45,94,42,321
-3540,5815,26977,9,-42,89,321
-4157,3638,20328,-6,-85,46,321
1784,3216,15768,47,43,-4,320
4452,6109,17514,107,171,-3,320
549,7992,17523,53,166,39,319
-2539,6942,12238,0,31,45,319
-39,6580,10590,18,-42,38,319
2167,7825,9933,112,-34,16,319
5638,10669,11238,107,-3,69,320
1686,10885,9639,28,-28,98,320
196,9610,8394,-1,-114,81,320
823,8580,8492,72,-171,41,319
1186,10453,9669,120,-243,0,319
5285,10286,15150,51,-325,-21,319
4726,4363,18386,58,-332,-39,319
3373,3716,16121,155,-339,-85,319
7286,4187,16974,180,-348,-207,319
16347,5746,21113,200,-291,-250,319
20691,8149,24329,233,-220,-208,320
21191,10669,24643,217,-184,-154,320
21211,10012,24221,176,-150,-142,320
20495,9776,24300,152,-88,-158,321
18308,8845,21044,137,-84,-142,321
18455,7217,17729,150,-87,-118,321
15837,7884,16641,182,14,-108,321
10100,8217,14856,183,78,-124,321
7109,8305,12542,178,43,-174,321
9051,8855,12610,176,-32,-202,322
12169,10826,15837,193,-4,-202,322
11169,13787,16964,161,53,-200,322
9080,16062,15601,127,35,-229,322
10335,17710,13993,134,-81,-267,322
14062,19318,14886,167,-155,-256,322
16572,21976,16386,169,-99,-222,322
15611,22387,15847,105,-3,-178,322
11767,19955,13120,67,-33,-149,322
10541,17376,11051,87,-193,-138,322
12512,16611,10218,114,-295,-115,322
13189,15954,8982,125,-291,-89,322
12454,15670,7188,156,-241,-65,322
11944,18082,6619,149,-186,-50,323
12150,19171,6903,80,-126,-42,323
10885,18043,6344,17,-103,-35,320
10355,17955,6423,18,-140,-21,312
10532,19043,6746,10,-114,-4,311
8551,19043,4285,-20,-75,-1,313
8129,19053,2804,-27,-65,-2,316
7629,19661,2304,-14,-68,-1,318
8335,19916,2216,0,-65,12,319
7933,19700,1696,-7,-47,34,320
7325,19230,1304,-17,-33,38,320
7393,17955,1215,-12,0,29,322
7266,16974,1323,14,52,31,320
6923,17347,2177,30,99,32,320
