ax,ay,az,gx,gy,gz,flex
4393,24712,15288,-6,-176,33,320
4354,20201,11551,-51,-284,3,314
4667,17926,8864,2,-301,-20,312
5520,18043,8472,56,-283,-49,312
6629,18838,8806,45,-206,-59,313
6285,20328,8972,-10,-138,-23,312
-2716,14935,4569,9,-28,13,321
-706,17053,6550,82,-31,-15,324
-833,16435,6687,88,28,-46,326
-2275,17769,5560,113,53,-38,326
-2275,17769,5560,113,53,-38,326
-3304,19799,4020,139,22,-51,326
-1971,22181,5246,123,80,-29,327
-1333,22348,5383,91,46,-6,328
-1206,21299,4795,63,23,22,328
-696,20201,4246,41,-14,48,326
-137,19495,3824,15,-65,41,323
1765,18730,3971,-5,-78,24,322
2500,18475,3932,-25,-37,18,320
2098,18612,3500,-23,-6,27,316
1618,19632,3442,-31,2,28,310
1539,20181,3471,-62,24,17,306
392,19141,3765,-83,27,0,302
-88,17896,3304,-54,-7,-13,296
1510,19161,3402,-16,-33,-34,292
4197,20181,5913,-47,0,-51,286
5167,21015,8041,-134,84,-42,280
5324,18994,8031,-167,103,-46,277
10610,18190,9502,-139,54,-69,277
18230,18053,13209,-104,63,-45,278
26604,18730,20809,-63,46,-16,277
-25870,26732,26987,22,-158,-25,278
-6032,-25487,22476,-131,-376,210,278
-5012,-18839,16602,-135,-305,572,278
-17868,-5737,24339,-33,-246,572,280
31301,8462,29468,-118,-247,572,280
19573,10590,26859,-202,-300,572,280
8737,6119,23760,-203,-241,572,281
-4648,-2472,22348,-214,-215,572,280
-13081,-15495,18406,-243,-222,572,280
-16239,-30802,12012,-220,-184,572,280
-18641,23976,7492,-166,-169,516,280
-13866,16082,5128,-153,-203,397,281
-9825,11287,1588,-143,-98,339,280
-10541,7845,-1539,-130,46,285,281
-11649,5628,-2608,-121,84,216,281
-7835,1323,-3912,-88,36,135,281
98,-3853,-1372,-21,58,63,282
4922,-3432,1971,-3,52,-6,282
11434,-2785,1137,-45,-53,-21,283
17072,-4089,-2422,-33,-59,-3,283
19612,-2657,-3971,20,12,1,283
19700,-500,-4667,31,48,1,283
21789,-1902,-7266,43,-23,11,284
26526,-1578,-8864,124,-24,33,284
26604,2108,-8619,186,24,68,284
24153,372,-6835,211,5,92,284
25016,-1922,-1951,275,-79,110,284
25712,-1059,3569,294,-2,158,284
18936,-3079,9247,278,64,181,284
14787,-4893,15101,268,7,151,284
14778,-5609,18063,243,-26,125,284
14984,-7217,19828,222,23,111,284
11993,-7580,22897,189,-8,87,284
10639,-8041,25300,118,-101,52,284
13326,-9874,24643,57,-78,3,285
13895,-9286,25574,39,7,-5,285
11306,-8188,26839,-35,-5,-8,285
11306,-7972,26094,-99,-47,-47,285
13660,-7158,24447,-146,16,-83,285
13356,-5903,22760,-193,80,-99,285
12777,-4677,21564,-243,48,-103,285
13777,-3432,17690,-277,20,-129,285
16445,-2873,13974,-297,72,-149,285
17023,-254,12748,-331,109,-131,285
16209,-88,8992,-371,10,-112,285
20789,-1039,2637,-350,-42,-136,284
23907,-1029,-598,-277,28,-123,284
22838,-186,-1343,-232,84,-105,285
21623,-1255,-2098,-219,33,-89,285
