ax,ay,az,gx,gy,gz,flex
2333,-22879,-11806,-30,-572,79,606
1245,-19231,-15091,-103,-572,-263,606
7796,-23654,-13003,-16,-572,-572,604
7874,29870,-9600,39,-401,-572,604
24908,8884,-14533,-104,-438,-572,603
-27900,-5334,-25290,-325,-572,-572,603
-1727,-4893,22055,-572,-572,-572,603
18396,-15091,-2176,-572,-572,-572,602
9904,-14248,-13375,-348,-285,-21,599
-19584,-2461,-11600,-125,182,492,595
-19584,-2461,-11600,-125,182,492,595
27967,4403,177,184,263,528,589
22956,5354,14779,377,389,556,583
20828,5305,24546,292,510,572,557
20387,2402,30420,199,568,572,493
16013,7717,-28663,135,563,572,422
16102,10718,-19377,108,566,572,365
19298,19102,-10610,59,572,572,320
19838,22691,-1833,-96,572,572,295
24682,-28380,4746,-260,572,572,281
15729,-29645,6707,-344,572,409,261
15239,-32028,7550,-315,572,195,255
5795,32115,1127,-374,462,83,253
-9580,13581,-22838,-555,-324,-29,250
15896,-4452,-24094,68,-572,-283,253
-32205,8413,2265,298,-49,-124,257
18063,3873,6952,1,394,189,258
6658,-4471,29,-9,322,145,258
14121,-3510,2863,118,243,33,260
17180,-1206,7619,112,214,22,262
17808,-2706,8678,38,86,18,263
18053,-3863,5775,12,11,-5,263
19455,-4216,3775,19,13,-20,264
21573,-3706,5069,31,69,-8,265
20495,-3481,6756,40,83,4,266
19799,-4000,8296,7,63,13,267
18259,-4981,7452,-5,23,0,267
19102,-5079,7040,13,8,-12,268
19759,-4608,7364,6,16,-18,268
20230,-4030,7178,-2,10,-16,269
20377,-3942,6393,-11,0,-3,269
19916,-4030,5746,-7,17,4,270
19034,-3667,6403,5,12,-1,271
19151,-3000,7080,-5,-3,-7,271
19083,-3255,6099,-13,-11,-16,271
20014,-3275,5893,-2,0,-20,271
20063,-3402,6079,12,7,-17,272
20357,-3059,6962,-1,-4,-9,272
20083,-3294,6472,-3,0,-3,272
20063,-3245,6658,-1,27,-4,272
19181,-3432,6766,-2,35,-9,273
19573,-3383,7139,-2,-9,-19,273
21093,-3314,6962,-7,-16,-14,273
20740,-3304,6531,-6,9,-7,273
20063,-3147,6550,-2,10,-6,274
20514,-3059,7344,-8,0,-5,274
20544,-3353,7325,-17,-8,-3,274
20926,-3471,7188,-12,5,0,274
20308,-3275,6982,-14,21,3,274
19426,-2814,7001,-13,4,5,275
19455,-2765,6619,-19,-4,10,275
19632,-3187,6099,-4,14,11,275
19191,-3402,6550,2,35,10,275
19465,-3863,7011,0,8,12,275
20240,-4540,6884,0,0,13,276
20789,-5030,6923,6,29,6,276
19749,-4932,7364,5,44,0,276
19092,-3696,7305,-14,-20,11,277
20809,-4020,4863,-14,-73,18,276
22731,-3373,4981,18,4,31,277
20514,-2726,6893,18,102,34,277
16660,-2932,7786,11,52,36,277
17474,-2618,7305,5,-51,33,277
20044,-3971,5628,11,-64,13,277
21260,-5001,6236,23,40,3,277
18386,-5952,6364,31,85,11,278
17935,-4452,7139,33,8,6,278
19563,-3706,7335,19,-61,-19,278
21289,-3961,6403,17,-47,-11,278
19828,-3432,5373,34,-8,3,278
