ax,ay,az,gx,gy,gz,flex
23348,31615,-657,214,-335,572,265
25084,-31459,-2510,382,-487,572,267
32606,-25242,-4883,525,-499,572,269
-30528,-20516,-8217,572,-362,572,270
31154,-16191,-10943,572,-199,572,271
27683,-13092,-12140,572,-79,572,273
27850,-9483,-10630,572,25,572,274
24447,-10229,-9924,572,10,572,275
21034,-13288,-5952,572,-38,572,276
18082,-17113,578,572,-53,572,276
18082,-17113,578,572,-53,572,276
11767,-24919,9012,572,-41,572,277
1519,-32313,17151,572,-101,572,278
-1922,24153,22946,572,-226,572,278
-3265,13934,26673,534,-164,492,279
-9178,5746,28428,385,-65,379,279
-5736,-6334,30556,275,-12,257,279
-4638,-10375,28301,104,245,192,280
-8982,-16033,12042,-45,169,43,280
5775,-16857,-9,-19,-88,-21,280
14778,-17916,-2716,58,13,18,281
10041,-18494,4844,101,88,54,281
6099,-16915,13885,65,-5,11,281
16680,-15670,10159,-11,-49,-10,281
14121,-16356,3108,11,50,25,282
8109,-16484,7246,26,27,11,282
10845,-16415,6678,-1,29,2,282
11306,-16631,5305,-1,32,1,282
10473,-16170,6599,12,13,0,283
10865,-15680,6756,4,9,-2,283
11061,-16415,6021,-3,15,-1,283
10571,-17092,6168,2,16,-7,283
10953,-16464,6570,6,10,-12,284
11385,-16925,6746,1,6,-7,284
10963,-17200,6119,4,6,-3,284
10885,-16249,6884,2,10,-7,284
10992,-16170,6776,-5,11,-5,284
10786,-16239,6707,0,4,-7,284
11198,-16249,6864,0,6,-9,285
11002,-16562,6638,-4,6,-8,285
11336,-16572,6707,0,5,-10,285
11649,-16396,7286,2,0,-6,285
10688,-16366,7335,-4,10,0,285
10728,-16288,7119,-11,24,-3,285
11277,-15886,8747,-13,36,-3,286
12787,-14905,12944,-29,94,10,286
7276,-12483,16229,-80,180,22,286
-4863,-9041,20828,-204,175,-43,286
-9198,-5844,21093,-323,195,-177,287
-6727,-1735,17602,-411,266,-321,287
-1598,3824,15023,-419,287,-440,287
3392,8325,12552,-444,252,-523,288
9208,9512,7619,-475,289,-572,288
11002,8502,2804,-412,349,-572,288
9727,11551,1608,-368,313,-572,288
18033,16317,2000,-335,187,-572,288
29036,17033,1823,-291,154,-572,288
27899,15994,-519,-258,317,-572,288
21103,17200,-1696,-196,321,-572,288
28752,22132,1529,-120,119,-572,288
-29057,22397,4050,-75,150,-572,288
27006,21554,3079,-43,246,-572,288
22113,22554,2569,-10,169,-572,289
27516,24457,4873,24,60,-572,289
30027,24800,7050,62,137,-572,289
23711,25859,7678,81,198,-572,289
20318,25574,8443,84,189,-572,289
20495,25633,9992,94,148,-572,290
21995,25643,11777,80,139,-548,290
21799,24339,12140,38,96,-480,291
21838,21966,11777,8,5,-394,291
21603,19544,10953,13,-85,-275,291
19220,18259,10973,36,-117,-126,291
14699,18651,12277,34,-102,-17,291
8708,17808,12316,15,-90,20,291
5167,16759,11434,6,-87,-2,291
4010,16631,10384,8,-97,-37,291
4432,16837,9198,21,-101,-65,290
5511,17827,9119,23,-82,-63,292
5707,17926,8629,7,-26,-34,293
