ax,ay,az,gx,gy,gz,flex
8345,18985,12042,61,116,-11,503
10522,20475,20485,91,180,4,506
10718,21162,31566,94,204,49,508
13699,25202,-29851,39,205,87,509
12454,29703,-25438,-91,137,153,507
17229,-29832,-22192,-237,85,239,479
20524,-20035,-22702,-426,42,340,435
24280,-8326,-23997,-572,-85,454,363
28889,-6983,-30920,-572,-252,572,308
32517,-9836,28742,-572,-245,572,281
32517,-9836,28742,-572,-245,572,281
28889,-13033,20201,-572,-245,572,263
22966,-16632,13071,-572,-322,572,253
15297,-22379,4383,-572,-386,572,249
12669,-29361,-1529,-572,-389,572,248
8109,-28302,-1323,-572,-272,572,250
1667,-30116,-2853,-572,-202,572,252
-4334,30282,-6991,-572,-232,572,254
-8237,27693,-7894,-470,-268,572,256
-12689,25300,-9688,-422,-284,572,257
-22191,25300,-13758,-313,-355,572,258
-30007,22770,-18210,-140,-456,536,259
31136,21240,-17298,-16,-392,246,261
21810,19995,-20583,77,-238,-75,262
3286,32753,-24633,273,-268,-533,262
-8462,2814,-25555,336,-567,-572,264
15956,-17662,-23446,259,-572,-572,266
607,19749,-11493,-103,-572,-572,270
-32126,31154,-6011,-243,-255,-572,271
-8679,26084,14699,-248,-189,-572,270
-12877,24809,-30400,-176,572,-572,270
22789,29095,-28782,259,572,-572,270
24211,-1765,-21702,130,-458,-20,271
12404,-12816,-23183,79,-439,495,272
-16779,14209,27801,63,-152,572,273
17984,-23948,4765,11,-183,572,273
-2894,-1825,-11120,82,-134,572,274
-21663,18788,-12963,95,250,572,275
11179,28320,-17808,-65,551,572,275
-18043,21456,-18926,-182,372,572,275
12288,15866,-25114,-286,8,572,275
-7933,-7404,28047,-119,-378,572,276
-10365,-12612,-19083,167,-108,22,276
-10021,-2913,-4295,233,134,-572,276
-7619,23574,-6913,95,-110,-572,277
21673,-7660,-14778,-8,-572,-572,277
13228,20132,-7237,-204,-572,-572,279
-5002,15327,3343,-282,290,-572,280
-23919,3735,12228,-63,296,-572,280
4147,-18545,-17123,158,292,-572,280
21328,30733,-27439,354,572,-215,281
-10062,1402,-15691,196,-242,326,281
-21487,774,-15544,59,-306,572,281
15091,23760,-32558,-34,-27,572,282
-2442,-25772,11826,-177,-65,572,282
-12200,-16917,-5648,-223,-127,572,282
-14602,-8042,-11159,-190,131,572,283
-30547,-4747,-16955,-188,535,572,283
12159,-8405,-19965,-253,572,572,282
6491,-20986,-17278,-285,546,572,283
4628,-25066,-14895,-362,520,572,283
951,29399,-18828,-401,439,572,283
-1804,25692,-15690,-336,384,572,282
-7707,22574,-13974,-331,302,572,282
-10796,19651,-14415,-323,147,572,282
-9217,16445,-15817,-233,-4,572,282
-7727,19769,-14905,-193,-79,572,282
-10659,21770,-15739,-157,-144,572,282
-15758,24721,-14287,-73,-184,572,282
-21319,28762,-9776,-41,-185,540,282
-25653,26977,-4491,-47,-140,499,282
-31233,26251,1402,-51,-34,489,282
24016,25643,5275,-124,163,463,283
8885,29281,4550,-229,400,316,283
-5432,-28704,-764,-332,462,-70,284
-1441,-14642,1676,-391,384,-572,285
26507,-4502,8511,-402,572,-572,292
-28889,-14906,-4746,148,572,-572,316
16456,-5080,-15876,572,572,-572,380
16436,14983,-6119,572,572,-572,497
