ax,ay,az,gx,gy,gz,flex
-24919,-7512,-2628,362,-572,572,340
-28135,-15220,-8305,547,-572,572,323
-27213,-17505,-9374,572,-572,572,320
-31214,-17250,-8129,572,-572,572,316
28320,-21977,-8600,572,-530,572,312
20809,-23497,-6472,572,-427,572,311
8776,-23163,-2667,572,-347,572,313
961,-27282,-1882,572,-387,572,314
-1569,-28047,1490,572,-396,572,316
-7766,-30557,4981,572,-397,572,316
-7766,-30557,4981,572,-397,572,316
-11228,30919,13532,572,-402,537,316
-16994,27506,29477,572,-295,421,317
-26604,28252,-7885,572,-72,292,323
27772,-31891,7952,232,18,132,326
-30174,28771,-13161,-433,-259,7,326
-12983,23446,-26772,-572,-315,-75,324
-7550,24172,-13886,-572,177,-163,327
-26271,32380,-2472,-572,572,-370,328
23820,-22820,-11592,-572,490,-572,327
-15180,-30557,-30802,-572,273,-572,321
-627,-7120,24417,-572,564,-572,313
-588,-216,-6766,-572,400,-572,311
-7208,21309,-4510,-572,169,-572,322
25280,22525,-3981,-572,572,-570,324
-28370,-3707,-14013,-572,572,-388,325
16239,-17378,21398,-572,-58,-554,323
-14955,26692,14622,-517,-56,-352,323
-23526,18534,-30772,-263,494,23,325
12797,13199,-15503,-200,248,-15,328
16886,12405,-16366,-164,-182,-234,329
-30381,19455,-22083,-107,-250,-235,330
-30528,15170,-23937,-92,-29,-53,330
20397,13209,-16739,1,69,38,332
14356,14317,-10561,1,9,12,333
16543,12365,-7472,-29,-55,-36,334
16131,8796,-8590,-29,-26,-20,334
14719,9610,-8149,16,-50,-14,335
15650,9374,-5413,-23,-38,-8,336
11875,8904,-6246,-20,-35,-14,337
8462,6854,-7590,87,-50,-64,341
12659,11963,-1716,133,-55,-56,351
14895,12454,-1971,145,14,26,361
11689,9129,-4069,235,216,60,376
5560,10747,-2755,402,311,12,395
6432,14640,353,486,272,-16,419
11698,17690,3373,396,313,6,440
11875,18641,2049,299,463,35,457
5736,17396,-1951,224,518,44,463
2294,11620,-2618,189,376,-41,462
3981,12091,-2000,190,147,-223,463
12228,13307,-1853,146,-18,-383,465
17916,13768,-3981,0,-108,-379,467
20299,13071,-9257,-210,-128,-322,466
25006,14278,-10228,-241,-92,-355,467
25084,16219,-9325,-212,-37,-341,466
20416,17170,-10090,-293,-58,-307,466
20004,19357,-11110,-417,-96,-349,467
24241,22711,-10512,-514,2,-389,467
25123,24859,-9384,-549,212,-396,468
23535,24270,-8453,-539,388,-412,469
23368,25182,-7109,-485,523,-470,473
24525,24496,-5256,-380,572,-493,476
22152,23388,-4059,-242,572,-450,480
17778,21515,-2157,-141,572,-411,481
16602,21809,1725,-74,485,-384,483
16337,21573,4187,-85,474,-84,484
11120,21142,6511,-76,448,183,484
4138,19338,6707,-112,414,167,483
813,16160,5187,-114,394,59,484
-1794,14915,4844,-16,336,1,487
-4050,15945,5707,121,129,-42,492
-3000,18328,6089,182,-98,-75,501
-794,19818,6128,171,-242,-109,508
1343,20122,5736,111,-285,-129,514
911,18847,4952,56,-274,-106,519
1343,18700,4991,40,-243,-73,523
568,19043,5089,40,-185,-55,525
274,19112,4658,44,-116,-46,525
-980,19622,4000,60,-67,-43,525
