ax,ay,az,gx,gy,gz,flex
15513,-8855,7913,-431,-148,-189,270
21220,-10031,2412,-572,-159,-41,268
20622,-19387,-7050,-572,-43,20,267
18298,-30154,-11777,-572,0,176,266
11738,29596,-16258,-572,-24,475,266
-1284,27419,-20867,-572,-99,572,264
-13787,-30076,-22240,-572,-117,572,256
-18887,-25065,-23829,-572,0,572,262
-28369,-15749,-20711,-572,151,572,270
28978,-9933,-20073,-572,226,572,265
28978,-9933,-20073,-572,226,572,265
26752,-11542,-22809,-572,52,572,272
-32713,1519,-24839,-572,-181,462,277
-24702,3451,-29497,-572,-270,296,278
-21927,3657,-28762,-572,-279,135,276
-17661,10061,-27202,-572,-250,66,279
-19289,12346,-25761,-572,-181,-45,279
-19043,10904,-24643,-562,-154,-219,282
-16170,13179,-23015,-444,-72,-338,286
-16307,15190,-20789,-368,26,-382,291
-13670,16141,-22054,-266,112,-478,305
-13571,12002,-25212,5,157,-572,345
-9669,15101,-19083,316,162,-572,372
-8168,14130,-16739,572,295,-572,438
-8335,15337,-8158,572,399,-572,435
-13974,20191,-8296,572,264,-572,483
-5893,26339,-4805,572,171,-572,521
-4206,24741,-1421,572,202,-572,523
-411,28565,2284,572,189,-572,515
4000,-31048,5001,572,242,-572,496
9973,-29959,15915,572,410,-572,538
7413,28418,24162,572,570,-564,543
1490,25172,28526,572,532,-524,553
264,21171,-29165,572,214,-470,559
14876,15631,-23046,572,-10,-396,560
18955,10031,-13769,572,141,-322,559
13179,11345,-10072,419,100,-252,545
23839,6197,-6973,262,21,-198,554
22603,5589,-9405,142,62,-120,556
18779,2745,-15230,26,-1,-38,550
20112,2775,-18701,-40,-11,0,557
14709,3118,-26360,-124,-11,30,556
14121,1108,32449,-174,-76,70,554
12365,1363,27830,-210,-51,109,542
8678,598,23505,-247,-48,128,556
7227,-284,20308,-268,-103,130,558
7403,-961,18445,-285,-165,143,555
7139,-1990,16670,-281,-230,160,540
6423,-2843,14689,-255,-311,169,542
5511,-3324,13552,-224,-432,166,539
7089,-2990,12414,-203,-539,156,538
7796,-4834,9816,-193,-572,160,538
10080,-6276,9335,-129,-572,164,536
9590,-5089,9257,-70,-480,170,507
7276,-4275,6903,-78,-391,162,526
7080,-5952,6531,-95,-323,148,527
6119,-6736,6315,-68,-240,122,502
4265,-7276,4236,-67,-205,84,523
3412,-8394,1686,-77,-201,30,524
6334,-11100,4148,-26,-170,-31,524
6050,-11718,4393,-5,-86,-86,523
4824,-9659,1284,-52,-109,-147,524
7139,-11306,294,-50,-207,-217,524
12552,-10659,1647,-8,-217,-290,524
14140,-10237,-402,-25,-151,-331,524
17298,-11238,98,-28,-85,-348,524
18131,-7423,343,-26,-56,-402,524
18847,-5756,-1274,-28,-202,-461,524
29821,-3353,-647,-33,-244,-445,523
-31705,-372,-1294,-88,-14,-350,522
27712,647,-3736,-122,84,-269,523
25192,-980,-3951,-99,24,-258,524
24408,-1814,-2343,-25,-90,-282,524
27957,3589,-2343,-19,-153,-269,522
28448,3245,-2873,-74,-83,-211,522
26702,2775,-3814,-61,-52,-187,522
27026,3716,-4295,-17,-104,-172,522
31821,4491,-4108,-29,-23,-103,521
29674,3726,-4275,-33,67,-38,522
25986,3098,-4128,-15,44,-5,521
