ax,ay,az,gx,gy,gz,flex
22064,-14357,19230,33,-89,572,296
18122,-15877,19161,-117,-5,572,294
8168,-22065,17023,-232,110,572,294
1117,-25860,14003,-373,157,572,297
-4873,-29459,10453,-557,180,572,302
-9237,31782,5854,-572,163,572,304
-11493,29173,1294,-572,108,568,305
-14307,26192,-2579,-572,35,468,305
-17906,24084,-4608,-572,-69,344,305
-16141,22740,-5756,-572,-129,207,304
-16141,22740,-5756,-572,-129,207,304
-11934,26143,-7815,-572,-76,98,301
-10267,31998,-12856,-572,56,10,304
-10100,-28233,-20250,-572,181,-86,311
-10747,-19888,-28477,-572,204,-250,306
-10904,-8993,28733,-572,-7,-437,316
-2412,-5610,23124,-572,-147,-532,315
10836,-17250,29616,-572,283,-572,319
10522,-2168,27762,-572,572,-572,329
26761,-8777,24722,-421,572,-572,333
-29145,-31911,26684,154,572,-415,335
23800,-23732,25987,529,572,-132,333
27202,-21310,31773,572,572,-47,320
-7149,-11249,-25261,572,572,290,339
-4521,22201,-27134,572,572,572,342
29448,-23007,-23633,572,572,572,340
-4981,-26831,-5648,414,572,572,339
-17641,24809,13179,-73,572,572,332
-25369,1823,19593,-498,572,572,323
-20858,-20417,17043,-544,56,572,317
-13375,-27968,14670,-525,-191,572,319
-8855,-32283,11689,-572,-192,572,313
-6638,28693,8894,-572,-110,488,309
-2255,29752,6717,-572,84,395,308
-4775,26457,755,-572,290,286,303
-6099,20848,-4461,-572,381,124,297
-5138,18269,-6756,-572,399,-45,292
-4530,18710,-7747,-572,396,-202,290
-2863,21113,-8678,-572,396,-351,286
-804,26212,-9531,-572,374,-493,296
4324,-32342,-13660,-572,295,-572,303
5903,-31881,-16337,-572,185,-572,316
16337,-22516,-15954,-572,136,-572,326
23103,-18231,-22378,-572,439,-572,337
10934,-29400,-23927,-572,572,-572,355
18269,-23202,-19269,-219,572,-572,409
15709,-5335,-21613,156,572,-572,444
22181,-5649,-16817,551,572,-572,463
-30371,-4257,-17014,455,572,-572,457
24104,-14034,-27801,346,572,-252,472
21515,-11964,32519,572,572,8,476
10914,2833,-28536,572,572,61,515
10826,20181,-20652,572,572,106,513
17876,22397,-6354,572,572,220,479
13934,30772,-3500,572,429,435,505
16837,15003,-4403,572,199,541,538
16278,8237,88,572,26,572,536
19465,1147,2481,572,-22,572,535
18112,-3286,9845,572,45,572,537
11493,-17201,16052,572,91,572,524
1941,-30420,20495,438,109,572,528
-4383,23211,20779,348,89,466,525
-6687,16729,21642,195,74,301,529
-4707,10335,17268,26,86,204,531
-4324,4501,10326,-38,62,162,531
-1902,1814,5913,-26,63,146,541
-4756,-2461,4550,-21,95,134,538
-1245,-2775,2510,-28,86,63,523
2598,-6011,-2765,-76,108,22,542
6207,-7580,-3118,-45,108,1,550
8374,-6619,-6344,-54,87,-31,551
11287,-7129,-8100,-59,3,-38,551
14729,-7060,-7688,-54,-14,-39,550
17994,-7001,-9374,-49,30,-58,549
17700,-6452,-10306,-48,65,-36,549
17445,-7433,-8992,-34,58,-11,550
17318,-6423,-9296,-30,41,-25,550
18514,-6030,-10277,-48,15,-28,545
18592,-7403,-10149,-45,17,-12,545
19524,-7060,-9865,-19,50,-8,542
