ax,ay,az,gx,gy,gz,flex
-9335,-6070,5746,339,-79,430,548
-14327,-8188,5942,315,-157,367,550
-13925,-8668,4628,390,-357,260,550
-15062,-12610,-1804,572,-572,112,516
-11257,-9521,-17180,572,-572,-30,547
-11473,-10178,-25996,572,-572,-14,553
-9090,6383,-7423,572,-572,17,558
-9002,-3335,-16887,572,-572,129,530
13699,-23095,31635,-572,210,279,537
2324,-14954,-3589,-572,185,92,570
2324,-14954,-3589,-572,185,92,570
3030,-13258,5795,59,-35,-131,522
7913,11904,29968,185,-57,-86,563
9492,24094,-24968,-359,108,69,565
-1343,20289,30723,-572,235,129,568
-833,10875,23554,-572,258,196,562
-3932,2461,16955,-572,320,155,566
-5756,-4579,11855,-572,355,84,566
-6854,-9365,5785,-572,415,62,565
-7590,-13777,2598,-572,465,91,549
-9296,-12414,-941,-572,469,152,546
-10698,-17131,-6011,-572,316,224,547
-8874,-17612,-8786,-339,168,177,523
-10110,-16494,-14729,-47,7,62,547
-9982,-16513,-14611,333,-274,-33,542
-10286,-19789,-17249,572,-473,-107,553
-10335,-17788,-21054,572,-572,-223,561
-6687,-8688,-25329,572,-572,-254,552
-1098,-353,-19671,572,-572,-228,552
-1980,-32058,4814,572,-394,-236,506
4873,10737,-32372,82,-572,555,568
-10198,8531,-4481,-572,544,249,573
-3128,31450,-9325,-130,96,-232,538
10433,-2059,21191,390,-179,-18,532
9159,27143,-29331,113,-47,178,558
-5874,11355,22260,-94,106,-15,546
-166,78,16229,-26,25,-53,540
735,4707,19465,29,-5,19,559
568,9767,21907,11,-13,8,547
-137,7962,20867,-20,12,-15,563
666,6030,19436,-27,-5,-6,557
1108,6619,20191,-18,0,-3,553
882,6874,20877,-29,12,-2,557
-647,7070,21623,-36,12,-1,555
-117,5099,20809,-40,-1,7,556
49,6266,21877,-24,-7,3,562
1500,7060,22593,-35,0,6,562
1343,7119,22505,-52,5,25,560
1225,6609,21809,-72,9,27,561
1833,6109,21681,-103,34,17,554
1137,5766,21632,-138,52,9,548
911,7972,24280,-221,68,18,543
607,9168,23221,-375,93,60,529
-1823,7276,24113,-482,64,76,527
-1814,7129,21005,-556,54,108,532
-3010,4559,19014,-572,16,86,538
-2500,3569,17867,-572,12,50,533
-3569,-460,15297,-572,29,-1,530
-3089,-2412,14278,-559,29,-74,520
-5942,-2245,13571,-516,10,-136,513
-7276,-1696,12738,-522,-61,-208,520
-3128,-2530,13346,-519,-98,-285,510
-3647,-4000,10806,-572,-83,-320,503
-5520,-3549,7825,-572,-135,-350,501
-2559,-2667,5315,-572,-219,-396,502
1323,-4138,1745,-572,-229,-438,506
4461,-4167,-676,-572,-207,-487,499
8678,-2029,-4746,-572,-158,-534,487
14738,-2843,-7344,-572,-34,-572,501
20828,-539,-9404,-572,135,-572,491
25270,1941,-13003,-572,342,-572,496
23760,372,-11816,-572,489,-572,498
28036,588,-9217,-475,567,-572,473
28418,6903,-6854,-355,572,-572,488
24015,7452,-4167,-243,572,-572,484
28379,10571,-1431,-74,490,-572,454
25996,14562,2451,-12,479,-572,477
16680,14395,4334,-16,335,-501,495
18151,16964,5520,70,80,-559,493
21632,19671,6138,160,57,-572,486
