ax,ay,az,gx,gy,gz,flex
-27243,961,21623,572,137,53,337
-27704,-666,29271,572,116,212,337
-31361,-833,-30695,572,120,333,339
29095,1657,-24487,572,89,448,340
30027,2834,-15720,572,122,572,341
18788,4805,-14465,402,189,572,343
11875,3177,-14151,262,129,572,345
6982,5903,-11719,16,160,572,346
794,5354,-16083,-172,140,572,347
-1519,6589,-17662,-274,130,572,349
-1519,6589,-17662,-274,130,572,349
-5148,8521,-19927,-417,144,572,350
-5295,6972,-25399,-511,104,572,351
-6050,5383,-30675,-548,106,470,352
-6070,4667,30831,-570,104,366,353
-4873,4491,26928,-572,98,276,353
-3608,4501,23711,-572,169,217,354
-4638,3569,20161,-572,175,173,354
-4942,1539,15729,-540,220,125,354
-6923,1392,12091,-492,256,53,354
-5364,156,9894,-448,270,-9,354
-5315,-431,7541,-394,333,-52,354
-5481,-1343,4962,-336,345,-116,354
-4157,-1010,3706,-273,354,-173,354
-1735,-1382,2039,-212,352,-219,354
470,-1716,1569,-148,367,-246,354
823,-1049,1657,-97,374,-279,353
3265,-2785,441,-57,370,-329,353
5413,-3294,-333,14,342,-361,352
7737,-1215,1392,65,367,-372,351
8590,-3402,-637,108,357,-422,348
13287,-2412,-117,191,274,-484,348
19240,-1892,2186,237,292,-470,347
21573,-5020,2059,291,243,-444,345
27271,-4599,5579,376,218,-418,345
28242,-4442,9747,404,184,-356,343
-32568,-9031,10522,421,129,-283,343
-31116,-8551,13169,464,119,-192,343
-29920,-11228,16915,476,46,-93,343
-29979,-12356,19475,489,1,30,343
-32558,-13169,25221,459,-29,161,342
29968,-13395,27977,404,-81,262,343
28046,-12601,29075,367,-158,359,343
24045,-10630,-32724,290,-140,483,343
15798,-8335,32684,204,-161,540,344
10610,-7070,32713,140,-194,554,345
1333,-5707,32429,49,-159,557,345
-5952,-5874,27830,-47,-170,456,346
-6638,-6227,21436,-81,-222,309,347
-5481,-5040,17121,-70,-212,210,348
-4403,-3628,15180,-64,-139,145,349
-5011,-4020,12179,-39,-73,54,349
-4942,-4883,9973,32,-57,-72,347
-5775,-5197,8266,144,-120,-217,346
-2284,-804,6795,270,-234,-383,351
4304,4138,10463,255,-162,-486,353
5923,1588,12071,217,-117,-556,352
7550,1000,10983,303,-123,-572,352
8011,9090,9963,400,-163,-572,355
12189,15945,12002,313,-200,-572,358
16249,14660,13366,228,-189,-572,358
17023,14837,12346,246,-92,-572,359
14572,19720,12277,253,-34,-572,359
14052,24662,12159,152,-64,-572,360
15062,24368,11924,61,-89,-572,361
14248,23250,11816,62,-80,-572,362
13248,25457,10983,99,-79,-572,363
14160,27585,10473,111,-93,-572,363
15631,27673,9394,116,-98,-544,365
16445,26359,7697,130,-75,-471,368
15984,24761,6403,139,-31,-360,369
14591,23839,5972,137,-8,-223,369
12150,22907,5893,112,2,-104,370
10296,22132,6521,64,3,-31,371
8913,20456,6383,17,5,9,371
7776,19249,6256,2,1,31,371
7266,18759,6266,4,-2,35,372
7354,18965,6452,6,-4,37,372
7423,19573,6609,3,-6,40,372
7805,20622,6972,-10,-7,59,372
