ax,ay,az,gx,gy,gz,flex
11159,13699,4363,-330,99,1,268
13042,12630,2765,-381,81,-50,267
12179,7952,1059,-371,81,-146,267
15807,8619,1353,-390,31,-209,267
19063,4363,-813,-405,45,-300,267
18965,558,-1608,-391,11,-372,268
19818,-5501,-4099,-376,-105,-372,267
21681,-14601,-5903,-322,-208,-339,267
24653,-19534,-1912,-265,-210,-332,261
22593,-29958,-921,-256,-171,-268,263
22593,-29958,-921,-256,-171,-268,263
17876,27566,3432,-137,-172,-146,262
10737,29380,14925,-18,-158,-10,270
3128,-31929,21093,57,-228,172,258
7256,-25388,23603,175,-259,247,263
20799,-21279,22682,185,-79,231,273
22368,-23074,16562,161,47,307,272
23868,-24692,8717,239,-22,478,273
26290,-23241,5609,355,-51,572,269
22525,-23564,5295,394,-3,572,275
23270,-25349,2628,446,-27,572,275
26869,-24153,-3059,455,91,572,276
25349,-23682,-3147,453,193,572,275
19681,-24133,3461,444,219,572,268
13277,-25427,16582,383,162,543,282
7707,-25094,25123,58,152,374,283
2029,-20956,19445,-299,134,84,281
-1206,-11247,12110,-326,129,-210,273
-1598,8953,11071,-348,131,-361,285
-7374,19338,5962,-300,138,-561,283
2078,-19398,10443,421,324,-572,287
6266,8256,-30459,572,502,-572,290
14493,-15161,-13357,247,304,-572,286
-24193,14827,29703,-9,-212,-205,285
21897,7413,25467,-14,66,198,281
-13160,4324,21201,-72,139,120,284
-5717,-735,14111,-48,29,-27,288
7648,-1980,17151,89,140,-63,288
1971,3932,24329,65,125,-5,288
4206,1794,24319,-26,-37,10,287
9227,-1166,21368,-13,51,11,287
1647,-911,23280,28,41,36,289
1902,-39,24408,-21,-42,29,280
4687,-735,22162,-49,0,7,281
4295,-1765,20289,-21,25,0,283
2618,-1529,20465,-18,-9,6,281
3324,-1971,20534,-32,-42,0,284
5805,-2147,20867,-29,6,-16,285
3765,-2177,20093,-18,18,-18,285
5001,-1608,20495,-3,3,-20,284
3902,-1676,20789,-3,15,-24,286
4275,-2294,21544,10,-35,-31,291
7972,-1657,23613,7,8,-28,291
5511,-1098,22868,-26,15,-20,291
6187,-1941,21044,-33,0,-16,291
5373,-2137,20603,-10,2,-23,291
5893,-1088,21230,-9,-14,-23,291
6913,-1372,20985,-22,-25,-17,290
7521,-1912,20848,-17,5,-14,282
5452,-1961,20858,-3,18,-16,290
5756,-1774,21534,-3,-6,-19,290
7109,-1608,22054,-18,6,-13,286
5511,-2196,21417,-17,9,-9,290
5864,-1676,21368,-13,8,-9,291
5030,-1774,20995,-20,-5,-8,288
6246,-2098,20760,-18,-17,-10,289
5520,-2098,20652,-8,0,-7,290
5726,-2000,21466,0,-14,-11,290
6119,-1873,21917,-15,-2,-10,288
6079,-1912,21838,-18,0,-8,287
6266,-1951,21387,-16,-1,-7,287
6560,-1480,21554,-14,1,-2,289
5393,-1716,21505,-26,-4,1,289
6325,-2324,21191,-27,-10,-1,289
5972,-2275,20828,-18,-3,-4,280
5874,-2127,21064,-17,-4,-1,292
5844,-2216,21171,-21,-7,-4,292
6285,-2216,20848,-21,-4,-6,291
6844,-1912,20897,-18,9,-2,291
5491,-1735,20848,-24,11,4,289
