ax,ay,az,gx,gy,gz,flex
18200,-32568,9825,-66,-182,413,321
15356,-31548,9541,-102,-132,480,320
15337,-29998,9394,-111,-167,543,317
14238,-29606,8864,-89,-189,572,316
14042,-29027,8972,-58,-191,572,316
13915,-29204,9659,-79,-148,572,315
11914,-32087,8296,-88,-137,572,314
11561,30948,7501,-68,-136,572,313
10090,27997,6658,-45,-99,551,312
11110,25633,6580,-35,-56,539,311
11110,25633,6580,-35,-56,539,311
8747,23201,7335,-53,37,540,310
5540,18828,7080,-90,51,511,309
5373,15062,5923,-94,15,459,308
5403,10963,4746,-79,-8,415,307
7697,8894,4716,-51,-20,372,307
8923,7560,5550,-76,1,355,307
8413,4912,5138,-102,-4,326,306
8933,1196,3540,-76,-41,279,306
10659,549,3883,-32,-47,243,306
11041,549,5158,-51,-27,227,306
10277,-1892,3902,-84,-34,203,306
10375,-4314,2020,-42,-31,165,306
10022,-4236,2892,1,-13,126,306
10502,-4677,4520,-29,1,109,306
10639,-6217,3432,-48,-19,93,306
12463,-6962,2471,-21,-20,57,306
13905,-6540,3089,-5,8,35,306
14307,-6227,4030,-23,2,34,306
15072,-7197,3010,-36,-10,21,307
15670,-7433,2628,-10,6,-7,307
15945,-7158,3118,2,-2,-24,307
17386,-6580,4020,-11,-14,-25,307
17445,-7119,3245,-24,-19,-25,307
18092,-6884,2785,-18,-23,-38,307
18210,-6609,2677,-4,-20,-47,308
18700,-6119,3363,-13,-15,-44,308
19102,-6599,3108,-30,-16,-40,308
19436,-6648,2735,-19,-14,-50,308
19946,-5824,3206,-11,-15,-55,309
20524,-5766,3039,-15,-16,-55,308
21044,-5570,2932,-6,-17,-55,309
21485,-5089,3383,-8,-13,-45,309
21211,-5089,3471,-19,8,-38,310
20416,-5285,3226,-20,0,-37,310
20544,-5050,2735,-2,-18,-40,310
21377,-4510,3481,-2,-11,-37,310
21064,-4295,3765,-24,-6,-23,311
20858,-5118,2588,-23,-6,-20,311
20612,-4824,2461,5,6,-26,311
20446,-4040,3451,-4,7,-21,311
20505,-4295,3667,-22,4,-10,311
19985,-4844,3010,-24,-2,-11,311
20122,-4510,2549,-5,-10,-18,311
21113,-3775,3294,-10,-5,-16,311
20661,-3902,3343,-27,-4,-3,312
20112,-4481,2363,-25,-3,-3,312
19985,-4197,2245,-5,2,-15,312
19936,-3932,3089,-13,8,-10,312
19848,-4050,3138,-26,6,-8,312
19396,-4432,2186,-21,0,-12,312
19769,-4197,2324,-2,-9,-21,312
20887,-3147,2922,-7,-8,-20,312
20514,-3814,2726,-21,5,-4,312
20034,-4197,2226,-14,-7,-6,312
20505,-3667,2186,-2,-3,-12,312
20328,-3540,2637,-5,7,-10,311
19955,-3559,2628,-10,9,-6,311
19848,-3726,2559,-5,-3,-9,311
20485,-3520,2834,-5,-1,-8,311
20220,-3530,2775,-4,1,-8,311
20652,-3559,2912,-8,7,-6,311
20279,-3549,2971,-8,9,-3,311
20436,-3442,3030,-13,2,-1,311
20250,-3491,2637,-6,2,-3,310
20563,-3422,2883,-9,9,-4,310
20259,-3549,2628,-8,4,-1,310
20318,-3353,2765,-6,3,-1,310
20132,-3343,2824,-11,0,1,310
20181,-3461,2696,-5,-8,-1,309
