ax,ay,az,gx,gy,gz,flex
1549,-20279,-29556,-566,-76,572,503
-12120,-26104,32087,-572,123,572,526
-22446,-31223,27596,-485,304,520,490
-17857,-31419,32018,-219,203,202,547
-5648,-25594,-26084,-19,138,5,547
1117,-18131,-19897,47,222,-64,554
3334,-12552,-18318,69,208,-72,541
5550,-9570,-19259,87,159,-70,550
11855,-9237,-20328,85,253,-76,545
13679,-9041,-21672,90,461,-42,518
13679,-9041,-21672,90,461,-42,518
10502,-7982,-22995,64,572,31,497
11169,-8227,-23348,31,572,110,448
10610,-11071,-23142,101,524,177,434
11532,-11110,-20397,212,408,193,411
10404,-10698,-20652,233,371,196,351
10424,-15650,-19298,280,269,182,341
11522,-13267,-16258,289,223,164,331
13326,-9561,-15003,199,253,149,323
11473,-17798,-14425,190,232,110,295
12630,-15199,-11022,238,182,3,296
16484,-7040,-4854,133,217,-38,291
14405,-10404,-4138,6,200,-72,280
15876,-8168,-5040,101,-3,-211,277
25604,-98,4854,76,100,-227,277
24633,8511,9247,-162,521,-88,277
2745,9884,1657,-214,572,-191,276
4863,21269,3844,-16,25,-501,280
29674,24251,8659,-77,-83,-391,287
30350,16611,4461,-204,258,-147,282
12610,5050,-4912,-129,178,-113,288
23603,3765,1706,27,-9,-108,291
22054,3187,6079,-28,143,-2,290
13846,-19,4246,-33,119,7,291
16533,284,4638,-15,66,-44,290
17808,833,3608,-21,24,-50,293
20475,402,2598,-17,-25,-38,294
21515,39,2981,-1,-11,-31,297
22750,1127,3540,-8,31,-18,293
21456,402,3814,-23,61,7,302
20014,-1294,3540,-13,40,0,301
21524,235,4589,8,18,-14,305
22329,1137,5726,-26,6,0,295
21799,-1608,4020,-49,-1,9,305
21103,-647,3863,-12,-4,-3,299
21868,274,5334,-38,-13,7,303
21387,-1127,4334,-63,7,19,304
19848,-1294,2520,-34,0,2,301
21289,-617,3373,-39,1,0,310
20760,-568,2981,-52,9,12,308
20103,-1461,1706,-45,-10,13,305
20701,-980,1657,-22,-3,7,312
20495,-823,2618,-34,26,14,313
19338,-1353,2431,-39,8,17,313
19181,-1225,1794,-25,-16,4,313
20701,-1196,1823,-14,-24,1,312
21554,-1166,2481,-14,5,8,313
20014,-784,2490,-21,25,12,312
19926,-1490,2245,-24,11,6,310
20338,-1667,2226,-14,0,1,310
20750,-1186,2785,-11,3,4,312
20220,-1265,3089,-20,12,6,310
20152,-1108,2647,-18,2,0,311
20573,-1186,2637,-12,-6,2,311
20809,-1117,3089,-16,7,8,312
19867,-1088,2745,-18,18,6,311
19897,-1255,2677,-15,1,2,315
20563,-1225,2863,-15,3,1,319
20269,-1421,3147,-15,8,0,318
20259,-1176,3206,-12,-1,-4,310
21073,-1343,2941,-9,-1,-9,319
21564,-1000,3589,-14,7,0,319
20877,-1451,3334,-14,6,7,318
20612,-1176,3324,-12,3,7,308
20750,-1510,3353,-10,4,6,312
20279,-1265,3540,-13,5,4,316
20171,-1166,3000,-13,-13,1,318
20779,-1392,2735,-8,-12,-2,318
21113,-1049,3285,-12,4,2,317
20456,-1255,3098,-20,14,7,317
