ax,ay,az,gx,gy,gz,flex
6383,20779,7393,42,156,-237,379
11640,24564,7148,-20,183,-150,355
18916,26496,4677,-22,148,-24,337
23564,28938,3030,16,62,182,313
26006,31046,1951,27,-56,408,305
29193,-32587,-764,111,-112,572,293
29585,-26419,-3147,200,-154,572,281
-32028,-18584,-7227,223,-274,572,260
-26929,-12092,-13473,382,-260,572,259
-29871,-8052,-19455,572,-214,572,254
-29871,-8052,-19455,572,-214,572,254
-31607,-7228,-17945,572,-91,572,249
23623,-8699,-14886,572,209,572,243
9973,-14955,-10375,572,263,572,243
8149,-17740,-3755,572,214,572,241
2167,-25997,-1196,572,211,572,237
-2647,31537,3579,572,89,572,245
-1863,23505,8923,488,-6,572,241
-4981,15425,11708,449,-45,479,242
-5452,10639,15376,383,-96,361,246
-2990,3834,19171,275,-94,246,245
-264,-1637,20230,166,12,162,241
2255,-4442,17072,53,58,34,245
10061,-7639,14101,-23,58,-6,248
13277,-11081,13513,-37,1,-14,247
16200,-11600,11169,-78,-53,-19,247
16994,-14072,6501,-95,-46,-17,247
16229,-15278,3138,-66,19,-2,246
13777,-15150,1971,-38,36,7,247
13856,-15317,4559,0,3,0,249
14081,-13836,7874,17,8,-7,250
14533,-12836,8256,-9,16,0,250
14336,-14013,6501,-14,8,1,251
13562,-13552,6089,2,-3,-12,251
14709,-11816,6609,-23,-9,1,247
14533,-13473,6227,-34,2,5,252
13434,-13807,6491,-16,1,-5,252
13277,-12787,6413,-5,-21,-21,253
15395,-13415,6197,-17,-34,-11,255
14356,-13022,6589,-19,-21,-6,257
12924,-12081,8355,-36,-24,-2,254
11934,-12748,8639,-70,-34,-12,264
13307,-11061,9080,-83,-52,-14,265
14974,-8923,10257,-140,9,0,267
11090,-7403,10630,-187,48,6,269
9345,-3461,12689,-200,52,-39,270
11591,29,12846,-282,102,-78,270
11385,-490,10943,-345,159,-130,270
10688,137,10365,-383,250,-194,271
8217,2618,9708,-423,352,-247,269
7119,3922,7119,-505,435,-293,271
4589,4373,4010,-526,500,-445,272
5246,8090,1951,-468,455,-572,274
5775,12424,1215,-368,289,-572,274
12620,19073,1676,-366,196,-572,274
21201,21495,460,-315,255,-572,274
30625,29026,1372,-229,360,-572,275
27389,26222,1265,-187,377,-572,274
22466,25280,3245,-24,314,-572,274
24123,30478,7452,172,300,-572,262
26879,-27468,13513,100,249,-572,273
22211,-29851,12777,118,92,-572,269
21407,-30920,12993,139,-56,-572,276
23299,32557,12052,144,-158,-572,276
24829,31056,11414,47,-227,-509,276
22682,24800,8923,-4,-266,-330,274
20681,20230,7580,11,-278,-238,270
19132,17582,7197,68,-237,-161,268
16082,17141,7423,104,-156,-104,277
14179,17484,8158,85,-65,-61,277
11571,17474,8511,50,11,-44,277
9669,17975,8462,17,34,-26,276
9492,19700,9394,-25,23,12,276
8864,19642,8717,-52,-6,40,276
8678,19377,7933,-35,-37,75,276
8825,20299,8011,-3,-28,109,276
8031,21289,8717,-4,3,147,276
5099,20867,8629,-26,13,179,275
4030,20191,8119,-31,-2,177,267
4412,20044,7786,-26,-8,173,273
