ax,ay,az,gx,gy,gz,flex
31331,28448,-6609,156,-73,546,354
-31979,-29665,-9129,261,-31,572,310
29595,-26046,-12591,349,13,572,288
27575,-24350,-13954,459,31,572,273
24466,-21692,-15847,524,3,572,264
23162,-21477,-16366,572,-32,572,263
21211,-24154,-16092,572,-1,572,261
16082,-26978,-14032,572,-6,572,260
14846,-28331,-9718,572,27,572,262
9776,29605,-4138,572,161,572,264
9776,29605,-4138,572,161,572,264
5726,25977,470,572,244,572,265
2314,20563,3951,505,220,572,264
3020,14935,8247,431,179,572,259
127,9620,11728,376,136,501,262
-19,5373,14415,280,70,406,264
-9,166,15798,220,7,301,263
3422,-1716,16033,145,0,195,262
6491,-5285,15199,76,73,132,264
3726,-9404,13748,20,51,77,263
6805,-11698,13189,-11,-40,12,251
13169,-13542,12218,-51,-29,-9,266
13483,-13974,8727,-62,21,-14,265
12718,-13964,5775,-63,-20,-4,265
13719,-15699,4648,-42,-43,0,253
12512,-15072,6050,-14,-4,0,262
12101,-14346,7109,-9,-11,-8,265
14660,-14738,7286,-13,-24,-10,265
15033,-14778,6913,3,-17,-10,253
14278,-13277,7060,-1,-10,1,260
13807,-14042,6452,-19,0,6,267
13552,-14483,5991,-5,-7,0,266
13307,-14101,6295,5,-4,-1,266
13101,-13179,6795,-11,2,5,260
13150,-14130,6246,-14,-3,3,259
13258,-13856,6364,-3,-6,1,254
13679,-13150,6913,-13,-4,7,267
14160,-13846,6854,-25,4,12,265
12787,-14336,6521,-17,3,6,265
12836,-14317,6560,-14,-8,7,255
13258,-14513,6599,-24,-1,9,259
13473,-14287,6580,-19,-1,5,266
13748,-14052,6570,-12,-5,6,251
13571,-13866,6678,-18,-8,10,251
13650,-14415,6481,-22,-13,10,262
13689,-14513,6334,-16,-3,9,267
13052,-13856,6354,-13,-5,12,257
13532,-14523,6295,-18,-5,17,264
12718,-14248,6511,-18,-4,16,255
12640,-13807,6903,-25,-14,16,269
13228,-14405,6952,-30,-5,12,268
12306,-14925,6354,-24,-9,1,269
12709,-14631,6648,-11,-20,-12,269
13356,-14895,7188,-13,0,-8,270
12699,-14081,7913,-30,12,-7,273
13013,-13670,9610,-51,9,0,275
12375,-12542,10904,-78,14,0,277
10826,-9355,11836,-134,11,-6,275
9874,-7737,12512,-202,6,-23,276
10708,-5579,12091,-257,37,-76,287
8825,-3647,10394,-313,62,-124,275
6756,-2000,9139,-353,71,-194,282
5050,-598,8207,-375,99,-293,291
5854,3275,7364,-405,124,-373,289
5981,5403,5050,-443,152,-480,291
5020,6227,2451,-407,107,-572,293
8776,12689,1470,-399,79,-572,293
14248,16435,-715,-455,132,-572,294
15239,17612,-3353,-444,199,-572,296
21740,26516,-3942,-496,153,-572,299
30595,24947,-5952,-572,227,-572,302
29360,18239,-6795,-465,343,-572,305
27065,23721,-3010,-220,295,-572,309
29987,28879,2490,-316,231,-537,312
28134,24506,4452,-289,246,-539,314
24309,23721,5511,-143,184,-572,314
22603,26437,6560,11,50,-572,323
22682,28448,8590,-64,-44,-492,330
20181,24486,7413,-112,-90,-431,339
17268,21632,5540,-56,-170,-408,345
