ax,ay,az,gx,gy,gz,flex
8531,2255,5011,123,99,495,369
5177,1765,6305,25,235,503,353
-2324,294,4814,-47,286,426,335
-7452,-1559,3049,-50,220,260,310
-10257,-2147,2294,-52,97,59,307
-13277,-2804,2275,-23,23,-166,299
-18455,-1735,3089,-5,-60,-393,298
-15376,10031,3746,-57,-83,-572,299
-6060,15042,4442,-178,20,-572,303
4854,19897,4363,-168,118,-572,293
4854,19897,4363,-168,118,-572,293
18190,24986,4795,-165,291,-572,306
-27576,-31940,7521,-219,287,-572,301
2696,32674,6766,-101,76,-572,295
-20937,24839,-1657,-105,326,-572,301
17141,3844,-10414,-93,82,-438,306
24584,-4942,-7335,-40,-315,-128,303
14130,-10080,-4383,43,-72,287,312
-6385,-2226,833,129,-38,496,317
-9640,7197,4932,120,-144,572,320
-14171,15003,4922,101,-188,572,321
-19957,21485,2245,121,-240,572,326
-27233,24221,1206,171,-278,572,329
28987,24486,1971,213,-177,572,331
17298,23476,2834,214,-30,572,334
5864,20181,3804,198,-7,572,332
-3667,19691,7139,142,-16,572,325
-10414,17641,8609,72,-14,572,327
-16307,15494,8109,28,6,415,324
-25614,16455,9267,-17,31,227,312
29224,18730,10286,-102,155,-59,328
23301,18269,6374,-154,176,-462,322
-30958,22142,2824,-136,87,-572,328
-10620,28458,1539,-102,118,-572,331
6119,-32215,1500,-66,309,-572,338
19710,-22398,2137,24,372,-572,333
7393,-13210,9825,305,272,-572,289
-29361,-16564,18985,401,572,-572,326
5334,31037,26055,45,479,-572,321
7138,7011,21299,21,-536,-306,291
22691,-804,21887,62,-287,8,293
-4306,4638,22888,39,250,242,312
-16877,11640,24515,-58,212,431,302
-19711,18416,24525,-147,174,566,292
-25850,24260,20269,-207,236,572,283
-28978,31654,16464,-284,278,572,278
29585,-31783,11924,-379,280,572,275
23044,31056,7717,-428,176,572,276
21534,31439,5981,-509,136,572,273
15013,27536,2167,-572,108,572,272
9669,23603,-441,-572,12,572,269
10169,25133,-2029,-572,39,572,262
7501,23809,-7521,-572,277,572,266
-5128,22211,-13709,-572,373,572,270
-8580,24780,-18024,-572,342,572,279
-25614,15474,-25280,-572,472,572,279
18299,10855,-27830,-572,396,572,272
22840,10620,28645,-572,315,572,272
-30223,3304,18966,-572,111,333,272
-20269,-2735,19525,-572,-161,195,284
-17141,1990,28861,-371,-226,163,287
-22721,3196,-29546,-300,-244,87,290
-24653,1117,-25584,-217,-278,-26,289
-22299,6570,-21721,-200,-208,-128,297
-21691,7688,-21701,-247,-116,-229,302
-17916,6354,-21740,-149,-85,-317,309
-14121,9541,-20053,32,8,-398,330
-12826,13983,-17386,135,100,-479,362
-14719,9914,-18053,265,186,-545,385
-6913,11287,-13552,530,184,-572,409
-8531,13032,-11090,572,299,-572,434
-7295,14434,-4971,572,330,-572,432
-10031,13483,-3138,572,315,-572,443
-7393,16651,2608,572,248,-572,446
-3461,16994,5295,572,228,-572,508
1108,17612,7903,572,321,-572,546
5246,21917,13974,572,383,-572,541
9433,22142,28418,572,514,-572,543
6187,10208,32674,572,572,-519,546
4265,2392,30664,572,348,-571,553
