ax,ay,az,gx,gy,gz,flex
-4785,-1206,-26811,-83,378,3,398
-14336,-12963,12218,-409,298,44,370
-13954,-16572,2637,-188,8,-11,383
-4010,-13062,12434,-105,-28,-69,411
-500,-14042,21162,-309,36,-54,379
1569,-13415,13366,-422,65,-92,354
303,-15445,10208,-482,40,-47,341
-215,-19151,-3402,-572,-198,43,291
4089,-24957,29479,-572,-434,224,268
68,23761,4472,162,-562,20,268
68,23761,4472,162,-562,20,268
3559,-31752,24634,572,-278,-161,266
4756,-21436,-9129,572,59,-318,269
9414,-4687,28261,572,352,-439,277
2520,6393,-20849,572,372,-412,282
-2667,-1814,32537,99,179,-1,283
-5481,-12267,12816,59,-91,109,282
-2294,-12895,11698,94,-106,93,284
-1784,-10953,19495,110,-11,-13,284
-813,-10463,23888,57,13,-62,284
-107,-9129,29144,-13,-38,-25,286
3775,-7541,-32636,-127,-88,15,286
2932,-7609,31458,-242,-71,15,286
1029,-8639,27722,-368,-126,50,288
2039,-6756,24917,-490,-148,78,288
558,-4285,22005,-572,-119,83,288
-1372,-2637,16749,-572,-143,98,289
176,-3804,11551,-572,-163,81,291
2147,1372,5462,-572,-92,-3,292
902,6795,-853,-572,-33,-33,292
-500,7913,-5854,-572,-42,-9,292
1941,10296,-9404,-572,-101,4,292
5501,16817,-10806,-572,-14,-34,293
-1059,27467,-23241,-572,13,-40,293
9159,20220,29047,-572,-104,11,292
13454,14415,31155,-572,172,-27,292
735,15464,31803,-572,194,-1,293
4991,6913,31263,-547,-22,-5,294
6727,7237,32666,-406,-17,-23,294
7864,8080,32587,-324,41,-44,294
8972,8315,32411,-286,83,-26,294
7796,6158,32577,-230,31,5,295
8462,7560,-31527,-113,-19,-10,295
9620,7403,-29928,-63,19,-9,295
8747,7678,-26938,-23,54,5,295
7325,6825,-24221,18,33,7,295
7952,8149,-21652,37,0,15,296
6511,7207,-20642,34,-5,22,296
6815,6678,-19975,62,-1,17,295
7119,7148,-18798,58,14,22,295
6511,7580,-18926,45,24,35,295
5128,6266,-18847,33,14,32,295
5775,6030,-18141,39,12,33,295
7050,6844,-16798,11,33,27,295
4559,5736,-17347,-45,93,4,296
7737,5089,-17004,31,50,18,297
13385,7786,-14434,-11,187,52,297
11826,8511,-16092,-143,495,69,299
5579,3873,-16533,-142,504,58,302
13317,5726,-15474,-80,443,66,304
14621,6913,-14846,-89,572,58,308
16808,7070,-13621,-81,572,91,313
19092,5746,-13199,-86,572,178,319
16680,6432,-10649,-76,572,222,320
14229,5864,-7835,-59,572,192,319
15229,5854,-2794,-64,518,155,306
13120,2167,-1931,-63,364,101,301
19455,5207,813,-2,189,84,310
22132,7070,4128,-120,179,143,316
14415,284,-892,-132,114,110,320
21701,-382,-1451,53,5,18,322
24839,6658,6501,7,94,116,324
16484,3481,3510,-111,129,137,328
16504,-519,725,-56,-35,51,332
26212,539,2353,12,50,27,334
19475,-9,1637,45,242,-3,336
15690,186,2431,127,185,-74,339
19495,3726,6599,124,99,-86,341
20063,2314,5726,60,88,-55,340
19632,2598,4942,70,83,-59,339
