ax,ay,az,gx,gy,gz,flex
15709,-2167,3942,33,136,12,347
11473,-1941,1108,68,136,19,348
5766,-9,-970,165,108,-16,353
3657,5756,1431,172,110,-46,368
323,5913,872,134,188,-67,389
-2196,3530,-990,148,251,-110,419
-5932,7286,-1794,291,266,-173,459
-6481,9914,-1922,363,207,-226,493
-6903,12777,-284,401,148,-287,520
-6491,18082,1147,473,108,-425,536
-6491,18082,1147,473,108,-425,536
-5540,24280,4069,460,148,-572,546
-1814,24064,7776,476,178,-572,554
-2392,32429,14493,572,204,-572,558
-12326,-12249,18014,572,-46,-572,542
-4040,2588,10855,572,-346,-572,556
6325,10992,6128,286,-397,-572,554
25800,3677,1490,82,-289,-572,549
32292,-16103,-2588,1,-112,-572,556
26437,-27880,107,-16,-1,-346,534
13993,-31283,5079,145,-80,-27,552
6766,31596,7884,239,-284,52,555
7972,27320,6589,312,-508,4,544
13111,24486,5697,237,-485,-28,555
14072,21260,4304,194,-331,-15,549
12463,20191,4138,144,-182,-5,550
10620,20691,3491,47,-61,-19,552
8021,19897,1863,-55,0,-32,550
7393,20397,186,-109,1,-20,550
7178,21544,-823,-191,0,11,551
6609,21475,-2275,-225,3,49,550
5560,20465,-3383,-212,9,76,549
4559,19524,-3598,-160,-2,92,548
4432,19171,-2559,-86,-24,117,547
3755,19769,-1265,17,-56,144,549
4658,22064,274,44,-71,157,549
4903,22554,931,22,-55,173,550
4540,22476,1392,0,-16,203,549
3883,22221,1431,-9,25,238,549
2775,21632,1333,-20,63,258,547
2314,20799,1314,-17,94,258,544
2039,20279,1372,-2,128,241,547
1372,20730,1765,18,152,213,547
735,20407,2343,31,131,191,543
921,19955,2422,33,92,170,543
1343,19357,2382,32,63,148,541
1961,18857,2363,33,59,125,545
1686,18641,2363,33,75,108,544
2118,18700,2373,29,81,89,542
2461,18769,2530,26,99,56,540
2539,18896,2608,21,114,22,541
2392,18563,2520,15,115,0,541
2412,18857,2765,8,93,-10,543
2951,18945,2696,1,78,-25,543
3569,18936,2726,0,78,-47,542
3638,18916,2696,0,83,-60,543
3245,18936,2716,5,74,-66,542
3442,18994,3000,7,53,-72,538
3844,18906,3059,7,39,-83,540
4206,19024,3128,6,36,-91,540
4177,19210,3157,4,34,-98,545
4128,19406,3128,0,26,-106,545
3912,19642,3089,-8,8,-109,545
4648,19681,3098,-14,-11,-109,544
5246,19681,3020,-14,-14,-111,544
5511,19691,2902,-14,-9,-108,544
5668,19759,2814,-15,-1,-103,544
5295,19789,2608,-15,-1,-93,543
5677,20201,2706,-16,-4,-80,544
5932,20456,2618,-19,4,-67,543
5815,20485,2510,-22,21,-54,544
5256,20554,2412,-19,27,-43,544
4785,20642,2412,-15,19,-32,543
4873,20485,2520,-12,6,-22,543
4854,20152,2608,-10,-5,-13,543
4903,19808,2549,-12,-16,-1,542
4775,19465,2294,-12,-24,9,540
4697,19191,2177,-11,-29,19,542
4677,19034,2167,-10,-26,27,542
4442,18936,2078,-9,-17,31,532
