ax,ay,az,gx,gy,gz,flex
-12405,-2255,-1402,-105,-135,33,427
-12905,-833,-2608,-68,-119,-140,423
-13209,2598,-3520,-8,-145,-303,420
-10600,8345,-2961,36,-186,-421,421
-6619,13130,-1549,59,-145,-510,423
-5579,18406,-657,84,-34,-572,426
-4746,25898,-578,109,34,-572,432
823,27212,3353,171,57,-572,435
14493,32184,14503,380,156,-572,440
26075,-17328,21789,343,240,-572,443
26075,-17328,21789,343,240,-572,443
-28321,-14651,22868,59,247,-572,443
-28694,-20565,18877,-58,175,-572,444
-32558,-25036,14062,-58,22,-572,446
32007,-28125,12140,-36,-76,-555,446
30125,-31303,10149,-46,-107,-471,447
29781,27644,8727,-55,-74,-379,448
28546,23574,9335,-12,24,-300,448
24251,22142,8972,11,74,-217,449
20397,21024,8001,7,62,-148,450
18033,19946,7237,5,40,-96,450
15945,19230,6589,12,47,-50,449
13238,19230,6344,20,58,-16,450
10502,19710,6227,18,41,5,450
8384,19377,5962,0,-1,19,451
7080,19298,5589,-12,-39,18,451
6374,19279,5422,-14,-58,11,452
5923,19328,5540,-13,-58,4,451
5471,19749,5707,-15,-40,-1,451
4716,20181,6021,-19,-28,-3,452
4275,20269,6207,-27,-20,-4,452
4010,20112,6030,-32,-12,-7,452
3795,19995,6030,-31,-2,-12,452
3657,19897,6246,-27,5,-16,453
3844,19848,6334,-29,8,-21,452
3902,19642,6236,-35,2,-20,452
3951,19495,6011,-35,-11,-19,453
4138,19220,5824,-25,-27,-20,453
4422,19220,5903,-14,-32,-23,454
4765,19181,5932,-11,-27,-23,455
4991,19083,5658,-15,-10,-21,456
5373,18779,5795,-8,21,-25,456
5462,18847,6178,0,55,-28,457
5462,18583,6383,0,84,-25,458
5148,18141,6315,-3,97,-20,459
4912,18122,6315,0,90,-18,459
4618,18641,6580,1,89,-16,459
4550,19181,6540,1,83,-16,460
4354,19338,6707,-2,88,-14,461
4314,19495,7119,0,80,-17,462
3991,19524,7070,0,82,-20,462
3853,19455,7139,1,91,-22,463
3373,19191,7139,1,98,-22,464
3481,19357,7433,9,80,-27,465
3304,19759,7854,7,84,-31,466
2108,19818,7295,2,76,-37,466
1706,20524,7158,0,46,-42,467
2226,21848,6933,8,29,-43,467
3442,21779,7511,10,80,-41,467
2785,20603,7874,3,159,-29,465
745,19671,7060,-12,216,8,463
-196,19828,6236,-25,208,34,458
-715,20240,5501,-21,136,34,462
-823,20279,4746,-6,48,35,467
382,19749,4510,-2,6,43,466
558,18945,3981,-4,17,49,468
343,19220,3883,6,51,47,468
-156,19936,3814,7,89,46,469
-706,20201,3324,0,126,38,469
-1618,20348,3196,-6,130,36,469
-1657,20887,3432,-11,112,39,469
-1892,21152,3618,-14,85,41,469
-1961,21524,3687,-15,51,29,469
-1559,21475,3853,-22,14,8,469
-480,20671,4030,-24,-19,1,470
313,19740,3844,-14,-23,5,470
735,18838,3804,0,-19,11,471
1108,18720,4167,13,-7,10,471
1363,18926,4765,13,14,9,472
1225,19642,5089,7,36,11,472
