ax,ay,az,gx,gy,gz,flex
-882,6697,411,42,128,39,371
-3069,7874,-607,76,38,2,387
-3402,7658,-1931,124,-19,-46,398
-2843,7845,-2451,193,-22,-122,406
-2265,8227,-1588,294,38,-232,416
-1539,13189,1068,421,146,-393,428
-2020,22309,3824,531,266,-572,445
-1451,32302,5854,572,351,-572,464
-2932,-17299,7874,572,344,-572,485
-3608,-1540,10051,572,240,-572,501
-3608,-1540,10051,572,240,-572,501
3265,10541,15199,572,199,-572,514
8305,17994,16690,572,267,-572,522
12640,9266,10924,543,259,-572,524
21564,-7865,11493,482,191,-572,524
19338,-23310,13287,499,189,-572,524
10502,-29224,12424,518,193,-59,524
2284,-28439,11198,433,79,297,524
725,32743,11306,251,-109,348,524
3775,29654,8708,15,-190,230,521
7550,27997,6442,-219,-101,104,518
9041,25486,4010,-363,102,31,516
6315,21456,2294,-394,255,0,514
1412,18739,1294,-339,240,-9,513
-1755,19965,19,-256,72,3,513
-784,20534,-1274,-199,-130,34,512
2137,19799,-1794,-171,-234,82,511
2843,19357,-2186,-159,-220,147,510
1480,19416,-2216,-131,-150,178,508
-1765,18710,-1912,-114,-120,174,507
-2245,18847,-1578,-104,-124,153,506
-2088,20112,-2059,-112,-98,123,505
-2628,20142,-2598,-115,-86,106,503
-3108,18347,-2304,-90,-105,114,502
-1500,17945,-1304,-39,-109,111,502
-303,18916,-715,1,-71,92,502
-470,20514,-147,16,-7,81,502
-715,20387,323,15,49,78,502
-853,20044,853,16,86,63,501
-931,20210,882,11,101,47,501
-961,19700,980,3,98,43,501
-1039,19514,1176,4,91,42,501
-764,19759,1323,8,82,26,501
-254,19710,1333,7,74,14,501
392,19848,1382,4,75,9,501
627,20004,1618,6,82,7,500
215,20083,1657,3,79,5,500
127,20014,1853,1,62,0,500
617,19906,1941,0,42,-7,500
1314,19838,1912,-2,30,-10,500
1765,19975,1843,-5,26,-10,500
1873,19985,1657,-12,24,-6,500
1863,19848,1578,-16,23,-3,500
1853,19769,1480,-16,21,-4,500
1980,19838,1353,-17,18,-5,500
1961,19681,1274,-18,14,-3,500
1814,19799,1147,-20,9,-1,499
1912,19720,1117,-20,8,-3,499
2216,19710,1029,-17,11,-7,499
2402,19857,931,-15,17,-6,499
2137,19946,902,-14,19,0,499
1922,19759,941,-14,14,3,499
1814,19553,990,-10,7,5,499
1833,19651,1108,-8,3,5,499
1931,19651,1196,-9,4,5,499
2098,19583,1225,-11,6,6,499
2216,19671,1274,-11,10,8,499
2226,19700,1088,-11,14,10,499
2314,19612,1274,-7,18,12,499
2157,19622,1559,-3,24,12,499
1951,19671,1755,-5,29,9,498
1706,19867,1794,-10,25,6,498
1725,19671,1676,-14,13,5,498
1774,19406,1519,-14,0,6,498
1794,19514,1441,-10,-9,6,498
2118,19632,1539,-7,-9,2,498
2294,19544,1657,-8,0,0,498
2275,19504,1745,-8,4,0,498
2451,19691,1774,-10,6,0,498
2520,19769,1725,-10,11,0,498
