ax,ay,az,gx,gy,gz,flex
1441,-1343,2922,47,44,-47,332
-529,-1010,2069,62,0,-60,332
-1725,500,2255,99,-9,-108,332
-3059,3206,2785,106,6,-169,334
-4658,6354,2402,120,4,-221,334
-3314,9914,2961,157,17,-288,332
-2177,15709,4157,213,86,-364,327
-2226,22368,6158,250,167,-432,334
-2510,27614,8698,299,223,-498,334
-1402,-30557,12865,380,295,-572,336
-1402,-30557,12865,380,295,-572,336
-3353,-19898,16562,424,324,-572,336
-1372,-13445,19524,424,268,-572,336
6962,-8689,25496,489,340,-572,336
9855,-1678,29978,546,523,-572,338
10512,-2256,31978,477,481,-572,339
19063,-12867,-30665,457,363,-572,339
18739,-16073,-31273,440,250,-498,339
16749,-24418,31998,393,-15,-365,338
19936,-32499,29987,337,-157,-272,339
20397,26035,26996,264,-95,-187,339
16788,21995,24221,201,13,-118,339
12405,19818,22201,137,47,-70,340
8894,18406,19779,59,1,-40,340
6942,17229,16445,25,-73,-30,340
4765,18073,13169,2,-129,-20,340
3500,18749,10561,-44,-147,-14,340
2147,18818,8502,-88,-131,8,340
-853,18328,6462,-90,-162,32,340
-2010,18788,5207,-72,-252,50,340
-1784,20142,5530,-64,-299,64,340
-578,19544,6285,-83,-234,86,340
-3991,18828,6099,-69,-143,117,340
-7982,18043,6638,-59,-160,106,339
-8600,17445,8237,-47,-247,42,339
-6138,17131,8825,-35,-320,-30,339
-2775,18524,8894,-27,-334,-14,339
637,20299,9286,-26,-330,35,339
2461,22103,10159,-32,-253,88,339
1882,22064,10688,-55,-136,117,338
-9,21093,10816,-65,-71,133,339
-1667,20485,10071,-59,-55,126,339
-833,19995,9561,-43,-74,112,339
235,19298,9178,-42,-65,109,339
1010,18632,8855,-45,-21,110,338
872,18896,8315,-40,29,111,338
706,19171,8178,-41,58,111,338
-617,18749,7796,-40,68,100,337
-1814,17945,7276,-19,48,73,338
-1500,18180,7207,7,24,43,338
-607,18769,7609,13,13,23,337
-519,18494,7688,2,25,15,339
-529,17994,7364,0,42,6,339
-431,17749,7403,9,48,-3,339
-343,18465,7972,18,44,-15,339
-29,18700,8237,14,37,-26,338
568,19092,8394,15,24,-33,338
1196,19200,8747,19,18,-36,338
1461,19455,9149,22,15,-36,338
1206,19387,9080,23,0,-38,337
1873,19514,9198,25,-17,-38,337
2951,19848,9453,28,-6,-34,331
2902,19985,9296,28,21,-29,337
2834,19789,9100,30,33,-29,338
3059,19651,8953,41,44,-31,338
3245,20348,9404,30,58,-15,338
3020,19955,9365,3,67,4,338
2902,19259,8845,-7,59,18,338
2657,18945,8374,-5,48,32,337
2618,19141,8453,-10,49,43,338
2059,19279,8188,-17,59,50,338
1618,19681,8158,-25,67,47,337
774,20230,7845,-34,66,44,337
-39,20622,7609,-48,36,39,337
-284,20348,6785,-41,-14,28,337
353,20456,6393,-23,-50,11,337
1176,19975,6030,-20,-50,1,337
1461,19240,5628,-19,-39,1,337
1980,19043,5775,-19,-16,6,336
1892,19387,6099,-26,15,12,336
