ax,ay,az,gx,gy,gz,flex
980,-4520,8217,-16,-79,-21,289
-617,-2333,5972,9,-85,-52,297
411,-4128,2941,25,-72,-76,301
1098,-2922,3138,143,-8,-114,304
-1618,2824,5118,241,-3,-172,307
2696,6354,3912,196,-38,-183,310
3510,4863,4216,248,23,-169,311
-1098,11708,7884,402,71,-230,312
1215,18180,8227,402,9,-311,313
4834,19318,10561,451,12,-319,315
4834,19318,10561,451,12,-319,315
2569,25535,17327,570,77,-371,319
6021,31007,18622,546,93,-431,325
8060,-32411,21760,565,131,-411,330
2843,-29096,26114,572,138,-431,335
5354,-25880,29350,572,68,-499,341
6982,-26380,-30596,572,71,-481,348
4442,-25605,-28763,572,4,-495,352
10080,-29890,-32136,497,-103,-502,352
11041,30772,31674,468,-144,-443,352
15268,28222,29683,433,-152,-384,355
17778,24810,26369,380,0,-290,359
13660,21917,22956,338,135,-194,361
8943,21260,21446,288,167,-118,364
3981,22093,21113,178,82,-70,366
4344,21907,19161,35,-71,-45,366
6815,19848,16317,-53,-171,-9,367
7256,19651,14238,-72,-220,30,367
8659,21152,13336,-83,-226,77,368
8835,22966,13424,-127,-163,130,371
6511,23672,12248,-194,-83,182,375
3755,23388,11169,-230,-58,220,380
2441,23044,10257,-241,-45,242,384
833,22976,9845,-228,-43,250,386
-156,22897,9737,-206,-50,247,389
-774,22132,8933,-193,-69,246,391
-441,21201,8541,-178,-80,245,393
-353,21240,8443,-151,-72,234,393
-147,21073,8198,-140,-42,221,394
-353,19965,7501,-136,-19,212,394
-333,18847,7237,-120,-12,200,394
-715,17857,7344,-97,-7,177,395
-813,17474,7119,-76,-6,142,395
-147,17023,6815,-58,2,109,397
176,16170,6727,-32,20,81,397
107,15837,7089,-7,38,46,398
-39,15758,7266,13,54,10,398
29,15749,8021,38,60,-24,399
-147,16190,8933,60,57,-60,400
558,16759,9433,67,64,-91,401
627,17514,10022,68,66,-112,402
1294,18004,10679,69,59,-125,403
1108,18151,11669,81,61,-132,403
205,19161,12767,75,30,-143,403
1353,19661,13228,47,-20,-147,403
2402,18965,13591,36,-36,-141,403
2402,19053,13944,42,-52,-146,403
3922,19024,14042,37,-57,-146,404
4452,18504,13797,35,-43,-136,404
4795,18445,13670,38,-37,-122,404
5442,18857,13581,33,-20,-105,405
5266,18887,13052,22,0,-89,405
5481,18632,12385,14,5,-73,405
5579,18484,11953,9,11,-47,405
5275,18583,11875,0,8,-23,406
5520,18435,11600,-15,5,-1,406
4746,18328,11649,-23,8,20,406
4010,18367,11257,-32,-5,33,406
4334,18210,10826,-33,-14,51,406
3775,18730,11061,-27,-11,65,406
3647,19092,11208,-30,-6,75,406
3314,18945,11032,-37,1,91,406
2598,18906,10875,-39,10,106,406
2069,19102,11012,-36,16,115,406
1402,19200,10934,-38,18,122,406
588,18877,11100,-39,21,125,406
-519,18671,11130,-39,12,119,406
-921,18494,10855,-43,0,103,406
-1010,18308,10384,-38,-10,84,406
-637,18298,10600,-26,-14,64,406
