ax,ay,az,gx,gy,gz,flex
13385,24682,12267,95,196,-199,430
10943,23613,10747,-24,106,-95,431
8747,22574,8570,-98,-37,7,432
8256,21730,6511,-114,-190,97,432
7737,21927,5089,-90,-293,161,432
7335,23397,4138,-73,-348,210,432
7344,24780,2922,-83,-356,256,433
7040,25074,2284,-103,-315,309,433
4785,25231,2118,-102,-257,357,431
3422,24859,2265,-80,-210,377,428
3422,24859,2265,-80,-210,377,428
2834,24015,2471,-50,-162,365,425
2716,23682,2902,-26,-101,342,422
1608,24094,3500,-9,-40,317,421
1039,23515,3383,-7,0,282,425
1294,22162,3069,-11,30,256,425
1186,20897,2990,-12,62,237,427
735,20024,3020,-9,81,210,423
666,19298,3108,-6,89,172,421
980,18632,3089,-5,96,132,424
1470,18308,3549,-4,103,97,426
1235,18230,3451,-10,101,69,425
1147,17788,3206,-15,80,37,425
1578,17337,3049,-9,59,8,426
2049,17553,3392,6,44,-23,427
2481,17926,3530,10,33,-53,428
3039,18141,3569,9,31,-76,428
3755,18220,3726,13,40,-101,429
4295,18583,4177,20,59,-126,430
4687,19171,4579,23,78,-147,431
5020,19857,4903,23,91,-165,432
5452,20397,5050,24,96,-174,433
5874,20779,5118,27,93,-172,434
6138,21171,5177,28,82,-160,435
6374,21338,5364,29,67,-139,436
6256,21397,5432,26,47,-114,436
6285,21338,5442,21,25,-86,436
6364,21103,5442,13,9,-62,437
6178,20828,5334,3,2,-44,437
5893,20407,5197,-3,0,-34,437
5756,20132,4952,-7,0,-27,437
5658,20152,4765,-10,0,-23,437
5726,20201,4677,-14,-2,-19,437
5942,20338,4491,-18,-1,-15,437
6119,20416,4255,-23,1,-7,437
6178,20446,3971,-25,4,5,437
6089,20505,3716,-25,7,21,437
5795,20612,3598,-23,10,36,437
5481,20573,3608,-21,12,47,437
5246,20475,3589,-20,13,58,437
4922,20250,3579,-19,14,67,437
4618,20191,3540,-18,13,74,437
4403,20103,3579,-16,12,78,437
4265,20073,3608,-14,13,80,437
4079,20014,3647,-13,14,79,437
4010,19857,3726,-11,19,74,437
3775,19710,3834,-9,22,68,437
3540,19593,3883,-7,19,61,437
3520,19475,3844,-6,16,55,436
3569,19387,3981,-3,15,48,436
3628,19328,4079,-1,16,35,436
3579,19259,4275,-1,20,24,436
3402,19259,4363,-2,18,13,435
3510,19298,4422,-2,13,1,435
3706,19416,4530,-1,10,-11,436
3902,19455,4795,-1,10,-19,436
4040,19445,4863,-4,8,-26,436
4383,19445,4893,-11,5,-35,436
4824,19779,5403,-13,12,-48,435
4471,19759,5040,-25,13,-61,436
4255,19406,4667,-28,17,-58,435
4805,19504,4687,-16,-6,-55,436
5216,20044,4883,-10,-16,-56,436
5923,20387,4912,-14,-9,-54,436
6374,20220,4638,-23,-2,-50,436
6256,20318,4530,-24,24,-36,435
6030,20152,4530,-31,13,-32,435
6580,20034,4138,-31,19,-18,435
6354,19857,3902,-26,22,-10,435
6344,20004,3951,-17,29,0,434
