ax,ay,az,gx,gy,gz,flex
14807,16111,2382,10,110,-114,582
14807,16111,2382,10,110,-114,582
14984,20210,3755,71,179,135,582
14984,20210,3755,71,179,135,582
10296,27065,4422,8,250,403,582
10296,27065,4422,8,250,403,582
6276,-31204,4971,-95,317,542,583
6276,-31204,4971,-95,317,542,583
3079,-21447,5471,-197,402,572,583
3079,-21447,5471,-197,402,572,583
-1696,-13622,5187,-324,408,572,584
-1696,-13622,5187,-324,408,572,584
-6079,-10611,4618,-455,281,572,584
-6079,-10611,4618,-455,281,572,584
-6678,-15701,3343,-523,122,572,584
-6678,-15701,3343,-523,122,572,584
-5364,-26821,2588,-472,51,572,584
-5364,-26821,2588,-472,51,572,584
-3226,27565,1814,-334,45,572,583
-3226,27565,1814,-334,45,572,583
-1166,20985,1765,-185,102,380,582
-1166,20985,1765,-185,102,380,582
-392,17494,2088,-129,160,223,582
-392,17494,2088,-129,160,223,582
-1569,15837,1882,-120,120,121,581
-1569,15837,1882,-120,120,121,581
-2196,14660,853,-139,-20,51,581
-2196,14660,853,-139,-20,51,581
-1235,12306,-313,-121,-137,-5,581
-1235,12306,-313,-121,-137,-5,581
-1039,9992,-225,-21,-169,-82,580
-1039,9992,-225,-21,-169,-82,580
-3039,11149,205,64,-191,-202,580
-3039,11149,205,64,-191,-202,580
-4030,15415,568,86,-241,-374,580
-4030,15415,568,86,-241,-374,580
-3049,24810,1823,83,-217,-572,580
-3049,24810,1823,83,-217,-572,580
-529,-24683,2098,58,-199,-572,582
-529,-24683,2098,58,-199,-572,582
1804,-5728,3373,122,-220,-572,584
1804,-5728,3373,122,-220,-572,584
9335,5471,8247,108,-185,-572,585
9335,5471,8247,108,-185,-572,585
14121,-12857,14993,190,62,-572,585
14121,-12857,14993,190,62,-572,585
3922,-26478,12836,218,-227,-484,584
3922,-26478,12836,218,-227,-484,584
3098,-29949,8374,115,-572,-183,584
3098,-29949,8374,115,-572,-183,584
5962,30125,1706,-86,-572,-66,584
5962,30125,1706,-86,-572,-66,584
8266,21103,-2481,-283,-572,19,582
8266,21103,-2481,-283,-572,19,582
7286,14905,-4442,-336,-572,114,582
7286,14905,-4442,-336,-572,114,582
5315,10914,-4775,-289,-460,146,581
5315,10914,-4775,-289,-460,146,581
3765,9374,-4863,-157,-373,107,581
3765,9374,-4863,-157,-373,107,581
4157,9119,-4000,-13,-289,60,581
4157,9119,-4000,-13,-289,60,581
2892,11375,-2637,116,-171,1,581
2892,11375,-2637,116,-171,1,581
1353,16925,-411,215,-113,-71,581
1353,16925,-411,215,-113,-71,581
1215,19328,1225,332,-41,-152,581
1215,19328,1225,332,-41,-152,581
431,24408,4177,460,56,-217,582
431,24408,4177,460,56,-217,582
-3363,32213,5560,533,108,-303,583
-3363,32213,5560,533,108,-303,583
-5462,-27409,6079,484,-22,-444,583
-5462,-27409,6079,484,-22,-444,583
-1029,-22653,7286,450,-167,-572,584
-1029,-22653,7286,450,-167,-572,584
4373,-22624,8325,491,-138,-572,584
4373,-22624,8325,491,-138,-572,584
6276,-27743,8482,502,13,-492,584
6276,-27743,8482,502,13,-492,584
4805,32409,9737,441,89,-290,584
4805,32409,9737,441,89,-290,584
