ax,ay,az,gx,gy,gz,flex
-1137,16425,4334,197,-5,-391,577
-1137,16425,4334,197,-5,-391,577
-2716,24741,4785,239,-26,-572,577
-2716,24741,4785,239,-26,-572,577
4030,-30587,6609,249,-5,-572,578
4030,-30587,6609,249,-5,-572,578
12169,-26801,7933,288,342,-572,579
12169,-26801,7933,288,342,-572,579
14631,31478,5736,311,572,-572,579
14631,31478,5736,311,572,-572,579
6658,24937,4942,247,572,-319,579
6658,24937,4942,247,572,-319,579
-2696,24388,6942,-38,427,-23,578
-2696,24388,6942,-38,427,-23,578
156,23643,5942,-360,65,126,577
156,23643,5942,-360,65,126,577
1225,20465,5226,-429,-20,205,577
1225,20465,5226,-429,-20,205,577
-156,22211,4971,-338,-82,163,577
-156,22211,4971,-338,-82,163,577
-1127,27585,4304,-317,-226,149,577
-1127,27585,4304,-317,-226,149,577
-1059,31507,1843,-421,-419,230,578
-1059,31507,1843,-421,-419,230,578
-215,31076,29,-460,-568,360,578
-215,31076,29,-460,-568,360,578
1333,27320,39,-404,-572,489,578
1333,27320,39,-404,-572,489,578
2039,24839,1902,-251,-423,561,578
2039,24839,1902,-251,-423,561,578
-98,18063,1735,-163,-202,508,576
-98,18063,1735,-163,-202,508,576
-2726,9433,1049,-70,-52,317,575
-2726,9433,1049,-70,-52,317,575
-3696,4579,1892,79,5,51,574
-3696,4579,1892,79,5,51,574
-3343,5991,2745,158,-2,-184,573
-3343,5991,2745,158,-2,-184,573
-2422,11100,4079,185,16,-395,574
-2422,11100,4079,185,16,-395,574
-1019,20740,5011,200,-47,-572,575
-1019,20740,5011,200,-47,-572,575
3422,32459,6246,194,-18,-572,577
3422,32459,6246,194,-18,-572,577
8668,-22859,7639,201,185,-572,578
8668,-22859,7639,201,185,-572,578
13856,-26870,6766,194,447,-572,579
13856,-26870,6766,194,447,-572,579
13473,26545,5471,193,572,-481,578
13473,26545,5471,193,572,-481,578
3138,23780,5923,59,377,38,578
3138,23780,5923,59,377,38,578
-970,23603,5001,-188,-31,286,577
-970,23603,5001,-188,-31,286,577
990,19436,3746,-285,-246,304,577
990,19436,3746,-285,-246,304,577
4118,15749,4069,-155,-196,200,576
4118,15749,4069,-155,-196,200,576
6550,17553,4334,-42,-32,78,577
6550,17553,4334,-42,-32,78,577
6531,22152,4903,-51,172,59,577
6531,22152,4903,-51,172,59,577
5658,26437,5246,-131,276,81,578
5658,26437,5246,-131,276,81,578
2118,28811,3951,-242,233,150,578
2118,28811,3951,-242,233,150,578
-911,27006,2814,-326,-4,289,579
-911,27006,2814,-326,-4,289,579
-1245,26143,2088,-313,-198,417,579
-1245,26143,2088,-313,-198,417,579
-892,22466,1833,-256,-285,443,579
-892,22466,1833,-256,-285,443,579
853,18082,2373,-152,-213,363,578
853,18082,2373,-152,-213,363,578
529,14003,1971,-77,-57,235,576
529,14003,1971,-77,-57,235,576
-1931,10551,1412,-26,1,82,576
-1931,10551,1412,-26,1,82,576
-1235,9708,2216,62,-17,-67,575
-1235,9708,2216,62,-17,-67,575
-274,12228,4128,153,24,-213,575
-274,12228,4128,153,24,-213,575
