ax,ay,az,gx,gy,gz,flex
-20887,-24095,1402,199,108,-572,504
-20887,-24095,1402,199,108,-572,504
-17710,-1197,3451,224,-25,-572,510
-17710,-1197,3451,224,-25,-572,510
-17249,25800,3755,224,-94,-572,514
-17249,25800,3755,224,-94,-572,514
-11061,-26243,2010,195,-125,-572,517
-11061,-26243,2010,195,-125,-572,517
-411,19347,-2755,171,-103,-572,518
-411,19347,-2755,171,-103,-572,518
2628,-10925,-3775,216,-334,-572,518
2628,-10925,-3775,216,-334,-572,518
8433,-16407,-1176,136,-126,-442,516
8433,-16407,-1176,136,-126,-442,516
18014,-30518,-1696,74,16,-572,513
18014,-30518,-1696,74,16,-572,513
-27792,26889,578,129,-13,-472,513
-27792,26889,578,129,-13,-472,513
-25585,26143,1431,118,166,22,513
-25585,26143,1431,118,166,22,513
20004,28958,2961,16,195,438,513
20004,28958,2961,16,195,438,513
8276,-30273,4236,4,0,572,513
8276,-30273,4236,4,0,572,513
5815,-15671,8227,128,-156,572,515
5815,-15671,8227,128,-156,572,515
4138,12610,11561,151,-122,572,518
4138,12610,11561,151,-122,572,518
-6315,-22104,8845,-107,155,572,519
-6315,-22104,8845,-107,155,572,519
-15023,-22134,4108,-404,424,572,520
-15023,-22134,4108,-404,424,572,520
-22838,12502,1608,-420,476,572,518
-22838,12502,1608,-420,476,572,518
-26271,-18240,-1265,-368,134,572,513
-26271,-18240,-1265,-368,134,572,513
-28967,25418,-4559,-313,-75,483,508
-28967,25418,-4559,-313,-75,483,508
-29389,16043,-9865,-301,-119,229,503
-29389,16043,-9865,-301,-119,229,503
-28458,9806,-9384,-210,-53,56,500
-28458,9806,-9384,-210,-53,56,500
-31801,7952,-8256,-72,93,-191,499
-31801,7952,-8256,-72,93,-191,499
-26428,14601,-6207,-2,-55,-464,501
-26428,14601,-6207,-2,-55,-464,501
-22731,32213,-4069,56,-63,-572,503
-22731,32213,-4069,56,-63,-572,503
-22348,-4335,-6785,-32,-251,-572,509
-22348,-4335,-6785,-32,-251,-572,509
-15513,15258,-1755,49,-178,-572,513
-15513,15258,-1755,49,-178,-572,513
-21162,-21408,-29,232,-120,-572,517
-21162,-21408,-29,232,-120,-572,517
-12954,-26154,-10973,63,-572,-572,518
-12954,-26154,-10973,63,-572,-572,518
11385,-5306,-12434,-40,-572,-572,515
11385,-5306,-12434,-40,-572,-572,515
-882,-14024,-8864,325,-404,-320,514
-882,-14024,-8864,325,-404,-320,514
7541,-19564,-13120,-128,-210,-567,508
7541,-19564,-13120,-128,-210,-567,508
20936,26447,-12650,-278,173,-572,506
20936,26447,-12650,-278,173,-572,506
22515,19936,-14817,38,106,-381,505
22515,19936,-14817,38,106,-381,505
24280,18014,-10110,316,8,-16,506
24280,18014,-10110,316,8,-16,506
19426,24584,-2657,452,-34,199,506
19426,24584,-2657,452,-34,199,506
16827,-30842,4481,469,-55,351,507
16827,-30842,4481,469,-55,351,507
17651,-17946,12816,450,-40,572,508
17651,-17946,12816,450,-40,572,508
11149,3804,18945,394,248,572,511
11149,3804,18945,394,248,572,511
-3647,29330,17455,135,311,572,515
-3647,29330,17455,135,311,572,515
-8100,32145,12993,-87,324,572,516
-8100,32145,12993,-87,324,572,516
-19995,14660,7099,-215,572,572,514
-19995,14660,7099,-215,572,572,514
