ax,ay,az,gx,gy,gz,flex
11100,6148,8316,572,572,-572,505
11100,6148,8316,572,572,-572,505
-20240,-31273,-26967,289,572,-323,525
-20240,-31273,-26967,289,572,-323,525
5728,17749,17808,-396,572,-120,535
5728,17749,17808,-396,572,-120,535
30822,15346,-27683,-332,-572,165,534
30822,15346,-27683,-332,-572,165,534
2078,13836,6316,-305,-572,194,513
2078,13836,6316,-305,-572,194,513
24859,12238,21369,79,-572,369,510
24859,12238,21369,79,-572,369,510
-31008,17729,-5550,-113,155,115,493
-31008,17729,-5550,-113,155,115,493
28173,6599,13739,-36,572,-572,507
28173,6599,13739,-36,572,-572,507
-5442,16759,-19,307,572,-572,527
-5442,16759,-19,307,572,-572,527
-3010,24280,3422,-11,572,-29,540
-3010,24280,3422,-11,572,-29,540
25389,19053,-725,-472,-572,-40,536
25389,19053,-725,-472,-572,-40,536
-6913,22956,-18200,-464,-572,44,531
-6913,22956,-18200,-464,-572,44,531
-853,10090,22693,-204,-572,31,520
-853,10090,22693,-204,-572,31,520
16298,14513,31175,235,-572,-94,519
16298,14513,31175,235,-572,-94,519
27124,19465,-10365,193,13,-250,513
27124,19465,-10365,193,13,-250,513
-28498,12738,9405,56,572,-572,520
-28498,12738,9405,56,572,-572,520
-6305,13150,19427,-266,572,-572,531
-6305,13150,19427,-266,572,-572,531
7963,19661,13993,-572,572,-221,542
7963,19661,13993,-572,572,-221,542
25419,3392,-31703,-443,-572,572,539
25419,3392,-31703,-443,-572,572,539
12002,11375,17319,10,-572,315,524
12002,11375,17319,10,-572,315,524
24780,10110,-27555,159,-572,540,520
24780,10110,-27555,159,-572,540,520
-31342,25878,-11238,-296,211,163,517
-31342,25878,-11238,-296,211,163,517
14984,1421,17927,-201,572,-572,525
14984,1421,17927,-201,572,-572,525
-12287,12493,-25006,324,572,-572,541
-12287,12493,-25006,324,572,-572,541
17378,26006,17906,-65,572,-90,545
17378,26006,17906,-65,572,-90,545
-21328,13150,-32331,-76,-572,509,546
-21328,13150,-32331,-76,-572,509,546
11963,1284,4090,202,-572,572,532
11963,1284,4090,202,-572,572,532
-28527,21701,-29271,185,-572,572,518
-28527,21701,-29271,185,-572,572,518
-22938,18887,-14258,-297,572,-4,469
-22938,18887,-14258,-297,572,-4,469
11463,4569,4865,-79,572,-572,515
11463,4569,4865,-79,572,-572,515
-11679,16121,21604,25,572,-572,537
-11679,16121,21604,25,572,-572,537
10552,20612,17249,106,572,-151,543
10552,20612,17249,106,572,-151,543
-28771,15180,-11375,-325,-572,568,541
-28771,15180,-11375,-325,-572,568,541
1676,11414,-29968,-271,-572,572,523
1676,11414,-29968,-271,-572,572,523
14768,16435,-29075,-413,-572,572,514
14768,16435,-29075,-413,-572,572,514
18632,11257,-13120,-142,-572,59,516
18632,11257,-13120,-142,-572,59,516
27251,12885,-30536,133,572,-572,525
27251,12885,-30536,133,572,-572,525
588,12797,24271,49,572,-572,535
588,12797,24271,49,572,-572,535
21408,20897,2353,434,572,-204,542
21408,20897,2353,434,572,-204,542
29596,12689,-14797,142,-572,344,543
29596,12689,-14797,142,-572,344,543
8335,4481,29430,-54,-572,572,534
8335,4481,29430,-54,-572,572,534
