ax,ay,az,gx,gy,gz,flex
-5050,1882,-3893,-83,38,123,509
-5050,1882,-3893,-83,38,123,509
-5148,2686,-3491,84,43,-21,510
-5148,2686,-3491,84,43,-21,510
-2608,5452,-2177,187,69,-132,515
-2608,5452,-2177,187,69,-132,515
-2618,9943,-1706,328,192,-213,520
-2618,9943,-1706,328,192,-213,520
-4265,17543,-1735,462,287,-290,511
-4265,17543,-1735,462,287,-290,511
-6835,24202,-2461,572,339,-332,529
-6835,24202,-2461,572,339,-332,529
-10218,-32568,-2500,572,296,-365,551
-10218,-32568,-2500,572,296,-365,551
-11865,-26488,-2049,572,130,-353,567
-11865,-26488,-2049,572,130,-353,567
-8041,-25125,-4354,534,-101,-323,575
-8041,-25125,-4354,534,-101,-323,575
-1588,-27684,-4432,572,-119,-252,581
-1588,-27684,-4432,572,-119,-252,581
-1353,-28861,-657,572,0,-200,587
-1353,-28861,-657,572,0,-200,587
-1902,32439,2883,480,31,-132,590
-1902,32439,2883,480,31,-132,590
-1147,28624,6511,311,-20,-86,591
-1147,28624,6511,311,-20,-86,591
-166,26437,9227,105,-49,-61,591
-166,26437,9227,105,-49,-61,591
2020,25584,9051,-116,-29,-29,590
2020,25584,9051,-116,-29,-29,590
-627,27516,8070,-265,66,15,588
-627,27516,8070,-265,66,15,588
-6178,30615,6658,-472,-28,70,586
-6178,30615,6658,-472,-28,70,586
-5520,-31812,4834,-532,-76,161,584
-5520,-31812,4834,-532,-76,161,584
-4981,-25095,3079,-572,-70,197,583
-4981,-25095,3079,-572,-70,197,583
-8080,-21820,980,-572,-124,330,582
-8080,-21820,980,-572,-124,330,582
-7962,-21898,-313,-572,-225,418,578
-7962,-21898,-313,-572,-225,418,578
-8021,-27478,147,-572,-186,441,560
-8021,-27478,147,-572,-186,441,560
-6227,28909,-264,-572,-99,383,529
-6227,28909,-264,-572,-99,383,529
-6491,19112,-1608,-499,-67,307,524
-6491,19112,-1608,-499,-67,307,524
-4687,11404,-2226,-339,-106,245,524
-4687,11404,-2226,-339,-106,245,524
-4736,4962,-3353,-190,-33,151,521
-4736,4962,-3353,-190,-33,151,521
-5481,3245,-3559,-35,11,46,521
-5481,3245,-3559,-35,11,46,521
-5501,3873,-3863,93,21,-32,521
-5501,3873,-3863,93,21,-32,521
-4628,7943,-2000,230,146,-114,523
-4628,7943,-2000,230,146,-114,523
-7305,13150,-1108,350,246,-168,530
-7305,13150,-1108,350,246,-168,530
-8070,18779,-676,423,260,-204,535
-8070,18779,-676,423,260,-204,535
-9590,25310,-813,519,280,-222,538
-9590,25310,-813,519,280,-222,538
-11649,31782,-2314,572,216,-222,539
-11649,31782,-2314,572,216,-222,539
-10669,-26635,-3785,572,166,-245,540
-10669,-26635,-3785,572,166,-245,540
-9247,-22094,-4491,572,199,-222,542
-9247,-22094,-4491,572,199,-222,542
-7688,-21359,-4814,572,163,-169,546
-7688,-21359,-4814,572,163,-169,546
-4275,-24448,-3245,572,94,-76,547
-4275,-24448,-3245,572,94,-76,547
-3530,-29871,-470,572,25,32,548
-3530,-29871,-470,572,25,32,548
-2382,31027,2677,572,-66,95,549
-2382,31027,2677,572,-66,95,549
-372,29664,6638,377,-80,100,550
-372,29664,6638,377,-80,100,550
-902,30360,8060,11,-101,90,550
-902,30360,8060,11,-101,90,550
