ax,ay,az,gx,gy,gz,flex
-26733,-27900,3392,549,-539,-94,539
-26733,-27900,3392,549,-539,-94,539
24564,31821,-6697,-572,572,-175,544
24564,31821,-6697,-572,572,-175,544
-13326,12640,-14827,-572,572,-134,542
-13326,12640,-14827,-572,572,-134,542
31607,-411,-3402,-87,-572,121,537
31607,-411,-3402,-87,-572,121,537
3324,19338,-22338,572,-572,-155,544
3324,19338,-22338,572,-572,-155,544
-29743,-32391,-4314,572,-572,-77,538
-29743,-32391,-4314,572,-572,-77,538
31135,-27860,-3569,-510,572,-32,538
31135,-27860,-3569,-510,572,-32,538
6295,15278,-23760,-572,572,-188,543
6295,15278,-23760,-572,572,-188,543
27968,8659,-4324,-572,572,22,536
27968,8659,-4324,-572,572,22,536
-21338,2824,-7972,327,-572,68,548
-21338,2824,-7972,327,-572,68,548
8531,25163,-20181,572,-572,-147,546
8531,25163,-20181,572,-572,-147,546
-15985,-25566,4844,375,-314,-11,539
-15985,-25566,4844,375,-314,-11,539
23800,27957,-18847,-572,572,-234,545
23800,27957,-18847,-572,572,-234,545
-18357,12885,-18524,-572,572,-125,548
-18357,12885,-18524,-572,572,-125,548
29184,441,-745,-289,-509,63,532
29184,441,-745,-289,-509,63,532
-3128,9963,-17033,572,-572,-24,547
-3128,9963,-17033,572,-572,-24,547
23241,32184,-9198,572,-572,-138,543
23241,32184,-9198,572,-572,-138,543
-30126,-27400,6207,-275,572,-94,546
-30126,-27400,6207,-275,572,-94,546
4628,17827,-14493,-572,572,-197,548
4628,17827,-14493,-572,572,-197,548
-32302,9718,-3030,-564,572,-12,524
-32302,9718,-3030,-564,572,-12,524
-17798,4167,-5324,278,-572,121,550
-17798,4167,-5324,278,-572,121,550
6638,23290,-14631,572,-572,-30,548
6638,23290,-14631,572,-572,-30,548
24015,30968,2118,497,-572,33,546
24015,30968,2118,497,-572,33,546
24349,32027,1470,-451,572,-4,548
24349,32027,1470,-451,572,-4,548
6531,16043,-14091,-572,572,-173,549
6531,16043,-14091,-572,572,-173,549
-20446,11326,-4824,-553,572,-21,528
-20446,11326,-4824,-553,572,-21,528
-21760,5932,254,160,-572,35,545
-21760,5932,254,160,-572,35,545
1176,19279,-11090,572,-572,-103,548
1176,19279,-11090,572,-572,-103,548
19151,30497,-3598,572,-572,-98,546
19151,30497,-3598,572,-572,-98,546
25388,-32028,4344,-278,515,-128,547
25388,-32028,4344,-278,515,-128,547
7658,18926,-9982,-572,572,-235,549
7658,18926,-9982,-572,572,-235,549
-16268,12395,-3873,-572,572,-43,533
-16268,12395,-3873,-572,572,-43,533
-22034,6962,990,85,-572,72,549
-22034,6962,990,85,-572,72,549
323,16984,-10875,572,-572,21,549
323,16984,-10875,572,-572,21,549
20661,30105,-2490,572,-572,-1,547
20661,30105,-2490,572,-572,-1,547
24221,-31695,4667,-303,499,-41,547
24221,-31695,4667,-303,499,-41,547
6678,19328,-9649,-572,572,-149,548
6678,19328,-9649,-572,572,-149,548
-16680,12709,-3275,-572,572,24,548
-16680,12709,-3275,-572,572,24,548
-19897,7168,1814,52,-518,112,543
-19897,7168,1814,52,-518,112,543
-2373,16131,-8472,572,-572,56,547
-2373,16131,-8472,572,-572,56,547
14425,28271,-2108,572,-572,3,545
14425,28271,-2108,572,-572,3,545
