ax,ay,az,gx,gy,gz,flex
22869,16906,2706,-280,162,249,540
22869,16906,2706,-280,162,249,540
12092,15680,-5775,-361,-140,-259,546
12092,15680,-5775,-361,-140,-259,546
28753,26947,-10590,-342,-425,-572,547
28753,26947,-10590,-342,-425,-572,547
-25751,-12690,-17161,-401,-572,-572,548
-25751,-12690,-17161,-401,-572,-572,548
-22927,28889,-31939,-550,-572,-572,551
-22927,28889,-31939,-550,-572,-572,551
-5726,-14514,28645,-459,-572,-572,551
-5726,-14514,28645,-459,-572,-572,551
16660,13395,-16347,-229,-72,-572,513
16660,13395,-16347,-229,-72,-572,513
2216,-10317,-16003,-220,223,-572,306
2216,-10317,-16003,-220,223,-572,306
1461,-25840,-11493,-113,-206,-572,247
1461,-25840,-11493,-113,-206,-572,247
14582,30027,-11061,245,-278,-530,235
14582,30027,-11061,245,-278,-530,235
27251,29350,3951,288,90,-431,233
27251,29350,3951,288,90,-431,233
-31489,20485,5540,13,165,-232,245
-31489,20485,5540,13,165,-232,245
-25262,18279,9031,244,-219,44,250
-25262,18279,9031,244,-219,44,250
-30910,-28900,21838,279,-241,540,254
-30910,-28900,21838,279,-241,540,254
20004,-5237,28938,189,-256,572,257
20004,-5237,28938,189,-256,572,257
11669,26231,-30793,202,-248,572,259
11669,26231,-30793,202,-248,572,259
-6413,-26998,-32332,48,29,572,261
-6413,-26998,-32332,48,29,572,261
-18112,10492,17396,-84,244,572,263
-18112,10492,17396,-84,244,572,263
-24270,-26242,6580,-98,85,572,265
-24270,-26242,6580,-98,85,572,265
-25692,20367,833,-124,168,572,265
-25692,20367,833,-124,168,572,265
29076,2755,-10826,-209,171,234,261
29076,2755,-10826,-209,171,234,261
-28830,1539,-10326,-10,-2,-137,267
-28830,1539,-10326,-10,-2,-137,267
-20554,7933,-5530,169,66,-412,266
-20554,7933,-5530,169,66,-412,266
-14935,18298,196,211,110,-572,269
-14935,18298,196,211,110,-572,269
-11394,30517,6864,206,237,-572,272
-11394,30517,6864,206,237,-572,272
-22172,-8473,10424,192,255,-572,267
-22172,-8473,10424,192,255,-572,267
-24202,17494,2108,339,-268,-572,264
-24202,17494,2108,339,-268,-572,264
12738,16072,7031,520,-572,-572,267
12738,16072,7031,520,-572,-572,267
21848,-11906,9669,10,-124,-560,271
21848,-11906,9669,10,-124,-560,271
7697,31625,1745,-20,189,-268,275
7697,31625,1745,-20,189,-268,275
2196,22397,-490,194,-88,-142,290
2196,22397,-490,194,-88,-142,290
19220,13424,2539,385,-370,-96,394
19220,13424,2539,385,-370,-96,394
-16475,15866,8315,424,-456,-47,538
-16475,15866,8315,424,-456,-47,538
-28037,13660,1608,26,233,96,559
-28037,13660,1608,26,233,96,559
25712,21162,-1333,-108,343,273,564
25712,21162,-1333,-108,343,273,564
19504,-29969,-2471,-148,159,510,564
19504,-29969,-2471,-148,159,510,564
17396,-5728,-4952,-120,183,572,562
17396,-5728,-4952,-120,183,572,562
13621,5383,-6472,-7,145,572,557
13621,5383,-6472,-7,145,572,557
6060,11022,-4707,10,128,572,553
6060,11022,-4707,10,128,572,553
3236,-6424,-3412,36,104,572,549
3236,-6424,-3412,36,104,572,549
2078,-23654,-3461,100,68,572,540
2078,-23654,-3461,100,68,572,540
