ax,ay,az,gx,gy,gz,flex
-294,24584,-24633,285,572,177,520
-294,24584,-24633,285,572,177,520
-22868,21201,519,40,572,225,522
-22868,21201,519,40,572,225,522
-20936,16249,12228,5,36,20,524
-20936,16249,12228,5,36,20,524
-12846,22691,7305,-86,-572,-211,524
-12846,22691,7305,-86,-572,-211,524
-4010,24466,-16876,-351,-572,-174,523
-4010,24466,-16876,-351,-572,-174,523
4912,23623,30351,-425,-572,49,521
4912,23623,30351,-425,-572,49,521
28232,12709,-19514,-176,-572,-64,520
28232,12709,-19514,-176,-572,-64,520
32066,16141,-13366,219,572,-179,523
32066,16141,-13366,219,572,-179,523
21201,19102,31920,349,572,-168,526
21201,19102,31920,349,572,-168,526
-3079,26359,32528,320,572,61,527
-3079,26359,32528,320,572,61,527
29027,16680,6884,-63,572,122,529
29027,16680,6884,-63,572,122,529
16054,21211,10757,-11,-572,-263,528
16054,21211,10757,-11,-572,-263,528
3187,29585,25546,-571,-572,-109,525
3187,29585,25546,-571,-572,-109,525
18808,11414,22594,-281,-572,80,520
18808,11414,22594,-281,-572,80,520
-17691,14758,-11247,168,-164,-169,524
-17691,14758,-11247,168,-164,-169,524
25241,21652,21653,225,572,-101,528
25241,21652,21653,225,572,-101,528
-9874,26810,20427,253,572,166,532
-9874,26810,20427,253,572,166,532
28155,21868,411,17,572,274,533
28155,21868,411,17,572,274,533
28969,14444,12963,137,-572,10,531
28969,14444,12963,137,-572,10,531
-5364,26683,-14023,-251,-572,-182,525
-5364,26683,-14023,-251,-572,-182,525
3510,20544,-31409,-453,-572,47,521
3510,20544,-31409,-453,-572,47,521
26722,16239,-21544,-355,-572,86,515
26722,16239,-21544,-355,-572,86,515
24917,16504,-7109,31,306,-131,514
24917,16504,-7109,31,306,-131,514
19563,17965,-17926,219,572,-109,518
19563,17965,-17926,219,572,-109,518
15435,21456,-31566,410,572,-145,524
15435,21456,-31566,410,572,-145,524
-16455,25172,-16141,305,572,-20,527
-16455,25172,-16141,305,572,-20,527
-31439,16043,12689,-32,442,7,527
-31439,16043,12689,-32,442,7,527
-14787,21083,4177,-256,-572,14,526
-14787,21083,4177,-256,-572,14,526
-4903,23437,-19298,-468,-572,94,522
-4903,23437,-19298,-468,-572,94,522
6070,19691,-31762,-511,-572,190,522
6070,19691,-31762,-511,-572,190,522
30438,12336,-16690,-300,-572,-28,521
30438,12336,-16690,-300,-572,-28,521
30605,15523,-13111,230,572,-100,517
30605,15523,-13111,230,572,-100,517
18386,18524,-28614,437,572,-94,528
18386,18524,-28614,437,572,-94,528
-1010,26839,-30282,393,572,20,530
-1010,26839,-30282,393,572,20,530
-28889,22485,225,53,572,95,532
-28889,22485,225,53,572,95,532
-29154,13111,12954,-50,-278,-6,533
-29154,13111,12954,-50,-278,-6,533
-11287,23947,-2804,-148,-572,-137,529
-11287,23947,-2804,-148,-572,-137,529
2177,22250,-23760,-454,-572,-10,526
2177,22250,-23760,-454,-572,-10,526
11777,18877,-29320,-395,-572,123,524
11777,18877,-29320,-395,-572,123,524
-29665,13120,-10080,-129,-572,-72,522
-29665,13120,-10080,-129,-572,-72,522
28144,17876,-16700,199,572,-59,524
28144,17876,-16700,199,572,-59,524
