ax,ay,az,gx,gy,gz,flex
11071,784,-14356,-572,440,208,247
10610,-4726,-21583,-572,439,182,248
6727,-9865,-24966,-537,342,148,248
7972,-10139,-22946,-539,218,154,249
5785,-14003,-26977,-572,196,204,250
-4863,-12758,-31301,-564,62,273,251
-13601,-9129,-32606,-572,-206,291,252
-12610,-6354,-32174,-572,-169,421,253
-26300,-11846,25870,-572,-59,464,255
-28958,-9217,27762,-351,-81,414,256
-28958,-9217,27762,-351,-81,414,256
-28350,-7148,-30762,-335,-38,450,257
-30017,-15180,-30762,-357,-40,450,259
-29036,-17641,-32674,-336,-39,357,260
-29046,-14346,28292,-338,-100,166,261
-30419,-6599,22898,-409,-260,-26,263
-27810,5187,15416,-572,-556,-261,265
-16249,8384,6394,-572,-572,-446,266
-9335,14091,4963,-572,-521,-551,267
-5187,25182,6022,-396,-245,-572,271
-529,-28743,13406,88,-62,-572,281
1157,-15652,26909,572,26,-572,300
-7962,6324,23928,572,102,-572,363
-10737,-20388,25654,572,-191,-572,489
8335,-24909,25174,572,-483,-572,551
10983,-13112,7227,572,82,-572,569
-12013,10904,-1294,572,468,-572,558
27967,-4747,26135,572,572,-572,561
-13915,78,-31635,572,572,8,578
-29428,15582,-10277,572,572,572,579
-25163,8609,5432,572,-348,572,562
-5844,156,12385,572,-404,127,571
2647,-8503,11502,572,-49,23,575
-1157,-13259,12895,525,213,98,559
-7511,-20280,9992,275,123,184,572
-7531,-22761,5668,43,-60,240,555
-4040,-24801,3844,-69,-193,292,564
794,-29126,3795,-68,-344,232,557
5717,-28763,3991,-74,-384,79,562
9149,-31744,8129,25,-292,-63,560
8335,30301,9031,98,-192,-138,559
4530,27928,8629,63,-198,-139,559
2402,26094,7393,-80,-314,-88,557
1863,24692,5324,-236,-462,-52,546
2922,23446,3569,-346,-554,-44,509
4138,23741,2324,-392,-572,-62,530
4599,23849,1157,-402,-572,-87,515
4805,24878,254,-410,-572,-126,524
6315,25722,19,-415,-572,-174,516
9080,25584,372,-396,-551,-226,520
11296,23348,911,-323,-420,-256,520
11993,20505,1843,-193,-279,-256,533
12944,19151,3687,-28,-144,-234,531
12797,19220,4795,99,-19,-191,534
11698,19906,5462,155,85,-140,533
9924,20612,5648,155,151,-88,531
8001,20661,5991,124,145,-46,529
7001,20201,6246,78,91,-13,538
6795,19544,5991,31,29,25,539
6540,19279,5697,-7,-27,68,538
6276,19789,5648,-26,-76,107,538
6217,20642,5658,-27,-104,133,537
6580,21613,6040,-17,-97,148,537
6884,21809,6148,-7,-61,150,536
6884,21152,6021,5,-19,149,536
6668,20377,5913,14,20,157,536
6040,19759,5893,19,51,174,535
5589,19553,5952,19,74,194,535
4638,19691,5972,9,89,206,535
3775,19651,5844,-5,96,202,535
3481,19740,5795,-15,98,190,534
3343,19740,5923,-23,101,168,534
3716,19544,5991,-33,95,136,534
3559,19200,5619,-47,92,100,534
3432,18504,5207,-47,62,71,535
3804,18073,4991,-36,28,54,536
4373,18269,5462,-38,10,37,537
3314,18279,5158,-38,-34,13,540
3971,18622,5118,-33,-83,0,543
4501,19073,5736,-30,-124,-27,546
