ax,ay,az,gx,gy,gz,flex
-12875,17612,18484,-551,73,120,318
-13209,16808,15817,-572,19,16,320
-14219,17318,13581,-572,-20,-62,323
-13366,18583,9139,-572,-23,-166,325
-11953,19259,1490,-572,13,-332,327
-9678,21750,-4736,-572,48,-486,330
-10502,27575,-9306,-572,83,-510,333
-19936,-32205,-16415,-572,0,-570,334
-5305,32655,-16641,-572,210,-572,337
-10610,31723,-23986,-572,572,-572,339
-10610,31723,-23986,-572,572,-572,339
-28340,-22006,-30840,-154,422,-572,339
-27938,7109,-26839,71,-187,-572,339
20152,-29714,-12483,148,261,-572,354
-24673,3932,-4157,396,572,-572,368
12169,23074,-8600,439,572,-290,359
19583,17916,-27457,572,572,426,346
6177,18671,4520,572,124,572,349
3942,-13053,-22918,572,532,572,359
-24899,-10052,-6610,572,572,572,364
6374,-20094,-16564,232,572,572,366
-23044,27359,-30498,-236,572,572,363
11562,6501,24172,-544,572,572,353
18289,-21486,17239,-572,305,572,349
-28909,31448,12856,-536,39,484,347
-24702,22407,9296,-538,201,321,346
-25437,17190,7109,-572,367,78,346
-22878,13974,3118,-572,427,-135,346
-20083,11846,-2235,-572,429,-299,346
-20534,14876,-5246,-572,482,-510,347
-16749,18210,-6070,-540,539,-572,350
-16582,26300,-4040,-375,572,-572,352
-20995,-30763,-2275,-230,572,-572,353
-16700,-23193,-715,-20,550,-572,354
-12905,-16397,-2628,119,572,-572,355
-23270,5226,-10639,292,361,-572,356
9806,30634,-676,502,137,-572,363
-26654,-7718,24211,572,572,-572,372
-14328,31948,5785,-88,572,-572,367
-18133,-1540,-30311,-67,572,119,350
23368,14562,-26182,537,399,425,357
-746,-19368,-1892,572,572,572,365
-23879,2255,20877,572,572,572,369
7070,29114,31596,572,339,572,374
-862,-21555,-25576,521,62,572,380
-2628,29742,-20761,317,-28,572,383
-9963,2588,-25880,190,-160,572,387
-6805,-23242,-31303,461,-529,572,400
-4314,27222,27683,572,-572,572,448
657,8394,16239,572,-572,572,498
843,-4825,16984,572,-307,572,532
-911,-17240,19073,572,-157,572,550
-5256,-31783,13660,461,-12,572,556
-6021,25163,11836,375,110,572,552
-10865,19769,12022,239,198,572,547
-14023,13895,10414,125,138,557,548
-13709,8070,8315,70,-5,450,556
-12973,-362,7874,103,-75,366,552
-11610,-2873,9453,140,-14,302,552
-12257,-5011,10806,99,107,226,553
-14160,-10120,9316,56,173,137,552
-15111,-12865,9237,62,155,36,554
-13522,-12993,8796,53,97,-88,553
-9914,-13621,7805,23,53,-205,552
-5413,-13199,7148,-2,36,-266,552
-2922,-12257,6168,-19,47,-297,551
-402,-11081,5216,-20,68,-331,550
2353,-9570,4962,-9,91,-388,550
2206,-6079,5020,-7,83,-436,550
2706,-6442,3432,-25,24,-456,549
6589,-4726,3491,-24,3,-495,548
9267,1166,3922,-4,59,-564,547
8051,3177,1353,-15,40,-572,546
11698,1049,1706,-16,-40,-572,546
17504,5060,5854,59,10,-572,544
20073,14483,5658,76,106,-572,539
17180,17671,2951,0,52,-572,530
20318,15141,4020,-34,-50,-572,539
22701,19063,6540,-11,20,-572,538
19465,25555,4471,-9,77,-572,538
