ax,ay,az,gx,gy,gz,flex
32615,32125,17975,79,-572,258,518
-29851,-28694,10257,112,-572,445,504
-30881,-23291,2716,172,-572,572,534
30399,-20731,-4501,197,-572,572,537
26212,-20898,-11002,249,-572,572,542
23201,-20604,-15268,353,-440,572,532
15405,-19966,-22378,489,-307,572,534
10365,-22565,-23535,572,-297,572,545
11444,-25831,-20338,572,-163,572,545
5746,-28812,-20622,572,26,572,538
5746,-28812,-20622,572,26,572,538
-2794,-32087,-20210,572,80,572,537
-6805,30566,-17210,572,104,572,533
-13483,28585,-14493,572,171,394,534
-21603,27153,-21142,572,262,133,536
-29428,22172,-3893,572,263,-66,507
-29497,24908,2588,572,58,-290,537
1706,30674,12277,572,-72,-504,577
20318,2480,-3855,-572,572,-8,479
-22485,5069,24437,-292,-331,-141,482
6540,-1235,25084,-359,-394,236,558
16553,-421,19671,-572,-273,456,546
14611,-2373,12797,-572,-110,414,559
9874,-9580,4432,-572,78,302,543
196,-16847,-8051,-572,99,188,559
-1902,-26045,-14886,-164,28,93,560
-2108,-27114,-23819,301,7,-95,562
-6923,-21662,-28850,572,6,-420,547
-4226,-7148,-8119,572,-228,-572,549
12571,20897,26918,572,-220,-572,552
-962,16327,-9827,-572,178,341,531
30292,25074,14533,-332,206,31,543
3392,-4952,19161,-27,-157,73,560
10786,-10031,20691,-27,-173,118,543
11208,-7433,17592,-144,-82,63,524
14925,-6276,14817,-177,-54,0,540
14023,-4530,14611,-126,24,-2,557
11571,-3177,15974,-36,1,1,548
13199,-1304,17602,5,-33,22,556
13836,88,18239,8,-16,36,553
11963,186,19181,-19,18,41,552
10679,-568,19249,-48,19,52,554
10492,-1490,19661,-53,13,64,555
9678,-1500,19544,-62,1,70,555
10433,-833,19651,-56,-14,55,555
10875,-882,19749,-58,-12,41,555
10688,-774,20524,-70,-8,37,554
9992,-735,21475,-90,-20,44,554
9139,-970,22025,-124,-32,44,553
8051,-970,22878,-186,-38,34,552
5913,-1274,23103,-269,-49,20,552
5697,-1421,22299,-348,-68,-2,551
6295,-1941,19975,-404,-58,-28,551
5167,-3138,17926,-439,-35,-64,551
2127,-4824,16141,-468,-60,-102,551
2549,-4991,14072,-509,-125,-140,551
3363,-4314,11238,-568,-113,-197,551
2167,-4314,8247,-572,-93,-251,551
1255,-3844,5599,-572,-113,-307,550
2598,-1529,3236,-572,-101,-380,550
2657,313,578,-572,-83,-449,550
3853,2775,-1245,-572,-92,-513,549
9227,5697,-1157,-557,-31,-572,549
8168,8560,-4461,-458,-9,-572,549
8560,11679,-6589,-389,-77,-572,550
15650,13336,-1657,-271,-95,-572,548
17102,19387,-3510,-201,49,-572,547
13571,22074,-5246,-108,17,-572,549
15180,24819,-3775,-74,-90,-572,549
20514,28379,333,-49,-14,-572,547
17386,31860,-284,-35,101,-572,548
12914,31046,725,-20,54,-572,549
13611,31556,4510,-9,-8,-572,548
13209,-29577,7060,-10,0,-572,548
13640,-26252,7129,-55,12,-572,548
14778,-27213,4922,-139,20,-552,548
15749,-30420,2255,-213,17,-425,548
14817,31527,323,-205,-32,-295,548
14209,28448,1333,-118,-93,-180,549
11620,26751,4050,2,-147,-101,549
