ax,ay,az,gx,gy,gz,flex
-15582,9345,4952,101,58,255,330
-9237,6334,6648,79,87,163,332
-2392,1912,5089,-4,171,125,334
3451,-735,3187,-36,207,107,336
7747,-980,4167,-2,81,56,338
13003,-1098,4618,-33,3,7,339
15297,-1166,2265,-53,-10,-35,340
18759,-1176,1519,-46,10,-69,342
22505,294,1863,-47,37,-53,344
21936,303,1225,-55,27,-15,344
21936,303,1225,-55,27,-15,344
21907,264,1294,-47,3,-15,345
22240,98,735,-42,5,-18,346
23133,-245,-245,-12,18,-24,347
23113,451,1117,5,35,-6,347
21799,127,1166,-3,30,10,348
21593,0,1029,-4,11,9,348
21466,-402,764,-2,22,14,349
20544,-166,882,5,27,16,349
20357,-29,951,4,15,16,350
20603,-627,1755,6,11,17,350
20338,-833,2216,0,31,21,351
19347,-862,1882,-10,28,20,351
19740,-1019,2373,-6,-4,7,351
20240,-1255,2530,-9,8,11,352
20161,-1186,2235,-14,23,6,352
20279,-1059,2471,-5,25,3,352
20073,-725,2657,-10,5,0,352
21044,-941,2373,-11,0,-2,353
20877,-529,2569,-17,8,1,353
21220,-764,1951,-23,-4,1,353
21534,-500,1882,-20,0,6,353
21250,-657,1569,-15,8,6,354
21113,-657,2078,-6,14,9,354
20367,-686,2579,-11,10,11,354
20495,-853,2343,-15,-4,8,354
21319,-1029,2461,-15,3,10,354
20485,-774,2500,-13,12,12,355
20456,-862,2481,-17,1,11,355
20485,-1010,2530,-15,8,10,355
20191,-941,2735,-20,8,12,355
19955,-1392,2539,-27,4,17,355
19995,-1431,2059,-16,4,8,355
20299,-1196,2343,-8,9,4,355
20632,-1441,2628,-6,10,8,355
20044,-1333,2775,-10,5,7,356
20259,-1647,2265,-10,3,-1,356
20230,-1147,2294,-7,10,-5,356
20563,-1382,2392,-10,11,1,356
20407,-1343,2392,-12,14,3,356
20367,-1304,2284,-9,4,1,356
20612,-1519,2431,-7,5,2,357
20622,-1470,2735,-4,12,3,357
20397,-1392,2902,-7,13,3,357
20436,-1245,2598,-8,6,1,357
20642,-1451,2637,-7,2,2,358
20573,-1343,2961,-9,2,3,357
20671,-1284,2608,-10,10,2,357
20612,-1304,2863,-5,14,3,357
20681,-1265,3049,-6,11,4,357
20809,-1245,2932,-5,5,3,357
20926,-1421,3471,-4,2,9,357
20191,-1549,3471,-9,5,8,357
20318,-1333,3196,-11,2,3,358
20544,-1392,3167,-12,0,4,358
20230,-1441,3010,-12,7,3,358
20534,-1421,2853,-10,5,0,358
21083,-1363,3039,-10,-1,4,358
20514,-1480,3098,-10,5,9,358
19789,-1470,2990,-12,4,3,358
20348,-1382,2902,-8,1,-2,358
20514,-1265,3079,-10,1,1,358
20338,-1451,3020,-15,2,4,358
20308,-1549,2765,-11,1,0,358
20357,-1470,3039,-8,6,0,358
20014,-1402,3000,-11,9,0,358
20622,-1490,2873,-8,6,-1,358
20357,-1529,3039,-5,6,0,358
20534,-1627,3098,-4,13,0,358
20426,-1519,3392,-4,11,-1,359
