ax,ay,az,gx,gy,gz,flex
26859,-27762,-2608,38,-71,498,393
27026,-22036,-5913,25,-213,572,365
27193,-17956,-8698,19,-287,572,347
29075,-17201,-13719,149,-319,572,317
27497,-14720,-16180,404,-113,572,297
19396,-10827,-16729,564,-74,572,295
16631,-11602,-16827,572,-179,572,297
15474,-15701,-13081,572,-204,572,297
6354,-18986,-11895,572,-128,572,296
1225,-20447,-9904,572,-172,572,293
1225,-20447,-9904,572,-172,572,293
-5962,-23634,-7040,572,-196,572,289
-5050,-32401,-862,572,-81,572,288
-30527,26310,-1549,572,-167,412,284
-20387,27526,8786,572,-572,-20,284
-3756,-23526,31634,572,572,386,293
-18867,-25182,15719,-501,-572,-21,285
15160,-15366,29508,-197,-452,-163,285
29958,-22956,58,144,539,26,291
16464,-17749,6727,-92,104,-101,293
17720,-16396,-4197,40,54,28,294
6276,-12248,7992,28,15,26,294
14425,-11551,5923,1,27,8,295
16464,-12150,6040,-3,22,-4,296
18161,-12326,2137,-21,19,5,297
12777,-14533,4010,-4,29,12,298
12561,-13719,4118,-15,17,0,299
15680,-11836,2618,-5,-7,3,299
16347,-12522,5187,-10,-10,15,300
14523,-12071,4324,-27,6,15,300
13346,-13552,2755,-29,-4,0,300
15454,-13738,4069,-27,2,-1,301
15327,-12748,2765,-20,-2,7,301
14513,-14189,2706,-16,-7,4,302
15062,-13787,4638,-10,4,2,302
14984,-12199,2932,-17,-9,0,302
15121,-13091,3363,-16,-9,4,303
15248,-14474,4020,-19,-1,8,303
14621,-13013,2892,-20,-10,-4,303
14483,-13797,3059,-17,-2,-8,304
15346,-12954,4275,-9,3,-10,304
15258,-13307,3128,-14,0,-7,305
14719,-12993,3804,-20,-4,-4,305
13611,-12395,5520,-42,-12,0,305
13925,-12689,5991,-79,-8,-4,306
15082,-11130,8639,-107,24,9,307
11287,-11826,9737,-141,19,-40,307
17857,-13120,15062,-151,13,-145,308
21220,-7756,26624,-154,278,-169,310
14179,-245,30331,-332,311,-98,312
10100,3245,23515,-568,241,-110,313
4687,7237,13013,-572,238,-155,313
1353,11198,6158,-572,276,-232,314
-902,13248,2127,-572,366,-358,314
274,19583,2235,-572,411,-529,316
2981,22417,2069,-572,368,-572,317
3196,23192,2696,-565,314,-572,317
804,27006,2412,-525,311,-572,318
3304,-30587,676,-493,304,-572,318
2549,-26801,-2167,-355,194,-572,320
4059,-17191,2490,-250,-21,-572,327
20750,9335,4520,-383,-124,-572,346
29507,-9729,-774,-370,152,-572,361
18033,-6100,4736,-149,364,-572,387
13326,-2737,7501,-15,216,-572,418
25780,-8012,4658,-46,56,-572,459
29732,-22761,-2863,-80,103,-464,485
23731,31762,-2481,-7,104,-144,484
15445,25290,1618,141,51,24,517
9590,23123,5011,272,-18,79,509
6629,21858,7933,311,-63,61,524
4873,20642,9541,243,-115,6,523
4805,19377,10973,158,-126,-37,521
4824,19985,11444,37,-110,-34,519
5266,20093,9669,-104,-74,7,526
3873,19642,8051,-176,-26,59,523
2922,19975,7658,-181,-17,91,523
2755,19799,8041,-149,-15,91,524
2755,19171,8511,-90,2,67,523
2579,19073,8963,-37,32,46,523
