ax,ay,az,gx,gy,gz,flex
13375,17504,6128,-58,-12,-20,554
25486,21740,14150,-84,30,57,549
27938,24398,17945,-107,46,154,545
29615,25398,22348,-150,19,247,537
31213,25408,26947,-169,55,299,530
-30685,27575,29987,-160,199,412,513
-31548,-31734,31164,-260,288,527,346
-31342,-27811,24162,-334,188,550,516
-32362,-29126,19877,-340,99,572,477
30615,-30489,14621,-403,-12,572,452
30615,-30489,14621,-403,-12,572,452
27006,30350,7344,-494,-128,572,416
19583,24074,-421,-523,-178,572,377
11483,20063,-5011,-513,-174,572,359
3755,16484,-7639,-458,-149,572,348
39,12640,-7727,-374,-104,572,333
-3540,11365,-6060,-290,-38,572,327
-14503,11875,-4785,-233,99,572,321
-30605,12267,-4854,-248,23,572,329
22241,10796,-6452,-280,-202,369,321
17799,12816,-8953,-390,-433,68,321
16583,4736,-6599,-329,-197,-201,326
-4795,22789,-7354,-166,-1,-572,331
-11218,-24409,-9404,-109,-211,-572,335
20869,-2511,8982,-73,-101,-572,344
-27487,16827,18484,-133,152,-572,354
-21114,-30018,23005,-376,-514,-572,365
8903,18239,-11904,-354,-291,-572,376
29987,-11729,-3824,-572,-189,-572,356
-26262,28006,6424,86,6,-134,351
29938,16798,-25604,322,61,76,353
17994,14238,-14964,461,282,332,360
-1834,23790,-3304,481,383,572,365
-21320,26741,1470,383,336,572,368
27232,27742,5403,283,314,572,370
9767,25319,6227,134,304,572,370
-2000,22584,4530,4,251,572,370
-12493,18808,529,-98,187,572,370
-26143,12963,-4118,-146,37,572,368
-31900,5854,-4608,-155,-62,515,364
22026,5864,186,-149,-24,326,359
7689,10453,1235,-334,38,-52,359
12769,8904,-7423,-462,8,-414,363
18711,17572,-5413,-31,143,-572,366
29920,-28302,8727,243,263,-572,371
-2932,-4835,22338,23,-117,-572,374
-1138,5020,21475,-266,-443,-572,374
17533,26163,2892,-82,137,-572,379
6364,-22987,-17935,-470,157,-214,359
-16740,23456,-17082,106,-98,255,355
26820,24231,-6893,202,-190,482,354
18533,28193,-4373,275,64,572,358
-6541,-27792,-5520,245,223,572,360
-26291,-22065,-5707,212,257,572,362
21681,-18839,-4648,126,280,572,362
5874,-17701,-4501,0,292,572,363
2098,-19760,-3471,-150,306,572,365
-10041,-20839,-3304,-280,359,572,367
-21799,-27811,-5148,-391,311,572,369
30577,28879,-10796,-445,162,572,368
17819,17582,-18916,-467,-79,572,365
16877,10728,-22230,-460,-314,555,366
2913,-3491,-27712,-569,-415,572,368
-9737,-5844,-27869,-472,-521,325,372
-21407,-627,29939,-549,-507,-226,385
-13365,4854,14563,-572,-572,-572,399
11582,6531,14543,-256,-572,-572,424
5492,26830,-32155,209,-37,-572,454
-6109,4765,-25143,572,-86,-572,524
27821,-1246,28537,572,-572,-572,548
31919,-9876,-696,393,-572,-572,549
1117,-30773,9787,-572,403,-572,573
-23428,16690,5453,-572,572,-572,494
-23515,17612,23467,511,-255,-437,537
30076,-14102,21044,572,-235,-572,519
7295,32704,13160,572,57,-572,536
22956,-20045,22652,496,262,-572,550
16337,-29822,20828,256,286,-544,552
12679,31537,14542,116,-40,-429,557
18573,-27713,11287,69,-149,-415,556
