ax,ay,az,gx,gy,gz,flex
-29861,16778,8492,-80,-76,110,545
-27096,18700,8717,-139,-135,203,526
-23065,20240,7266,-161,-225,243,533
-13612,23015,4226,-115,-124,367,528
-14877,27202,2010,-44,45,527,513
-18652,30684,-19,24,150,572,489
-28498,28860,529,77,136,572,436
29144,28183,3010,16,169,572,384
15190,21524,5305,-130,141,572,357
2824,19906,4648,-217,148,572,317
2824,19906,4648,-217,148,572,317
-6109,18975,3746,-321,70,572,307
-13120,18190,921,-385,-44,572,308
-29124,15866,-2422,-299,-111,572,301
13220,18200,-2294,-334,-327,436,299
6845,17847,4216,-490,-241,269,299
-7629,16141,-1333,-356,214,-46,295
-31752,-19162,9080,70,310,-572,301
-3765,18327,26310,-135,-86,-572,308
-8757,25859,32763,-317,191,-572,304
-11582,12532,14229,-572,-422,-572,323
-17035,-32489,-22946,-572,-572,-572,326
-27871,-11180,-2559,54,572,-178,314
-28165,31586,15573,572,212,396,317
18631,12767,-15641,572,142,572,320
-5659,26339,2235,572,351,572,323
28987,-29175,15896,515,418,572,325
-1353,-26566,16043,228,279,572,327
-11895,31694,10267,45,-125,572,327
-6001,29262,7217,-49,-210,572,330
-21417,-30832,4952,-118,27,572,331
13514,29879,4050,-228,133,572,330
-10796,29242,11649,-305,147,556,324
25713,-25880,21083,-422,469,-247,325
18643,3147,21299,-149,570,-572,330
10366,-25340,-30057,-143,50,-572,339
19210,14179,-22379,-419,247,-572,347
5344,-26802,-4628,-572,-572,-572,345
17170,17190,-17592,-480,418,-560,333
-7159,-27233,-8747,213,572,134,324
-13014,7217,-26839,530,50,491,326
27065,19691,-6364,572,211,572,331
11590,-31616,5138,572,224,572,336
-11445,-14691,9041,474,272,572,339
-29341,-10454,6638,269,29,572,340
22113,-9121,5050,140,-66,572,342
12218,-8924,6050,58,-83,572,343
4962,-7248,7246,-120,69,572,346
-9894,-12710,3765,-281,154,572,348
-26016,-21506,-833,-414,115,572,349
21055,-31587,-8315,-521,-76,572,349
6208,30723,-16817,-572,-375,572,350
-5010,15935,-25055,-572,-572,572,351
-11463,2637,-28291,-572,-314,430,358
-25025,10522,32107,-422,87,-181,378
-26506,32400,-27585,-192,-123,-572,424
4002,-14132,-14935,153,40,-572,493
30126,27134,10129,572,-233,-572,503
-22633,15376,18936,415,-413,-572,566
-8424,-16417,-29881,54,-572,-572,538
9874,-14632,-14621,-384,572,-572,553
17357,6413,-18622,153,572,-572,534
24506,22348,-5275,112,-330,-157,555
15582,22574,-2667,318,212,35,545
-3540,30017,4354,572,50,-294,556
480,29723,11748,572,43,-543,567
5285,32145,17759,572,20,-572,567
8070,-27743,18053,510,5,-572,566
8217,-25821,12199,297,-117,-572,563
14503,-24664,8894,65,-215,-572,559
24378,-19819,9129,-26,-21,-572,557
13768,-21830,7021,37,59,-572,557
4981,-21771,2843,-27,-207,-542,557
9492,-19447,-774,-212,-522,-469,554
19181,-18211,-1461,-306,-503,-466,551
18769,-21280,-1117,-255,-328,-503,551
13366,-24418,196,-123,-303,-501,552
10178,-25713,911,-25,-473,-482,552
12473,-28645,186,20,-572,-490,551
16111,-32548,-196,10,-572,-469,549
