ax,ay,az,gx,gy,gz,flex
-27704,-27998,-8747,209,-257,471,490
-27860,-24252,-11963,265,-330,549,448
-27537,-20437,-17200,379,-306,572,405
-26184,-14141,-20573,568,-189,572,373
31331,-10003,-23466,572,-61,572,359
21966,-13337,-24457,572,-134,572,354
20848,-15789,-18651,572,-144,572,352
12532,-17319,-16249,572,-81,572,348
6844,-21025,-13552,572,-158,572,345
4324,-24252,-8855,572,-157,572,343
4324,-24252,-8855,572,-157,572,343
-1098,-27203,-8619,572,-222,572,341
-3402,-30842,-5275,572,-308,572,341
-6060,-31950,-911,572,-318,513,341
-8776,30664,1745,572,-307,432,339
-9070,28359,7580,572,-326,301,338
-5030,23329,19985,572,-281,197,336
13287,13738,-334,572,-57,151,339
-1657,28350,-3364,470,572,9,346
-26418,18328,16768,-572,176,56,346
-8864,10228,-19809,-572,-572,228,348
4981,18171,-26713,-572,-366,307,350
-1892,24045,-24742,-572,112,228,353
-10110,-31469,-28115,-572,142,173,354
-10934,-28508,26310,-572,-55,84,355
196,-24605,14101,-572,-94,-77,359
13983,-4433,7207,-572,95,-40,364
-598,18935,-18386,-572,280,77,369
19691,-28018,9611,-572,-292,-167,378
-26341,1215,6228,-572,-102,350,355
32548,20505,-10286,-401,572,264,336
-6746,13768,11278,-158,-306,-116,345
18337,7786,15946,-78,556,-98,350
529,8462,29714,25,154,-11,350
10041,8256,-30772,-65,-138,10,351
9031,6217,-29448,-45,-29,38,352
3863,3844,-30546,-13,-26,37,352
5589,3559,-28948,51,25,7,352
4677,4452,-22554,91,61,0,352
4363,4893,-19730,102,-17,-2,352
5913,4599,-15376,76,12,17,352
4010,4648,-15131,42,-4,31,353
2588,5138,-17308,26,-34,26,353
3118,5167,-17474,38,-34,19,353
3834,5795,-16209,21,19,23,353
2804,4314,-15131,22,18,22,353
1745,4285,-15454,-3,-4,15,353
2588,3608,-17955,-1,-30,10,353
4285,3628,-16180,9,-16,8,354
2471,3667,-17200,-9,13,4,354
3030,3392,-18867,-4,6,-5,354
3167,3432,-17592,6,0,-10,354
3363,3510,-16288,-3,4,-18,355
3667,3922,-14336,-25,51,-26,356
5668,4844,-11698,-70,124,-44,360
7246,6217,-9953,-134,275,-57,366
9610,6854,-9002,-166,541,-85,373
12503,6736,-10218,-182,572,-113,385
10453,7148,-14081,-122,572,-124,409
9472,9963,-11630,-35,572,-174,457
6697,11100,-7541,28,572,-237,513
4354,9855,-5638,72,572,-259,538
343,13326,833,141,572,-310,547
3383,17435,4589,106,572,-334,548
7511,16533,3491,59,572,-317,548
4952,16974,1774,114,572,-294,547
3569,19406,5805,268,572,-331,546
6325,22554,12257,338,417,-345,546
2628,24408,10904,250,257,-333,544
1647,27438,10335,175,-25,-356,543
2020,26075,9423,120,-204,-360,543
6884,28614,10649,119,-352,-374,542
9610,31556,10953,90,-313,-394,540
9776,31723,8590,52,-290,-417,541
9816,29526,6531,43,-331,-418,541
12189,27977,6030,75,-377,-386,540
13787,26496,6305,127,-358,-330,540
13336,25545,7246,179,-332,-269,539
12836,24672,7835,177,-269,-202,537
11414,23486,8168,153,-238,-151,537
