ax,ay,az,gx,gy,gz,flex
21230,-31665,-15142,-554,276,572,468
13846,-24870,-10111,-572,321,572,453
2745,-20055,-7218,-572,318,572,437
-5187,-16711,-13269,-572,264,572,420
-8904,-20702,-25066,-572,199,548,408
-8433,-28125,31909,-572,193,417,400
-8041,-31754,25231,-572,275,312,393
-7658,30242,18328,-572,347,213,389
-7550,25996,12885,-572,390,155,387
-7433,24358,8207,-572,532,126,386
-7433,24358,8207,-572,532,126,386
-10384,21779,1490,-572,572,18,383
-10208,18504,-1255,-572,524,-156,382
-4971,21309,911,-390,472,-310,384
-2451,23907,2569,-324,500,-409,388
-823,25437,1902,-309,480,-470,392
2029,27261,382,-326,398,-525,394
8482,24741,-1265,-361,412,-533,393
11228,18543,-4059,-246,572,-401,392
10002,20642,-4883,-47,572,-337,389
10502,23339,-4148,250,572,-508,387
25614,32037,5805,572,572,-572,390
-21751,-27351,22436,572,572,-572,393
-4374,28301,-30087,572,565,-567,395
11826,21779,-15338,572,542,-234,398
7697,8864,-8620,572,438,149,399
5079,-4795,-3551,572,228,439,399
-3502,-13179,7589,572,98,572,400
-18593,-15788,14346,572,5,572,400
32635,-17396,14562,410,-176,572,398
20122,-11983,17631,108,-190,572,395
5972,-2275,12100,-247,-58,572,393
-2275,9188,5952,-453,77,572,395
-2814,20152,-971,-545,193,572,397
-5295,29330,-13965,-572,250,572,399
-10492,26339,-31999,-572,282,532,398
-11698,21407,18994,-572,272,358,397
-9874,18553,11081,-572,390,267,395
-10885,16876,5834,-572,529,172,395
-11846,15288,2677,-567,556,19,395
-9590,13621,1784,-425,517,-130,395
-6609,14395,2392,-290,492,-245,396
-4354,14748,2618,-228,476,-309,396
-2177,13738,1706,-190,486,-325,396
-1049,12954,411,-145,542,-325,396
-1696,13209,-794,-85,572,-352,396
-1059,13503,-1873,-28,572,-408,396
431,11679,-2745,77,572,-519,394
2343,15013,1676,328,572,-572,397
11296,24054,13218,488,489,-572,402
28134,27840,20407,418,542,-572,406
-30979,27938,21485,379,572,-572,408
-28831,28948,22476,476,570,-572,410
-23909,28330,25623,565,572,-572,411
-25281,20514,29468,572,572,-355,412
31115,13856,-27017,572,572,-206,413
26751,14925,-17544,572,514,-214,415
25741,7031,-17211,441,339,-293,415
24045,5001,-20025,388,112,-355,416
27085,6982,-25301,262,-110,-387,419
30811,4981,-32146,142,-143,-271,426
27506,3402,27457,89,-83,-116,444
23064,4167,23947,68,1,9,476
16788,6933,21456,50,3,53,505
14405,9335,19249,10,-69,41,521
15386,10649,17004,-41,-16,86,529
11757,12522,14483,-83,87,136,536
7815,12071,14797,-164,90,139,539
5216,9276,10904,-145,-14,85,541
5452,9492,9404,-16,-105,4,542
5011,11394,9472,89,-160,-76,543
5697,12679,9678,142,-194,-141,543
5687,13434,8923,156,-196,-176,544
6030,14611,8198,164,-171,-202,544
6903,15837,8227,155,-96,-215,545
7707,15121,9021,129,27,-189,545
6776,14150,9973,127,146,-136,545
8374,15405,10855,112,266,-72,545
8374,17082,11032,25,488,21,545
3608,16288,9708,-22,572,60,545
