ax,ay,az,gx,gy,gz,flex
13150,19367,13552,-572,90,5,325
17563,11473,7335,-572,-12,-78,318
22093,5972,2549,-499,88,-180,313
25594,-1647,-1441,-371,219,-238,308
29320,-9825,-3089,-296,527,-222,301
21662,-17416,-7040,-232,572,-223,300
8786,-20867,-8011,-104,572,-286,296
6501,-22093,-9002,-52,465,-375,295
13356,-24211,-12071,-70,337,-330,295
9168,-28762,-11904,-99,237,-120,294
9168,-28762,-11904,-99,237,-120,294
-441,32607,-4658,-92,16,102,294
-9541,31861,4324,-99,-128,249,295
-3716,32332,13003,-102,-219,331,297
10247,-31429,19063,-141,-252,471,299
16494,-27928,21122,-189,-240,572,302
16513,-22858,22760,-284,-234,572,304
13836,-21946,18602,-348,-256,572,305
13954,-24437,14081,-311,-284,572,307
14856,-24564,9070,-294,-283,572,309
16121,32656,6393,-319,-274,572,310
10581,26664,7080,-199,-230,565,311
6128,29753,13493,-30,-157,342,311
-3579,-22966,18308,-12,-19,71,312
-17161,-7315,15474,28,51,-170,312
-22789,18867,14827,239,0,-432,314
-22927,-20123,21034,333,248,-572,318
-30733,-1844,26212,572,488,-572,321
-26310,-12082,26624,572,125,-572,321
17700,26820,21828,480,-539,-467,322
19720,13120,-26664,364,-28,62,321
26841,-3255,27330,63,-452,141,320
176,-735,27183,-37,-438,-48,322
2863,-2941,22946,-141,365,33,322
-15631,-7393,19102,-142,330,40,322
-10796,-6874,21524,-65,47,8,322
-6001,-4824,22770,-36,46,14,322
-8649,-5364,18200,-44,-24,17,322
-4304,-5560,16729,-21,-115,11,322
-784,-4697,18014,-41,40,8,322
-6276,-5844,16513,-51,107,-1,322
-4481,-5913,16866,-29,15,-13,323
-2490,-5530,17357,-28,36,-2,323
-4599,-6452,16455,-19,3,2,323
-3069,-6011,17818,-8,-30,-1,323
-3039,-6099,17514,-11,-5,-2,323
-3638,-5913,17847,-3,-5,0,323
-2941,-5403,18445,-10,-8,0,323
-4393,-5609,18092,-20,1,5,324
-6481,-5697,17278,5,-87,-8,324
-5707,-5364,17563,16,-168,-32,324
-5216,-4491,16406,18,-232,-35,324
-2981,-4785,15297,29,-285,-32,325
-441,-4157,16847,53,-229,-28,326
-1421,-1912,18357,17,-159,-18,328
-1598,392,17641,-69,-236,15,331
2824,1245,16778,-153,-312,94,339
2559,1294,15415,-195,-238,147,355
872,-480,10316,-211,-181,153,387
1333,1010,8207,-126,-177,219,422
4295,1892,8001,-79,-150,281,451
294,186,9924,-25,-50,230,478
-2284,284,10237,45,-48,134,501
843,166,8972,89,-113,79,520
3098,-3108,8639,178,-139,40,529
1039,-1284,10796,305,-147,-9,535
1215,4108,12159,384,-217,-124,537
5050,1431,13209,394,-285,-202,538
5893,3696,16925,474,-299,-256,540
8639,10786,18955,501,-263,-355,542
10090,10110,22338,431,-205,-436,543
10973,10178,22456,432,-151,-463,544
12787,15317,23996,421,-151,-512,544
13356,18788,23339,351,-162,-554,544
13277,16455,22417,346,-199,-572,544
14719,19740,21995,363,-159,-572,544
11424,22495,20622,324,-134,-572,544
8433,24947,18759,309,-206,-572,544
9953,28379,18475,336,-265,-572,544
10061,31625,18514,337,-223,-572,544
