ax,ay,az,gx,gy,gz,flex
10208,7335,-15886,480,-487,-187,580
8060,-16896,-16611,153,-300,-59,585
9129,24781,-32311,191,-531,-134,587
20985,25311,-19200,355,-572,-121,588
-25870,17348,2990,386,-426,52,590
-31940,-28163,12885,61,-136,351,591
10737,-15915,-3961,-387,121,491,592
-5050,-20357,-24594,-452,-85,271,592
823,-19995,-31645,-259,-166,109,592
3795,-19445,-30733,-90,24,54,592
3795,-19445,-30733,-90,24,54,592
5540,-15562,-23839,26,35,-3,592
5403,-11934,-19426,4,40,7,592
5050,-10904,-18602,9,41,-10,592
4540,-9492,-18190,-2,46,-31,591
4236,-8413,-18435,-22,31,-43,591
4579,-7943,-18298,-24,17,-41,591
5060,-8404,-18357,-33,46,-49,590
6109,-10561,-18494,-45,58,-69,590
6952,-14768,-18524,-42,99,-73,590
10953,-19544,-17661,-34,224,-92,589
12346,-25996,-19916,-102,437,-91,588
14395,-28134,-23770,-114,572,-65,586
16298,-28183,-23339,63,572,4,583
20348,-26526,-21475,69,572,114,581
22485,-25614,-15356,26,572,143,574
31713,-20573,-11453,-70,572,220,557
21446,-12591,-8727,-329,572,370,547
2039,-14935,441,-327,572,230,497
441,-8021,5011,-148,572,-49,400
3118,8698,12846,111,572,-363,372
-5736,21554,17268,83,572,-513,357
-4010,-30332,22691,261,371,-572,349
7021,-26046,24005,337,183,-572,350
22927,26839,11728,79,-171,-572,351
-22271,3844,20240,-111,-204,-340,356
6668,1588,14846,40,-207,210,364
-2951,2186,15876,-42,-229,180,366
-2853,-1431,11100,-18,-398,-64,364
16621,1922,8698,53,-329,-235,367
25869,2647,10777,53,-34,-165,371
19259,2284,12601,28,64,7,372
14072,1882,13179,3,-72,33,369
17837,1186,11620,-21,-157,-7,366
21142,853,10022,-7,-65,-11,365
20681,1716,10885,8,30,10,366
19043,1980,11875,-9,37,11,366
17720,1274,11404,-14,-20,0,362
18906,1157,10826,-5,-54,-4,364
20436,1274,10669,-11,-17,4,368
19563,607,10747,-23,44,17,369
19318,-88,11296,-26,44,22,370
19416,-500,11130,-31,37,25,370
17916,323,10355,-30,13,29,371
17308,323,10149,-28,-22,36,371
17210,558,9884,-26,-24,32,371
16739,470,9659,-21,-2,9,371
16611,58,10639,0,-8,-12,372
18082,323,11483,3,-23,-19,372
19396,39,11738,-4,-4,-11,372
18818,402,11767,-7,11,-6,373
17788,892,11463,-16,5,-1,373
17975,402,11169,-31,-12,5,374
17729,382,10786,-23,-1,5,374
16268,343,10983,-16,2,-3,375
17043,872,11463,-13,-48,2,376
16778,1049,11002,-20,-62,4,376
16660,1225,10659,-31,-39,1,377
16602,558,10188,-41,-35,-9,376
17582,-176,10208,-37,-45,-17,376
18151,-382,9561,-37,-36,-26,376
19063,-1010,9472,-29,-30,-24,375
21279,-1314,10453,-12,-31,4,375
21917,-637,10836,-33,14,9,374
20828,-451,9973,-47,33,2,373
20377,-343,9100,-40,36,-1,373
18896,-441,8884,-19,25,-7,374
19602,-755,9521,-10,0,-4,374
19671,-676,9335,-19,12,0,374
18524,-892,9227,-21,30,4,375
