ax,ay,az,gx,gy,gz,flex
14504,-26851,-32018,572,319,572,289
1177,5569,-13210,572,305,572,288
9209,-28861,-14524,572,259,572,287
30361,15395,-13955,378,55,324,287
-14170,1598,-19231,109,17,166,286
-1971,-10414,27330,-80,-17,57,285
8659,-19004,14258,-121,-128,-16,285
15425,-19406,8521,-121,-117,-47,286
18122,-16651,6060,-116,-8,-24,288
15925,-14935,5962,-68,16,0,289
15925,-14935,5962,-68,16,0,289
15464,-14003,9433,-9,-14,15,291
13836,-12591,12287,3,0,25,292
11326,-11885,13464,2,9,15,293
10855,-12091,14346,-16,33,9,294
9924,-12208,14140,-39,68,5,294
8737,-12503,13062,-53,59,-7,295
10080,-12846,12238,-57,23,-20,295
11238,-13022,11169,-68,28,-13,296
10757,-13699,10051,-65,32,-10,297
10482,-14111,9267,-56,13,-15,297
11218,-14091,9365,-38,0,-18,298
11973,-14376,9384,-29,0,-10,298
11473,-14327,9629,-18,5,0,299
11385,-13826,10463,-9,-6,-1,299
11777,-13866,11169,-11,-3,0,300
11375,-13954,11542,-12,5,1,300
10943,-13748,11728,-12,4,-1,301
11257,-13611,11620,-10,-9,-6,301
11816,-13483,11865,-13,-2,-6,302
11571,-13405,11993,-22,12,-3,302
11051,-13346,12140,-28,17,-7,302
10326,-13169,12326,-29,18,-17,303
9404,-12365,13297,-41,23,-33,303
7443,-11444,14513,-74,36,-55,306
5540,-10414,15798,-116,50,-87,307
3255,-9021,16768,-148,69,-136,313
627,-6423,17749,-180,86,-207,320
-1147,-3853,16396,-246,73,-297,334
-137,-2431,12836,-271,82,-368,363
1804,186,11345,-245,83,-458,402
1176,3549,10394,-246,104,-517,449
3059,6256,9149,-298,75,-572,480
3530,9002,7541,-314,36,-572,501
6207,14130,5599,-320,9,-572,517
6893,16670,2951,-299,0,-572,524
8855,23250,2706,-335,-99,-572,527
14042,28075,1735,-436,-94,-572,530
12110,29654,-2922,-431,-62,-572,531
14582,-29567,-3481,-294,-241,-572,532
24319,-25958,2059,-269,-72,-572,533
18180,-22281,-2892,-289,84,-572,533
18808,-21732,-1049,-185,-84,-572,533
22113,-22712,4491,-42,-74,-572,534
19455,-22967,4520,-23,-1,-572,534
19053,-26527,5040,-81,17,-572,534
17533,-30116,4942,-64,-18,-572,534
16396,-32175,3853,-40,-133,-511,533
15611,32262,1951,-45,-242,-429,533
15435,29399,-637,-36,-332,-355,533
15533,24888,-1686,13,-382,-269,533
14425,22005,-1088,84,-357,-166,533
12826,20828,68,104,-271,-78,533
10247,20053,1441,89,-157,-12,533
7452,19602,1922,48,-63,26,533
4707,19514,2255,19,5,35,532
2422,19730,2530,10,29,17,532
1676,19799,2422,10,17,-14,532
1853,18857,2696,20,6,-41,532
2843,18906,3746,39,29,-63,531
3147,20308,5285,45,51,-76,531
3687,20818,5030,10,44,-69,531
3902,20514,4834,-8,43,-33,531
2912,20505,5158,2,52,-7,531
1745,20828,5638,9,59,3,530
1176,20034,5805,5,58,16,530
862,18622,5677,-5,58,39,530
147,18112,5442,-5,77,50,530
-872,18524,5197,-9,116,43,529
-1412,18779,5138,-11,135,25,529
