ax,ay,az,gx,gy,gz,flex
23446,-14612,25202,-13,-381,572,377
15091,-20467,22172,-144,-304,572,351
3922,-26527,14689,-211,-321,572,340
-10306,-24654,11493,-242,-272,572,335
-28742,-24448,3412,-333,-288,572,330
16887,29438,-13228,-327,-539,572,326
8699,24555,-24957,-206,-572,270,322
14298,16317,-26545,-47,-220,-156,320
17946,13258,-25163,265,404,-555,323
26654,24290,-11963,572,542,-572,328
26654,24290,-11963,572,542,-572,328
5677,27124,22358,572,427,-572,332
5491,22427,-9444,528,572,-572,335
30546,24966,14405,483,213,-572,335
13532,343,-7228,161,-470,-436,328
-17329,-2245,-17456,-45,45,572,330
-12867,9051,-28194,-205,-233,572,331
-23732,14954,26349,-299,-433,572,330
17131,27065,15690,-396,-202,572,331
-9973,-27135,1990,-522,-66,572,332
-31645,-24075,-17043,-544,-131,572,331
15622,-31675,26988,-432,-277,310,328
14612,23476,21094,-125,-147,-137,327
21535,14111,32244,457,241,-439,331
28155,20887,-16651,572,547,-572,336
-28722,29585,1431,572,331,-572,342
9620,-17691,-30028,572,-164,-572,348
-20045,6020,-756,100,277,-572,350
-24762,25045,-13200,-6,368,-361,349
-23036,31998,-4884,28,-327,91,347
11483,29144,-12533,-323,-7,554,347
-21535,31998,-30136,-572,-9,572,347
-25850,-27890,21407,-572,-379,572,347
-26458,-15514,10590,-572,-176,572,347
23221,-11690,-1598,-572,132,572,347
15837,-9326,-4010,-572,86,572,346
20397,1441,-7325,-572,352,572,347
7825,2647,-18700,-572,572,572,349
-8051,-5943,30655,-572,572,572,348
-4255,-22389,20025,-572,224,572,349
-4481,-23546,14700,-572,114,572,350
-14680,-23536,5845,-572,-81,572,352
-19691,-31067,2011,-572,-333,502,354
-23074,24202,9297,-469,-470,335,357
32165,21544,22791,-305,-412,294,364
26478,22937,22673,-482,-277,-30,373
-30801,25153,15191,-572,-169,-489,382
-13738,-31165,14828,-381,-71,-572,403
-14179,-30116,11906,-112,226,-572,434
-8315,-27645,24105,329,464,-572,473
-11394,-15563,-27791,572,572,-572,515
-17945,12061,-19769,572,572,-572,545
-24594,-13867,-578,572,572,-572,554
-23260,28192,-5913,572,572,-572,558
-20024,-31656,-2588,572,572,-572,559
-10129,-24193,509,572,572,-572,559
3188,-4894,-13661,572,572,-572,556
-16641,-4433,-1217,572,-276,-385,559
11846,-187,7629,299,-159,130,563
-1059,-22477,-10984,-340,41,311,556
-10934,26398,-30959,-572,-199,285,551
-6991,14170,19416,-523,-487,227,552
862,10277,10257,-479,-514,153,552
4412,10659,4648,-493,-325,132,551
3422,12012,1480,-450,-86,150,550
19,10257,-264,-336,19,163,549
-1941,8109,-1549,-126,6,111,547
-1088,3138,402,192,24,3,546
-3265,9443,3334,540,37,-164,545
-2520,11257,6884,572,3,-352,545
-2598,19141,14268,572,27,-531,544
509,-31293,20573,572,-14,-572,544
5422,-30420,25270,572,-39,-572,545
8090,-17652,25673,572,-115,-572,545
13424,-12406,23201,572,-204,-572,545
16160,-12141,20858,572,-325,-572,545
21779,-17211,19063,406,-448,-572,545
27447,-23183,16582,171,-347,-508,545
23800,31301,18180,179,-109,-238,545
18553,-31724,21064,572,-229,-160,535
