ax,ay,az,gx,gy,gz,flex
30046,-20859,16160,-243,-51,572,543
30595,-15926,17690,-234,-104,572,523
-29724,-8826,19406,-294,-177,572,490
-27449,-3296,18700,-407,-86,572,450
-30508,-1923,16121,-484,-17,572,399
30036,-1197,12826,-572,81,572,336
23574,-5384,10610,-572,165,572,291
16229,-9523,6138,-572,225,572,265
9561,-17829,3765,-572,188,572,235
10247,-22879,4442,-572,190,572,239
10247,-22879,4442,-572,190,572,239
8521,-23036,4108,-572,262,572,222
4726,-24997,1176,-572,328,572,235
1274,-29890,-735,-572,296,572,233
2382,30890,-4059,-572,204,572,238
6197,26624,-3775,-495,218,572,242
1657,22485,-8355,-421,333,572,247
-1402,14091,-13571,-330,369,513,248
-2216,5158,-20456,-273,459,446,250
-8217,-2304,-28918,-253,532,344,254
-14984,-3618,25311,-323,487,234,256
-23535,-6589,9228,-385,406,190,255
30979,-13248,-1186,-315,293,246,257
28439,-19799,4943,-124,170,204,263
-26271,-17396,18162,-124,-49,64,267
-12346,-16288,22761,-245,-249,-63,269
-2235,-13660,24928,-317,-371,-43,273
-4707,-9973,22898,-342,-334,-5,277
-9816,-6452,19486,-304,-356,-96,283
-10796,2304,17093,-218,-403,-217,293
-13846,6030,12612,-83,-476,-367,312
-15248,10473,12425,105,-434,-550,324
-14238,15817,16073,385,-301,-572,396
-11542,21858,23497,572,-216,-572,482
-3285,-26586,-32037,572,-199,-572,528
8472,1608,-2990,572,-108,-572,582
7835,17484,2647,572,-121,-572,602
32674,27506,-29714,572,239,-572,597
29801,-4649,-11072,572,572,-572,602
-15474,-22761,-8258,572,572,-572,596
-333,17749,-25213,-16,277,-310,600
-862,-6079,22691,-101,-364,159,589
7050,1166,-31136,202,-138,191,585
-6432,2981,-30018,225,264,65,590
-5785,303,-29871,88,264,-21,591
-941,1019,-31891,12,149,-27,590
1284,872,29674,-12,-28,18,582
3373,617,29085,21,-137,42,572
4118,500,28575,24,-91,48,574
2961,9,26634,-6,-34,71,582
1294,39,24525,-22,5,92,576
-2167,696,21721,-28,-20,108,576
-1725,2069,18916,-33,-84,108,579
647,4461,14415,-51,-153,116,574
4334,8100,9835,-97,-180,148,545
5295,11140,5815,-148,-127,210,543
3118,13630,2618,-110,-53,283,512
39,13434,-9,25,-23,302,510
-3844,11934,833,265,-66,259,494
-4099,12728,3363,442,-121,154,489
-1343,13797,5246,406,-115,53,487
-2216,6589,7335,356,-94,9,480
-2049,6148,11090,430,-51,-40,476
-2412,11493,12581,476,-47,-144,476
-4148,11355,17082,553,-99,-224,479
-2294,15807,17543,570,-178,-313,484
3206,22672,14944,481,-275,-435,487
6982,27202,17268,471,-265,-507,490
5373,32360,18475,510,-291,-502,494
3540,-25360,18396,473,-364,-529,499
4089,-18142,17112,427,-486,-572,503
5403,-14995,11267,378,-572,-572,505
10737,-12141,7295,347,-572,-572,508
17004,-15397,6589,356,-572,-572,510
19642,-21388,7129,383,-572,-572,512
19289,-26782,5726,377,-572,-572,513
18122,-31557,3628,317,-500,-508,514
16219,29291,1823,210,-407,-292,515
12905,26585,1166,97,-351,-78,515
10463,25261,1892,5,-297,87,512
