ax,ay,az,gx,gy,gz,flex
-12955,-26546,-16033,118,572,420,255
-18339,-7856,-12150,391,467,572,189
-15112,13267,10394,429,440,572,203
32272,26094,21672,71,572,572,241
2157,27506,23397,-334,572,572,243
-10198,24309,26996,-414,428,572,250
-14425,21318,27879,-520,316,572,254
-15709,9806,22348,-572,251,572,263
-11218,813,17072,-572,247,572,266
-6207,-4865,10002,-572,348,572,270
-6207,-4865,10002,-572,348,572,270
-7835,-11337,911,-572,402,572,272
-12140,-19662,-6285,-572,311,437,274
-16366,-20653,-9502,-572,183,301,278
-21171,-21535,-11414,-572,88,150,272
-22554,-20790,-12012,-572,85,-45,279
-3226,-18544,-6491,-572,572,-86,274
-12748,-12376,-15905,-572,572,-115,279
27586,8845,-22142,-572,572,-572,277
30067,-19408,-20004,-572,572,-572,280
4569,3745,-24427,-572,263,-572,280
18337,-3276,30891,-572,572,-572,279
20534,27467,-19955,246,572,-572,281
6972,25839,-19975,572,572,-572,252
14503,31497,14985,572,572,259,279
21466,-12337,-14307,572,572,572,283
14170,26339,-28498,572,572,572,286
-16877,-22977,-5669,572,399,572,290
-26576,-29881,-16191,449,572,572,294
323,10463,25682,-114,572,572,292
-19936,-14671,12807,-572,572,572,291
-14748,28153,-284,-572,572,572,291
-16082,3628,-12159,-572,572,572,285
-15288,-10935,-17288,-572,481,421,280
-4236,-11092,-16935,-572,333,204,293
2481,-13533,-17572,-572,386,17,294
7423,-19339,-20063,-572,572,-57,295
1618,-31175,-22907,-572,572,3,296
-7452,26879,-21113,-572,572,59,298
-6197,24202,-16680,-572,572,62,296
-11483,-31204,-18406,-378,572,-99,296
-19563,-27370,-19710,-152,572,-572,297
-17386,-11513,-12375,-13,572,-572,300
-7050,10070,-13621,-292,133,-572,300
9894,29840,-17720,-513,-166,-572,302
18632,-2305,-25388,-572,-236,-572,312
-20006,31929,32519,-373,152,-572,303
-18593,-19810,-28085,544,572,-572,354
19514,-3815,23408,572,572,-572,432
13846,7246,22781,572,572,-477,538
25898,17160,32381,572,572,-541,554
-26586,27261,-24702,572,465,-426,532
-10896,17003,-32684,572,443,-4,547
-18770,-2786,-21730,572,572,380,553
27310,-21398,-17141,572,572,572,524
16003,28350,-9325,572,253,572,542
8894,7795,725,572,84,572,548
-2431,-13161,6746,572,106,572,535
-11757,-24948,11434,572,104,460,546
-12630,-32038,15856,516,123,293,535
-12385,21446,13983,278,149,216,543
-11512,10983,9433,181,106,145,573
-8688,3422,7433,145,28,74,559
-3589,-1343,6403,100,-13,13,557
2735,-6158,4971,55,12,-22,557
4569,-9992,4295,21,16,-27,562
6717,-12532,4187,-12,-7,-20,566
7256,-13856,2990,-74,-22,-11,565
8629,-15082,1186,-106,-34,-14,564
9217,-16611,-666,-82,-32,-39,556
10022,-17318,-2098,-73,-37,-57,555
11816,-17288,-2333,-69,-13,-64,565
12218,-17425,-2510,-64,32,-74,561
11855,-17053,-2922,-54,33,-73,561
12493,-16719,-3128,-55,25,-63,562
12905,-16249,-3157,-52,27,-57,561
12561,-15837,-2873,-47,24,-45,558
12365,-15896,-2765,-45,16,-37,558
12885,-15435,-2716,-44,22,-42,560
12522,-15033,-2647,-51,33,-37,559
