ax,ay,az,gx,gy,gz,flex
-156,-9061,3981,572,471,204,575
-6531,-10345,2608,572,225,142,590
-4716,-7805,7217,572,17,86,594
1823,-2706,15082,572,-22,85,596
4746,2922,16356,572,82,84,553
6658,6276,26026,572,146,0,571
-8580,11728,26339,572,106,-170,0
10816,-481,5785,-503,572,69,354
17651,8786,10286,-290,134,-207,285
12836,-4648,13464,-86,107,31,314
12836,-4648,13464,-86,107,31,314
7295,4069,20456,-109,-9,211,551
2981,8060,-31538,-327,-11,271,565
3383,4255,31851,-572,40,237,578
3010,-6021,12503,-572,102,232,581
1804,-20740,-6658,-384,27,112,592
12385,-32753,-14827,289,-107,-34,581
10443,31744,-11169,572,-9,-119,591
-7796,-22750,-9708,572,-13,-269,513
1029,-9385,4432,275,174,-49,552
4246,29105,17671,-541,-292,-91,569
5354,-11228,2304,-73,29,41,584
11140,-7933,18455,-99,-58,120,548
8021,411,27781,-204,-73,152,556
676,1765,31360,-332,-51,138,536
-2686,3059,28801,-317,-109,93,588
-1304,3598,30615,-311,-161,14,575
-1078,2804,32713,-438,-137,-56,568
-1029,539,29919,-572,-162,-126,574
1637,-1725,26104,-572,-172,-167,568
2500,-3471,20416,-572,-145,-218,568
4236,-5658,13826,-572,-133,-274,560
5452,-6972,8639,-572,-125,-321,551
8963,-5981,4491,-572,-97,-349,527
10522,-3265,-1284,-572,0,-371,501
10296,-784,-4648,-572,18,-419,436
15062,5118,-3696,-572,64,-478,375
18122,13356,-7021,-572,0,-530,326
28163,12326,-6109,-572,-1,-446,301
-29155,11610,961,-460,266,-314,283
29889,11090,2147,-427,572,-257,280
19789,10639,-156,-390,551,-275,277
23201,7668,-2127,-301,340,-261,278
22338,5334,-2510,-191,128,-174,280
23790,3755,-647,-142,-37,-107,281
24908,2657,1078,-133,-19,-62,282
22025,2608,19,-124,36,-58,284
22515,2382,558,-83,16,-67,287
24054,2255,2441,-68,12,-56,289
23741,2167,2735,-60,20,-44,290
22731,2304,2785,-42,13,-33,292
23064,2647,3618,-34,-6,-29,294
22554,2000,2971,-40,-14,-19,296
22505,2284,2520,-23,-33,-11,297
22476,2539,3108,-16,-8,2,298
21269,2500,3334,-19,18,4,299
20475,2127,3236,-19,-1,2,300
21181,2010,3285,-11,0,-2,301
20485,2157,3255,-6,6,4,302
20563,2059,3510,-16,-10,8,303
20740,1529,3294,-16,0,6,303
21044,1725,3579,-12,14,2,303
19808,1706,3255,-16,18,4,304
20456,1657,3402,-19,2,-1,305
20593,1412,3294,-22,8,0,305
19769,1529,2657,-15,3,0,306
20485,1843,3098,-13,4,-6,306
20269,1657,3049,-15,10,-3,307
20446,1814,3030,-17,-2,0,307
20554,1774,2824,-19,0,3,307
20171,1549,2628,-11,5,1,308
20397,1774,3147,-6,6,0,308
20612,1814,3461,-11,16,0,308
19946,1833,3304,-16,12,-1,308
20357,1823,3265,-11,0,-4,308
20367,1863,3471,-7,1,-7,309
20514,1882,3510,-8,-1,-9,309
20671,1892,3422,-5,7,-10,310
20377,1922,3491,0,11,-12,310
20603,2147,3589,-3,2,-12,310
