ax,ay,az,gx,gy,gz,flex
5354,-872,-3814,572,-175,373,550
4687,-2530,-9051,572,-116,269,558
5001,-5197,-6942,572,-91,77,570
1676,-2255,5903,572,7,-43,578
-7325,22760,-32126,572,108,-163,581
22132,-9572,14572,7,259,-89,575
794,12895,19289,-531,199,-87,578
2049,-8982,6687,-347,117,-36,561
4334,-6099,13542,-200,-120,-10,572
9825,-1245,26683,-348,-124,-6,572
9825,-1245,26683,-348,-124,-6,572
11983,-2745,24682,-572,6,37,575
9521,-12963,7031,-572,64,116,576
10669,-22044,-7697,-488,-3,182,577
12973,-30801,-19710,122,-83,122,568
8276,-31792,-18190,572,-137,-59,576
6011,-22015,-755,572,-136,-205,587
-2598,-27439,-29282,572,-148,-311,590
-23123,-20359,-15730,-572,396,128,566
13817,11846,16484,-572,-3,19,537
8041,-11914,5442,-540,45,-5,553
7570,-14072,8100,-432,-54,2,517
7590,-10012,14179,-346,-64,26,538
3706,-6050,15091,-295,-91,5,542
990,-3853,14474,-276,-132,-38,550
1402,-2392,14542,-302,-164,-96,546
1353,-1353,13679,-377,-159,-165,545
725,-127,11061,-490,-168,-230,543
1265,-29,7570,-572,-193,-274,541
2226,-500,4069,-572,-218,-313,539
2735,1392,2000,-572,-210,-361,537
3392,2971,-3108,-572,-177,-393,534
6011,4197,-10904,-572,-182,-412,528
7344,6648,-14179,-572,-187,-436,523
12552,9286,-11463,-572,-133,-498,521
16249,17465,-18328,-572,-96,-572,520
19132,15464,-15229,-572,-67,-572,519
22917,14229,-7197,-572,97,-572,519
21211,24966,-9806,-563,314,-572,521
16896,31370,-11934,-475,209,-572,522
17700,26712,-6246,-380,105,-572,521
16955,26908,-372,-275,192,-572,522
12885,-32156,1853,-229,349,-530,523
8963,-27282,2520,-229,426,-561,524
8011,-24183,3000,-239,417,-572,525
11277,-25948,3383,-203,389,-572,525
12797,-30724,2951,-119,380,-572,525
14513,28781,3079,12,373,-572,525
12826,24751,4148,144,396,-391,525
6785,23633,4373,206,349,-156,525
2981,24819,5570,197,227,31,525
1157,24721,6540,126,97,92,525
-186,23849,6432,41,-5,75,525
1274,23182,6334,-22,-61,27,525
2794,22044,5795,-52,-30,-22,525
3138,21034,5148,-44,20,-55,525
2745,20642,5001,-14,43,-72,525
2196,20828,4726,11,13,-70,525
1941,21122,4756,16,-38,-46,525
1843,21181,4648,-1,-87,0,525
862,21103,4138,-31,-122,41,525
-117,20867,3647,-55,-150,64,525
-647,20583,3206,-65,-163,73,524
-1029,20603,2765,-70,-170,78,523
-1284,20348,2481,-69,-167,77,522
-617,20259,2314,-66,-144,69,521
-784,19906,2373,-57,-105,68,520
-1176,19965,2520,-44,-73,71,520
-1549,20063,2677,-31,-40,60,520
-1618,20377,2608,-26,-16,39,520
-1922,19799,2598,-18,2,27,520
-1922,19828,2951,-4,9,18,520
-1215,20220,3098,3,15,0,520
-882,20240,3294,3,28,-5,520
-774,20328,3618,0,41,-1,520
-725,20387,3589,-6,48,0,520
-892,20328,3755,-7,45,2,520
-1157,20132,3814,2,36,9,520
-176,20122,3559,25,27,25,519
-196,20485,3932,32,23,23,519
